HONEST-ENTRY-BASIS CERT — coin=VET early=1 native=0 bars=31062 thr=1.50% confirm=60bp anchor=1 RT=28.0/56.0bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    |  2905     +305  1.16   -1030.3 |  1751  -1928.1 |     +162     +143 |  -1030.3     -569 | fail
1   0.50 8    |  2905     +670  1.30   -1030.3 |  1918  -2260.8 |     +411     +259 |  -1030.3     -192 | fail
1   0.75 8    |  2905     +697  1.25   -1030.3 |  2171  -2838.2 |     +609      +88 |  -1030.3      -85 | fail
2   0.20 8    |  4081     +170  1.06   -1223.4 |  2557  -2622.1 |      -31     +200 |  -1223.4     -920 | fail
2   0.50 8    |  4081     +791  1.25   -1223.4 |  2775  -3121.5 |     +325     +466 |  -1223.4     -381 | fail
2   0.75 8    |  4081    +1080  1.29   -1223.4 |  2988  -3720.1 |     +480     +601 |  -1223.4      -84 | fail
4   0.20 8    |  4480     +474  1.18   -1216.8 |  2780  -2673.6 |      -70     +545 |  -1216.8     -690 | fail
4   0.50 8    |  4480     +622  1.20   -1216.8 |  3057  -3170.3 |     -124     +746 |  -1216.8     -560 | fail
4   0.75 8    |  4480     +450  1.11   -1216.8 |  3378  -3989.5 |     -198     +648 |  -1216.8     -533 | fail
8   0.20 8    |  4013     -181  0.93    -998.3 |  2531  -2428.2 |      -85      -96 |   -998.3    -1208 | fail
8   0.50 8    |  4013      +83  1.03    -998.3 |  2798  -2792.1 |     -192     +274 |   -998.3     -973 | fail
8   0.75 8    |  4013     +159  1.04    -998.3 |  3122  -3631.8 |     -163     +322 |   -998.3     -892 | fail
12  0.20 8    |  3499     -326  0.85    -875.9 |  2284  -2236.9 |     -210     -116 |   -875.9    -1288 | fail
12  0.50 8    |  3499     -401  0.85   -1203.0 |  2525  -2629.3 |     -359      -42 |  -1203.0    -1340 | fail
12  0.75 8    |  3499     -159  0.95   -1203.0 |  2793  -3227.2 |     -418     +258 |  -1203.0    -1006 | fail
