HONEST-ENTRY-BASIS CERT — coin=XRP early=1 native=0 bars=48569 thr=1.50% confirm=60bp anchor=1 RT=28.0/56.0bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    |  4335     +369  1.11   -1112.0 |  2682  -3452.5 |     +155     +214 |  -1112.0     -821 | fail
1   0.50 8    |  4335    +1105  1.29   -1112.0 |  2932  -3876.6 |     +384     +722 |  -1112.0      -10 | fail
1   0.75 8    |  4335    +2013  1.46   -1112.0 |  3154  -4416.0 |     +851    +1162 |  -1112.0    +1070 | fail
2   0.20 8    |  5805       +7  1.00   -1534.1 |  3696  -4361.7 |      +71      -63 |  -1534.1    -1495 | fail
2   0.50 8    |  5805     +617  1.13   -1534.1 |  4093  -4840.8 |     +401     +216 |  -1534.1     -922 | fail
2   0.75 8    |  5805    +1627  1.28   -1534.1 |  4421  -5738.6 |     +822     +805 |  -1534.1     -218 | fail
4   0.20 8    |  6510     +568  1.13   -1534.1 |  4044  -4298.0 |     +129     +439 |  -1534.1    -1079 | fail
4   0.50 8    |  6510    +1095  1.22   -1534.1 |  4531  -4882.8 |     +340     +754 |  -1534.1     -541 | fail
4   0.75 8    |  6510    +2296  1.39   -1534.1 |  4850  -5907.4 |    +1270    +1025 |  -1534.1     +534 | fail
8   0.20 8    |  5895     +202  1.05   -1534.1 |  3776  -3735.2 |      +63     +139 |  -1534.1    -1314 | fail
8   0.50 8    |  5895      +47  1.01   -1534.1 |  4187  -4391.3 |     -244     +290 |  -1534.1    -1365 | fail
8   0.75 8    |  5895     +827  1.15   -1534.1 |  4626  -5343.9 |     +332     +495 |  -1534.1     -673 | fail
12  0.20 8    |  5045     +259  1.08   -1738.3 |  3247  -3125.5 |     +413     -153 |  -1738.3    -1148 | fail
12  0.50 8    |  5045     +694  1.19   -1738.3 |  3532  -3627.1 |     +607      +87 |  -1738.3     -712 | fail
12  0.75 8    |  5045    +1030  1.22   -1738.3 |  4011  -4650.5 |    +1017      +13 |  -1738.3     -382 | fail
