INJ SWEET-SPOT VALIDATION SWEEP — 2026-07-14
Replicates S-2026-07-13 methodology (ChimeraCrypto ec810117) for INJUSDT (never swept).
Tool: upjump_earlyarm_bt confirmcut/confirmrand (binary of 2026-07-13, driven from /Users/jo/Crypto/backtest)
Data: data/INJUSDT_1h.csv — Binance public klines, 30,968 bars 2023-01-01..2026-07-14 UTC,
      close range $1.253-$52.38, 0 gaps >2h (fetched this session).
Grid: W in {1,2,3,4,6,8,12,24}h x thr in {0.5..8.0 step 0.5}% = 128 cells.
Cell config: confirm=20bp, CC_RT=20bp, CC_CUT=50bp, CC_FROMYEAR=2023, BE-N6 arms {0.2,2,3,4,6,8}.
Gate stack: net>0, PF>=1.3, n>=30, H1>0 AND H2>0, exbestEpi>0; then plateau (thr+/-0.5%),
            2x-cost re-sim (RT=40: net>0, PF>=1.2ish), confirmrand 20-seed z>=2.

FULL GRID (columns after win= : confirm | n net% PF worst_bp | nRev sumRev% | nNeg sumNeg% | nvrOpen | H1% H2% | y2022% y23-26% | exbestEpi bestEpi%)
W=1  thr=0.5% win=4548      20bp |  7506     -1911   0.66   -909.0 |  1334   -2023.5 |  5706   -5684.4 |  19782 |      -882     -1029 |       +0      -1911 |     -2000      +88
W=1  thr=1.0% win=2278      20bp |  4984     -1188   0.76   -909.0 |  1394   -2329.1 |  3705   -4971.3 |   8684 |      -725      -463 |       +0      -1188 |     -1281      +93
W=1  thr=1.5% win=1173      20bp |  3045     -1036   0.72   -909.0 |  1035   -1933.6 |  2250   -3675.6 |   3993 |      -523      -512 |       +0      -1036 |     -1143     +107
W=1  thr=2.0% win=616       20bp |  1729      -351   0.84   -909.0 |   613   -1239.7 |  1234   -2242.5 |   1967 |       -35      -316 |       +0       -351 |      -473     +122
W=1  thr=2.5% win=347       20bp |  1010      -154   0.89   -909.0 |   386    -805.7 |   751   -1392.0 |   1072 |        -3      -150 |       +0       -154 |      -283     +130
W=1  thr=3.0% win=211       20bp |   659      -119   0.87   -909.0 |   239    -505.7 |   476    -948.6 |    607 |       +23      -142 |       +0       -119 |      -289     +170
W=1  thr=3.5% win=124       20bp |   434      +198   1.33   -909.0 |   150    -320.5 |   291    -606.5 |    310 |      +235       -37 |       +0       +198 |       +45     +153
W=1  thr=4.0% win=71        20bp |   270       +40   1.10   -909.0 |    94    -198.6 |   186    -381.4 |    156 |       -37       +77 |       +0        +40 |      -119     +158
W=1  thr=4.5% win=48        20bp |   175      -125   0.52   -641.1 |    70    -155.7 |   126    -263.4 |    113 |       -56       -69 |       +0       -125 |      -154      +28
W=1  thr=5.0% win=35        20bp |   131      -131   0.42   -641.1 |    57    -143.5 |   103    -224.0 |     79 |       -83       -48 |       +0       -131 |      -159      +28
W=1  thr=5.5% win=28        20bp |    89       -61   0.53   -582.2 |    37     -86.3 |    64    -128.3 |     79 |       -76       +15 |       +0        -61 |       -89      +28
W=1  thr=6.0% win=21        20bp |    63       -35   0.60   -582.2 |    25     -58.3 |    43     -86.0 |     63 |       -28        -6 |       +0        -35 |       -63      +28
W=1  thr=6.5% win=19        20bp |    52       -42   0.47   -582.2 |    22     -54.2 |    37     -78.0 |     62 |       -20       -22 |       +0        -42 |       -70      +28
W=1  thr=7.0% win=14        20bp |    31       -40   0.13   -582.2 |    16     -35.2 |    25     -46.3 |     53 |       -13       -27 |       +0        -40 |       -43       +3
W=1  thr=7.5% win=9         20bp |    17       -14   0.36   -325.6 |     8     -16.2 |    13     -22.0 |     37 |        -7        -7 |       +0        -14 |       -19       +5
W=1  thr=8.0% win=6         20bp |    19       -47   0.03   -589.0 |    14     -43.0 |    18     -48.2 |     17 |       -20       -27 |       +0        -47 |       -47       +0
W=2  thr=0.5% win=3619      20bp |  6936     -1757   0.69   -848.9 |  1338   -2120.0 |  5185   -5614.5 |  14778 |      -872      -884 |       +0      -1757 |     -1847      +90
W=2  thr=1.0% win=2346      20bp |  5440     -1237   0.77   -777.9 |  1451   -2381.6 |  4033   -5295.5 |   8636 |      -817      -420 |       +0      -1237 |     -1339     +102
W=2  thr=1.5% win=1444      20bp |  3738      -252   0.94   -777.9 |  1203   -2135.9 |  2705   -4139.4 |   4926 |       -68      -183 |       +0       -252 |      -367     +116
W=2  thr=2.0% win=929       20bp |  2620      -400   0.88   -848.9 |   944   -1835.4 |  1927   -3326.7 |   2954 |      -290      -110 |       +0       -400 |      -533     +133
W=2  thr=2.5% win=601       20bp |  1819      -246   0.90   -786.1 |   680   -1394.7 |  1338   -2457.8 |   1787 |      -211       -35 |       +0       -246 |      -387     +141
W=2  thr=3.0% win=387       20bp |  1209      -217   0.87   -784.5 |   465    -971.1 |   885   -1632.0 |   1113 |      -118       -98 |       +0       -217 |      -358     +141
W=2  thr=3.5% win=251       20bp |   805      +301   1.27   -777.9 |   310    -670.4 |   572   -1110.0 |    701 |       -44      +346 |       +0       +301 |      +135     +166
W=2  thr=4.0% win=175       20bp |   537       +54   1.07   -777.9 |   234    -478.5 |   403    -765.6 |    513 |      -101      +155 |       +0        +54 |       -94     +148
W=2  thr=4.5% win=117       20bp |   356       +34   1.06   -806.7 |   151    -312.3 |   270    -531.1 |    346 |       -60       +94 |       +0        +34 |      -114     +148
W=2  thr=5.0% win=78        20bp |   261       -49   0.89   -806.7 |    93    -220.3 |   191    -426.6 |    207 |       -30       -19 |       +0        -49 |      -171     +123
W=2  thr=5.5% win=55        20bp |   217       -74   0.78   -806.7 |    86    -192.1 |   158    -337.4 |    113 |       -48       -26 |       +0        -74 |      -197     +123
W=2  thr=6.0% win=41        20bp |   146      -140   0.37   -641.1 |    68    -145.4 |   110    -221.0 |    100 |       -35      -104 |       +0       -140 |      -173      +33
W=2  thr=6.5% win=35        20bp |   129      -108   0.43   -641.1 |    54    -119.6 |    92    -191.3 |     81 |       -25       -83 |       +0       -108 |      -141      +33
W=2  thr=7.0% win=31        20bp |   121      -161   0.22   -641.1 |    54    -132.1 |    93    -206.7 |     65 |       -85       -77 |       +0       -161 |      -176      +15
W=2  thr=7.5% win=20        20bp |    72       -90   0.24   -654.9 |    29     -71.4 |    54    -118.6 |     48 |       -46       -44 |       +0        -90 |       -95       +5
W=2  thr=8.0% win=17        20bp |    62       -66   0.30   -654.9 |    24     -53.8 |    44     -94.1 |     40 |       -39       -26 |       +0        -66 |       -70       +5
W=3  thr=0.5% win=2923      20bp |  6378     -1345   0.76   -827.0 |  1279   -2101.6 |  4697   -5562.1 |  11160 |      -838      -507 |       +0      -1345 |     -1477     +132
W=3  thr=1.0% win=2062      20bp |  5154      -645   0.87   -827.0 |  1273   -2143.8 |  3761   -5061.1 |   7218 |      -457      -188 |       +0       -645 |      -777     +132
W=3  thr=1.5% win=1456      20bp |  3867      -659   0.85   -827.0 |  1199   -2082.3 |  2820   -4309.1 |   4869 |      -260      -399 |       +0       -659 |      -775     +116
W=3  thr=2.0% win=989       20bp |  2807      -530   0.85   -827.0 |  1011   -1884.3 |  2047   -3461.5 |   3127 |      -340      -190 |       +0       -530 |      -646     +116
W=3  thr=2.5% win=685       20bp |  2079      -484   0.83   -737.3 |   777   -1524.1 |  1560   -2793.8 |   2031 |      -493        +9 |       +0       -484 |      -625     +141
W=3  thr=3.0% win=462       20bp |  1433      -306   0.85   -827.0 |   573   -1191.1 |  1067   -2032.5 |   1339 |      -289       -17 |       +0       -306 |      -476     +170
