coin	thr	W	g	n	net%	PF	worst_bp	2xnet%	retire2x
AAVE	0.0050	1	0.20	9218	+15414	13.10	-1499.1	+12647	-2998
AAVE	0.0050	2	0.20	9534	+17219	14.93	-1621.4	+14352	-3242
AAVE	0.0050	4	0.20	9468	+17986	17.23	-1499.1	+15150	-2998
AAVE	0.0050	12	0.20	6565	+11853	15.39	-635.1	+9897	-1270
AAVE	0.0100	1	0.20	7667	+14403	14.85	-1499.1	+12106	-2998
AAVE	0.0100	2	0.20	8544	+16055	15.00	-1621.4	+13503	-3242
AAVE	0.0100	4	0.20	8412	+16266	16.79	-1499.1	+13742	-2998
AAVE	0.0100	12	0.20	5945	+10786	15.15	-623.2	+9007	-1246
ADA	0.0050	1	0.75	8319	+13161	7.05	-1285.9	+10874	-2571
ADA	0.0050	2	0.75	8688	+14545	7.84	-761.9	+12087	-1523
ADA	0.0050	4	0.75	8731	+15329	7.68	-1221.4	+12968	-2442
ADA	0.0050	12	0.75	6195	+11430	7.22	-808.4	+9598	-1616
ADA	0.0100	1	0.20	6508	+10513	13.00	-775.5	+8574	-1551
ADA	0.0100	2	0.20	7248	+11969	16.42	-568.4	+9797	-1136
ADA	0.0100	4	0.75	7489	+13379	7.24	-1221.4	+11214	-2442
ADA	0.0100	12	0.20	5532	+9775	20.59	-527.8	+8107	-1055
APT	0.0050	1	0.75	5563	+9035	7.16	-892.0	+7545	-1784
APT	0.0050	2	0.75	5694	+10050	8.03	-978.4	+8546	-1956
APT	0.0050	4	0.20	5710	+9917	18.29	-644.2	+8214	-1288
APT	0.0050	12	0.20	4154	+6706	14.48	-892.0	+5466	-1784
APT	0.0100	1	0.20	4590	+8127	16.43	-978.4	+6758	-1956
APT	0.0100	2	0.20	4916	+9196	17.83	-978.4	+7729	-1956
APT	0.0100	4	0.20	4995	+8597	15.48	-892.0	+7105	-1784
APT	0.0100	12	0.50	3728	+6431	10.66	-715.5	+5383	-1431
ATOM	0.0050	1	0.75	5292	+6767	7.27	-650.2	+5289	-1300
ATOM	0.0050	2	0.20	5504	+7003	17.41	-666.3	+5355	-1332
ATOM	0.0050	4	0.20	5342	+6623	16.75	-741.4	+5024	-1482
ATOM	0.0050	12	0.20	3909	+4941	16.95	-1015.2	+3776	-2030
ATOM	0.0100	1	0.20	3605	+5067	16.85	-381.3	+3976	-762
ATOM	0.0100	2	0.20	4328	+5586	14.78	-741.4	+4290	-1482
ATOM	0.0100	4	0.20	4466	+5645	16.22	-741.4	+4311	-1482
ATOM	0.0100	12	0.20	3305	+4295	18.16	-1015.2	+3305	-2030
AVAX	0.0050	1	0.20	8983	+14486	11.38	-946.8	+11806	-1893
AVAX	0.0050	2	0.20	9425	+16963	14.20	-809.4	+14140	-1618
AVAX	0.0050	4	0.20	9256	+17972	16.14	-659.0	+15198	-1318
AVAX	0.0050	12	0.20	6526	+12874	17.06	-722.6	+10917	-1445
AVAX	0.0100	1	0.20	7497	+13420	12.44	-946.8	+11192	-1893
AVAX	0.0100	2	0.20	8167	+15500	13.61	-809.4	+13049	-1618
AVAX	0.0100	4	0.20	8185	+16493	16.13	-659.0	+14038	-1318
AVAX	0.0100	12	0.75	5775	+12266	6.83	-833.7	+10565	-1667
BCH	0.0050	1	0.20	7996	+11697	15.69	-871.8	+9308	-1743
BCH	0.0050	2	0.75	8167	+12687	7.22	-627.2	+10483	-1254
BCH	0.0050	4	0.75	8334	+13180	7.12	-1085.7	+10888	-2171
BCH	0.0050	12	0.20	6239	+9693	18.62	-749.5	+7829	-1499
BCH	0.0100	1	0.20	5830	+9559	17.61	-530.3	+7818	-1060
BCH	0.0100	2	0.20	6763	+10886	15.76	-749.5	+8863	-1499
BCH	0.0100	4	0.20	6971	+11414	18.51	-594.9	+9323	-1189
BCH	0.0100	12	0.20	5303	+8488	19.01	-749.5	+6900	-1499
BNB	0.0050	1	0.20	7441	+9325	15.99	-1059.2	+7109	-2118
BNB	0.0050	2	0.20	7844	+10025	16.80	-1005.9	+7686	-2011
BNB	0.0050	4	0.75	7760	+10672	8.09	-1228.5	+8459	-2457
BNB	0.0050	12	0.75	5745	+8760	7.49	-1121.0	+7186	-2242
BNB	0.0100	1	0.20	4536	+6742	14.93	-608.9	+5390	-1217
BNB	0.0100	2	0.20	5678	+8418	17.53	-957.0	+6726	-1914
BNB	0.0100	4	0.75	5935	+9168	7.82	-1228.5	+7424	-2457
BNB	0.0100	12	0.75	4794	+7515	7.46	-1121.0	+6254	-2242
COMP	0.0050	1	0.20	5543	+7597	12.64	-856.1	+5945	-1712
COMP	0.0050	2	0.75	5644	+8808	7.93	-856.1	+7247	-1712
COMP	0.0050	4	0.20	5620	+8798	16.15	-856.1	+7123	-1712
COMP	0.0050	12	0.20	4088	+6771	17.95	-774.1	+5552	-1548
COMP	0.0100	1	0.75	4086	+6061	5.12	-2372.1	+5110	-4744
COMP	0.0100	2	0.20	4805	+7564	15.12	-856.1	+6137	-1712
COMP	0.0100	4	0.20	4927	+7934	15.38	-856.1	+6470	-1712
COMP	0.0100	12	0.20	3629	+5535	15.50	-605.4	+4455	-1210
CRV	0.0050	1	0.20	5566	+8979	13.88	-956.6	+7313	-1913
CRV	0.0050	2	0.20	5844	+10130	15.92	-956.6	+8377	-1913
CRV	0.0050	4	0.20	5818	+10539	17.31	-625.6	+8807	-1251
CRV	0.0050	12	0.20	4247	+7643	16.01	-1137.8	+6374	-2275
CRV	0.0100	1	0.20	4628	+8213	14.62	-719.0	+6828	-1438
CRV	0.0100	2	0.20	5242	+9358	15.79	-657.8	+7789	-1315
CRV	0.0100	4	0.20	5127	+9581	16.67	-960.2	+8046	-1920
CRV	0.0100	12	0.20	3835	+6737	15.07	-1137.8	+5593	-2275
DOGE	0.0050	1	0.75	8300	+13524	6.61	-1356.1	+11280	-2712
DOGE	0.0050	2	0.75	8676	+17912	8.25	-1047.2	+15555	-2094
DOGE	0.0050	4	0.75	8556	+18547	8.64	-1240.8	+16199	-2481
DOGE	0.0050	12	0.75	6217	+18081	10.49	-871.9	+16304	-1743
DOGE	0.0100	1	0.75	6262	+12874	6.61	-1356.1	+11173	-2712
DOGE	0.0100	2	0.75	7276	+16168	8.04	-1047.2	+14142	-2094
DOGE	0.0100	4	0.75	7415	+17795	8.63	-1240.8	+15744	-2481
DOGE	0.0100	12	0.75	5383	+16721	11.56	-871.9	+15176	-1743
DOT	0.0050	1	0.75	5212	+7142	7.20	-601.0	+5584	-1202
DOT	0.0050	2	0.75	5443	+7796	7.35	-705.6	+6253	-1411
DOT	0.0050	4	0.75	5322	+7923	7.43	-543.9	+6476	-1087
DOT	0.0050	12	0.20	3828	+5341	15.51	-638.0	+4205	-1276
DOT	0.0100	1	0.20	3654	+5561	15.99	-505.2	+4474	-1010
DOT	0.0100	2	0.20	4406	+6301	14.07	-705.6	+4979	-1411
DOT	0.0100	4	0.20	4457	+6354	16.69	-638.0	+5026	-1276
DOT	0.0100	12	0.20	3304	+4948	15.71	-638.0	+3962	-1276
ETC	0.0050	1	0.20	4770	+6170	16.97	-630.6	+4758	-1261
ETC	0.0050	2	0.20	4906	+6782	20.80	-634.9	+5322	-1269
ETC	0.0050	4	0.20	4987	+6699	17.87	-634.9	+5220	-1269
ETC	0.0050	12	0.20	3720	+5184	19.41	-630.6	+4078	-1261
ETC	0.0100	1	0.20	3090	+4586	20.09	-630.6	+3666	-1261
ETC	0.0100	2	0.20	3924	+5507	19.33	-634.9	+4329	-1269
ETC	0.0100	4	0.20	4014	+5648	18.82	-630.6	+4457	-1261
ETC	0.0100	12	0.20	3121	+4577	18.51	-666.7	+3650	-1333
FIL	0.0050	1	0.20	5567	+7879	13.68	-493.8	+6216	-987
FIL	0.0050	2	0.75	5760	+9255	7.33	-1085.0	+7725	-2170
FIL	0.0050	4	0.20	5630	+9048	15.99	-1294.9	+7367	-2589
FIL	0.0050	12	0.20	3959	+6632	18.46	-833.2	+5453	-1666
FIL	0.0100	1	0.20	4277	+6677	13.98	-1294.9	+5396	-2589
FIL	0.0100	2	0.20	4696	+7710	16.16	-1294.9	+6308	-2589
FIL	0.0100	4	0.20	4869	+8360	18.33	-746.6	+6913	-1493
FIL	0.0100	12	0.20	3522	+5991	18.72	-1303.6	+4936	-2607
GRT	0.0050	1	0.75	9114	+15762	7.07	-981.9	+13352	-1963
GRT	0.0050	2	0.20	9518	+17273	13.38	-981.9	+14434	-1963
GRT	0.0050	4	0.20	9518	+17839	15.03	-1001.7	+14999	-2003
GRT	0.0050	12	0.20	6819	+12570	14.75	-1055.6	+10541	-2111
GRT	0.0100	1	0.20	7901	+14945	14.28	-668.3	+12593	-1336
GRT	0.0100	2	0.50	8684	+16708	9.60	-1381.8	+14186	-2763
GRT	0.0100	4	0.20	8542	+16322	14.34	-1001.7	+13766	-2003
GRT	0.0100	12	0.20	5926	+11366	15.59	-1055.6	+9596	-2111
ICP	0.0050	1	0.20	5574	+7647	12.69	-812.2	+5994	-1624
ICP	0.0050	2	0.20	5847	+8874	15.23	-657.3	+7135	-1314
ICP	0.0050	4	0.20	5859	+9550	17.07	-812.2	+7806	-1624
ICP	0.0050	12	0.20	4055	+6212	14.23	-812.2	+4999	-1624
ICP	0.0100	1	0.20	4332	+6842	13.40	-812.2	+5549	-1624
ICP	0.0100	2	0.20	5094	+8312	15.51	-812.2	+6794	-1624
ICP	0.0100	4	0.20	5043	+8213	15.29	-813.4	+6705	-1626
ICP	0.0100	12	0.20	3633	+5635	14.28	-815.6	+4550	-1631
INJ	0.0050	1	0.20	5868	+9752	13.11	-777.1	+8003	-1554
INJ	0.0050	2	0.20	6083	+11429	15.27	-855.7	+9616	-1711
