SINGLE-LEG MIMIC CERT — coin=AAVE early=1 bars=48569 thr=1.50% confirm=60bp RT=30/60bp legs=1 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    2   0.20 |  1688      -43  0.93    -133.8 |  1160   -645.9 |   1065   -639.0 |      +59     -102 |     -540 | fail
30  0    2   0.50 |  1688      -82  0.88    -133.8 |  1285   -655.4 |   1065   -639.0 |      +23     -105 |     -577 | fail
30  0    2   0.75 |  1688      -99  0.85    -133.8 |  1427   -665.4 |   1065   -639.0 |      -13      -86 |     -583 | fail
30  0    2   0.90 |  1688     -132  0.80    -133.8 |  1538   -673.2 |   1065   -639.0 |      -31     -100 |     -596 | fail
30  0    4   0.20 |  1550      -87  0.85     -60.0 |  1069   -592.3 |    979   -587.4 |      +43     -130 |     -524 | fail
30  0    4   0.50 |  1550      -44  0.93     -60.0 |  1168   -599.2 |    979   -587.4 |      +80     -124 |     -488 | fail
30  0    4   0.75 |  1550       +4  1.01     -60.0 |  1292   -608.4 |    979   -587.4 |      +83      -78 |     -454 | fail
30  0    4   0.90 |  1550      +28  1.04     -60.0 |  1410   -617.3 |    979   -587.4 |      +99      -72 |     -446 | fail
30  0    8   0.20 |  1242      -75  0.84     -60.0 |   845   -464.5 |    763   -457.8 |      +16      -91 |     -436 | fail
30  0    8   0.50 |  1242      -32  0.93     -60.0 |   943   -471.7 |    763   -457.8 |      +68     -100 |     -384 | fail
30  0    8   0.75 |  1242      +20  1.04     -60.0 |  1047   -480.0 |    763   -457.8 |      +70      -50 |     -357 | fail
30  0    8   0.90 |  1242      +45  1.09     -60.0 |  1140   -486.9 |    763   -457.8 |      +82      -37 |     -360 | fail
30  0    12  0.20 |  1033      -78  0.80     -60.0 |   714   -400.5 |    661   -396.6 |       +9      -87 |     -385 | fail
30  0    12  0.50 |  1033      -51  0.88     -60.0 |   792   -405.7 |    661   -396.6 |      +48      -99 |     -357 | fail
30  0    12  0.75 |  1033      -36  0.91     -60.0 |   866   -411.4 |    661   -396.6 |      +40      -76 |     -340 | fail
30  0    12  0.90 |  1033      -55  0.87     -60.0 |   945   -417.1 |    661   -396.6 |      +24      -79 |     -357 | fail
60  0    2   0.20 |  1688     -197  0.78    -133.8 |  1087   -888.8 |    979   -881.1 |      -25     -172 |     -715 | fail
60  0    2   0.50 |  1688     -240  0.73    -133.8 |  1225   -899.3 |    979   -881.1 |      -65     -174 |     -760 | fail
60  0    2   0.75 |  1688     -250  0.73    -133.8 |  1388   -911.5 |    979   -881.1 |      -99     -151 |     -752 | fail
60  0    2   0.90 |  1688     -271  0.71    -133.8 |  1517   -920.4 |    979   -881.1 |     -103     -168 |     -766 | fail
60  0    4   0.20 |  1550     -242  0.70     -90.0 |  1002   -813.8 |    897   -807.3 |      -50     -192 |     -678 | fail
60  0    4   0.50 |  1550     -179  0.78     -90.0 |  1113   -821.6 |    897   -807.3 |      +10     -190 |     -626 | fail
60  0    4   0.75 |  1550     -118  0.86     -90.0 |  1253   -831.9 |    897   -807.3 |      +36     -154 |     -593 | fail
60  0    4   0.90 |  1550      -68  0.92     -90.0 |  1390   -842.1 |    897   -807.3 |      +68     -136 |     -569 | fail
60  0    8   0.20 |  1242     -170  0.73     -90.0 |   787   -628.7 |    689   -620.1 |      -23     -148 |     -529 | fail
60  0    8   0.50 |  1242     -129  0.80     -90.0 |   899   -637.0 |    689   -620.1 |      +22     -151 |     -491 | fail
60  0    8   0.75 |  1242      -83  0.87     -90.0 |  1013   -646.3 |    689   -620.1 |      +20     -103 |     -460 | fail
60  0    8   0.90 |  1242      -59  0.91     -90.0 |  1122   -654.5 |    689   -620.1 |      +29      -88 |     -464 | fail
60  0    12  0.20 |  1033     -179  0.67     -90.0 |   664   -542.1 |    597   -537.3 |      -50     -129 |     -475 | fail
60  0    12  0.50 |  1033     -121  0.78     -90.0 |   753   -548.3 |    597   -537.3 |      +25     -146 |     -413 | fail
60  0    12  0.75 |  1033     -108  0.80     -90.0 |   845   -555.3 |    597   -537.3 |      +12     -120 |     -407 | fail
60  0    12  0.90 |  1033     -132  0.77     -90.0 |   935   -562.0 |    597   -537.3 |       -6     -126 |     -424 | fail
