SINGLE-LEG MIMIC CERT — coin=ADA early=1 bars=48569 thr=1.50% confirm=60bp RT=30/60bp legs=1 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    2   0.20 |  1258      -96  0.81     -60.0 |   874   -491.9 |    813   -487.8 |      -20      -76 |     -472 | fail
30  0    2   0.50 |  1258     -126  0.75     -60.0 |   949   -497.4 |    813   -487.8 |      -19     -107 |     -492 | fail
30  0    2   0.75 |  1257     -125  0.75     -60.0 |  1061   -505.2 |    813   -487.8 |      -35      -91 |     -497 | fail
30  0    2   0.90 |  1257     -114  0.78     -60.0 |  1159   -512.0 |    813   -487.8 |      -33      -82 |     -493 | fail
30  0    4   0.20 |  1276      -77  0.85     -60.0 |   914   -511.9 |    844   -506.4 |       +8      -85 |     -447 | fail
30  0    4   0.50 |  1276      -74  0.86     -60.0 |   981   -517.7 |    844   -506.4 |       -8      -66 |     -447 | fail
30  0    4   0.75 |  1276      -53  0.90     -60.0 |  1089   -525.7 |    844   -506.4 |      +17      -69 |     -434 | fail
30  0    4   0.90 |  1276      -36  0.93     -60.0 |  1165   -531.0 |    844   -506.4 |      +22      -57 |     -416 | fail
30  0    8   0.20 |  1042      -38  0.91     -60.0 |   738   -410.7 |    679   -407.4 |      +24      -62 |     -367 | fail
30  0    8   0.50 |  1042       -5  0.99     -60.0 |   807   -416.6 |    679   -407.4 |      +29      -33 |     -332 | fail
30  0    8   0.75 |  1041       +9  1.02     -60.0 |   890   -422.0 |    679   -407.4 |      +23      -13 |     -328 | fail
30  0    8   0.90 |  1041      +42  1.10     -60.0 |   956   -426.8 |    679   -407.4 |      +62      -20 |     -306 | fail
30  0    12  0.20 |   896      -85  0.76     -60.0 |   643   -359.0 |    594   -356.4 |      -24      -61 |     -359 | fail
30  0    12  0.50 |   896      -77  0.79     -60.0 |   698   -363.5 |    594   -356.4 |      -19      -58 |     -347 | fail
30  0    12  0.75 |   895      -54  0.85     -60.0 |   765   -368.1 |    594   -356.4 |      +28      -82 |     -335 | fail
30  0    12  0.90 |   895      -70  0.81     -60.0 |   824   -372.3 |    594   -356.4 |      +18      -88 |     -341 | fail
60  0    2   0.20 |  1258     -235  0.65     -90.0 |   819   -677.1 |    747   -672.3 |     -104     -130 |     -621 | fail
60  0    2   0.50 |  1258     -265  0.61     -90.0 |   909   -683.5 |    747   -672.3 |      -97     -168 |     -640 | fail
60  0    2   0.75 |  1257     -266  0.62     -90.0 |  1032   -691.9 |    747   -672.3 |     -108     -158 |     -648 | fail
60  0    2   0.90 |  1257     -259  0.63     -90.0 |  1143   -699.6 |    747   -672.3 |     -107     -151 |     -645 | fail
60  0    4   0.20 |  1276     -218  0.69     -90.0 |   854   -696.1 |    766   -689.4 |      -72     -146 |     -597 | fail
60  0    4   0.50 |  1276     -198  0.72     -90.0 |   942   -703.2 |    766   -689.4 |      -83     -115 |     -585 | fail
60  0    4   0.75 |  1276     -171  0.76     -90.0 |  1068   -712.2 |    766   -689.4 |      -56     -116 |     -556 | fail
60  0    4   0.90 |  1276     -155  0.78     -90.0 |  1150   -718.0 |    766   -689.4 |      -51     -104 |     -537 | fail
60  0    8   0.20 |  1042     -131  0.76     -90.0 |   681   -553.9 |    610   -549.0 |      -30     -101 |     -461 | fail
60  0    8   0.50 |  1042      -80  0.86     -90.0 |   761   -560.6 |    610   -549.0 |      -19      -61 |     -407 | fail
60  0    8   0.75 |  1041      -69  0.88     -90.0 |   863   -567.3 |    610   -549.0 |      -32      -38 |     -410 | fail
60  0    8   0.90 |  1041      -31  0.95     -90.0 |   938   -572.7 |    610   -549.0 |      +13      -44 |     -383 | fail
60  0    12  0.20 |   896     -174  0.64     -90.0 |   596   -482.2 |    531   -477.9 |      -76      -98 |     -451 | fail
60  0    12  0.50 |   896     -139  0.72     -90.0 |   665   -487.8 |    531   -477.9 |      -76      -63 |     -412 | fail
60  0    12  0.75 |   895      -98  0.80     -90.0 |   746   -493.5 |    531   -477.9 |       -8      -90 |     -399 | fail
60  0    12  0.90 |   895     -109  0.78     -90.0 |   810   -498.0 |    531   -477.9 |      -14      -95 |     -404 | fail
