SINGLE-LEG MIMIC CERT — coin=ATOM early=1 bars=31062 thr=0.50% confirm=60bp RT=30/60bp legs=1 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    2   0.20 |  1759     -377  0.46     -60.0 |  1299   -695.6 |   1144   -686.4 |     -244     -133 |     -857 | fail
30  0    2   0.50 |  1759     -419  0.41     -60.0 |  1447   -705.8 |   1144   -686.4 |     -250     -169 |     -896 | fail
30  0    2   0.75 |  1759     -411  0.42     -60.0 |  1579   -714.8 |   1144   -686.4 |     -245     -167 |     -906 | fail
30  0    2   0.90 |  1759     -419  0.42     -60.0 |  1622   -718.2 |   1144   -686.4 |     -248     -171 |     -909 | fail
30  0    4   0.20 |  1375     -309  0.43     -60.0 |  1011   -538.1 |    882   -529.2 |     -174     -135 |     -713 | fail
30  0    4   0.50 |  1375     -327  0.40     -60.0 |  1130   -546.2 |    882   -529.2 |     -182     -145 |     -717 | fail
30  0    4   0.75 |  1375     -298  0.46     -60.0 |  1231   -552.9 |    882   -529.2 |     -182     -116 |     -726 | fail
30  0    4   0.90 |  1375     -300  0.46     -60.0 |  1275   -556.4 |    882   -529.2 |     -183     -116 |     -723 | fail
30  0    8   0.20 |   972     -215  0.45     -60.0 |   712   -390.4 |    643   -385.8 |     -125      -90 |     -498 | fail
30  0    8   0.50 |   972     -222  0.44     -60.0 |   798   -396.3 |    643   -385.8 |     -128      -94 |     -520 | fail
30  0    8   0.75 |   972     -197  0.51     -60.0 |   876   -401.7 |    643   -385.8 |     -116      -81 |     -519 | fail
30  0    8   0.90 |   972     -200  0.51     -60.0 |   909   -403.8 |    643   -385.8 |     -119      -81 |     -517 | fail
30  0    12  0.20 |   803     -210  0.38     -60.0 |   618   -335.7 |    551   -330.6 |     -120      -90 |     -443 | fail
30  0    12  0.50 |   803     -222  0.35     -60.0 |   676   -339.9 |    551   -330.6 |     -142      -80 |     -447 | fail
30  0    12  0.75 |   803     -216  0.37     -60.0 |   726   -344.0 |    551   -330.6 |     -135      -81 |     -445 | fail
30  0    12  0.90 |   803     -220  0.36     -60.0 |   759   -346.4 |    551   -330.6 |     -138      -83 |     -449 | fail
60  0    2   0.20 |  1759     -494  0.44     -90.0 |  1171   -876.8 |    950   -855.0 |     -281     -213 |     -977 | fail
60  0    2   0.50 |  1759     -537  0.40     -90.0 |  1361   -890.4 |    950   -855.0 |     -280     -257 |    -1011 | fail
60  0    2   0.75 |  1759     -534  0.41     -90.0 |  1531   -902.1 |    950   -855.0 |     -277     -257 |    -1022 | fail
60  0    2   0.90 |  1759     -542  0.40     -90.0 |  1588   -906.5 |    950   -855.0 |     -278     -264 |    -1024 | fail
60  0    4   0.20 |  1375     -415  0.40     -90.0 |   920   -690.6 |    750   -675.0 |     -233     -181 |     -832 | fail
60  0    4   0.50 |  1375     -435  0.38     -90.0 |  1080   -701.5 |    750   -675.0 |     -234     -201 |     -821 | fail
60  0    4   0.75 |  1375     -410  0.42     -90.0 |  1201   -709.2 |    750   -675.0 |     -231     -179 |     -838 | fail
60  0    4   0.90 |  1375     -412  0.42     -90.0 |  1256   -713.9 |    750   -675.0 |     -231     -181 |     -834 | fail
60  0    8   0.20 |   972     -291  0.42     -90.0 |   649   -506.3 |    555   -499.5 |     -155     -136 |     -571 | fail
60  0    8   0.50 |   972     -303  0.41     -90.0 |   756   -513.4 |    555   -499.5 |     -156     -147 |     -597 | fail
60  0    8   0.75 |   972     -285  0.45     -90.0 |   852   -519.9 |    555   -499.5 |     -146     -139 |     -603 | fail
60  0    8   0.90 |   972     -292  0.44     -90.0 |   901   -523.3 |    555   -499.5 |     -150     -142 |     -603 | fail
60  0    12  0.20 |   803     -254  0.40     -90.0 |   555   -420.4 |    457   -411.3 |     -143     -111 |     -488 | fail
60  0    12  0.50 |   803     -268  0.37     -90.0 |   634   -426.2 |    457   -411.3 |     -162     -106 |     -493 | fail
60  0    12  0.75 |   803     -273  0.37     -90.0 |   696   -431.1 |    457   -411.3 |     -157     -115 |     -502 | fail
60  0    12  0.90 |   803     -280  0.36     -90.0 |   746   -434.8 |    457   -411.3 |     -162     -118 |     -507 | fail
