SINGLE-LEG MIMIC CERT — coin=AVAX early=1 bars=48569 thr=1.50% confirm=60bp RT=30/60bp legs=1 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    2   0.20 |  1662     +144  1.24     -60.0 |  1095   -610.3 |   1008   -604.8 |     +194      -50 |     -375 | fail
30  0    2   0.50 |  1662     +158  1.26     -60.0 |  1192   -617.8 |   1008   -604.8 |     +206      -48 |     -341 | fail
30  0    2   0.75 |  1662     +180  1.29     -60.0 |  1354   -628.6 |   1008   -604.8 |     +216      -36 |     -322 | fail
30  0    2   0.90 |  1662     +215  1.34     -60.0 |  1499   -640.5 |   1008   -604.8 |     +251      -36 |     -309 | fail
30  0    4   0.20 |  1522      +36  1.06     -60.0 |  1029   -574.6 |    950   -570.0 |     +112      -76 |     -414 | fail
30  0    4   0.50 |  1522      +68  1.12     -60.0 |  1131   -580.9 |    950   -570.0 |     +157      -89 |     -408 | fail
30  0    4   0.75 |  1522      +34  1.06     -60.0 |  1257   -590.2 |    950   -570.0 |     +127      -93 |     -443 | fail
30  0    4   0.90 |  1522      +81  1.14     -60.0 |  1379   -599.5 |    950   -570.0 |     +159      -78 |     -413 | fail
30  0    8   0.20 |  1232      -36  0.92     -60.0 |   851   -472.7 |    781   -468.6 |      +67     -103 |     -409 | fail
30  0    8   0.50 |  1232      -77  0.84     -60.0 |   928   -478.4 |    781   -468.6 |      +15      -92 |     -457 | fail
30  0    8   0.75 |  1232      -89  0.82     -60.0 |  1043   -487.3 |    781   -468.6 |      +24     -113 |     -454 | fail
30  0    8   0.90 |  1232     -109  0.78     -60.0 |  1135   -494.4 |    781   -468.6 |       +7     -116 |     -467 | fail
30  0    12  0.20 |  1012       +3  1.01     -60.0 |   696   -388.1 |    640   -384.0 |      +74      -70 |     -294 | fail
30  0    12  0.50 |  1012      -66  0.83     -60.0 |   761   -393.3 |    640   -384.0 |       +9      -75 |     -352 | fail
30  0    12  0.75 |  1012      -54  0.86     -60.0 |   853   -399.9 |    640   -384.0 |      +16      -70 |     -346 | fail
30  0    12  0.90 |  1012       -1  1.00     -60.0 |   914   -404.9 |    640   -384.0 |      +67      -68 |     -341 | fail
60  0    2   0.20 |  1662      -28  0.97     -90.0 |  1019   -831.7 |    917   -825.3 |      +96     -125 |     -559 | fail
60  0    2   0.50 |  1662      -26  0.97     -90.0 |  1139   -840.7 |    917   -825.3 |     +106     -132 |     -546 | fail
60  0    2   0.75 |  1662      -13  0.98     -90.0 |  1319   -852.7 |    917   -825.3 |     +114     -127 |     -528 | fail
60  0    2   0.90 |  1662      +21  1.02     -90.0 |  1485   -866.0 |    917   -825.3 |     +145     -124 |     -516 | fail
60  0    4   0.20 |  1522      -84  0.89     -90.0 |   954   -777.3 |    856   -770.4 |      +32     -116 |     -545 | fail
60  0    4   0.50 |  1522      -72  0.91     -90.0 |  1073   -784.8 |    856   -770.4 |      +77     -149 |     -558 | fail
60  0    4   0.75 |  1522     -120  0.85     -90.0 |  1217   -795.3 |    856   -770.4 |      +44     -164 |     -608 | fail
60  0    4   0.90 |  1522      -69  0.91     -90.0 |  1362   -806.1 |    856   -770.4 |      +73     -142 |     -574 | fail
60  0    8   0.20 |  1232     -132  0.79     -90.0 |   783   -633.4 |    698   -628.2 |      +10     -142 |     -507 | fail
60  0    8   0.50 |  1232     -156  0.76     -90.0 |   882   -640.9 |    698   -628.2 |      -49     -108 |     -550 | fail
60  0    8   0.75 |  1232     -179  0.72     -90.0 |  1011   -650.5 |    698   -628.2 |      -43     -136 |     -550 | fail
60  0    8   0.90 |  1232     -201  0.69     -90.0 |  1120   -658.9 |    698   -628.2 |      -62     -139 |     -564 | fail
60  0    12  0.20 |  1012      -84  0.84     -90.0 |   644   -521.6 |    572   -514.8 |      +17     -101 |     -359 | fail
60  0    12  0.50 |  1012     -146  0.72     -90.0 |   725   -527.8 |    572   -514.8 |      -50      -96 |     -413 | fail
60  0    12  0.75 |  1012     -110  0.80     -90.0 |   829   -535.4 |    572   -514.8 |      -41      -69 |     -392 | fail
60  0    12  0.90 |  1012      -35  0.94     -90.0 |   898   -540.8 |    572   -514.8 |      +12      -47 |     -374 | fail
