SINGLE-LEG MIMIC CERT — coin=BNB early=1 bars=48569 thr=1.50% confirm=60bp RT=30/60bp legs=1 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    2   0.20 |   757      -29  0.90     -60.0 |   519   -283.2 |    466   -279.6 |      +24      -52 |     -270 | fail
30  0    2   0.50 |   757      -29  0.90     -60.0 |   574   -287.2 |    466   -279.6 |      +24      -53 |     -269 | fail
30  0    2   0.75 |   757      -51  0.83     -60.0 |   639   -292.1 |    466   -279.6 |       +9      -60 |     -307 | fail
30  0    2   0.90 |   757      -28  0.90     -60.0 |   694   -295.9 |    466   -279.6 |      +12      -41 |     -305 | fail
30  0    4   0.20 |   799      -90  0.70     -60.0 |   550   -301.0 |    496   -297.6 |       -2      -88 |     -329 | fail
30  0    4   0.50 |   799      -56  0.82     -60.0 |   610   -306.0 |    496   -297.6 |       +9      -64 |     -301 | fail
30  0    4   0.75 |   799      -14  0.96     -60.0 |   679   -311.2 |    496   -297.6 |      +56      -70 |     -262 | fail
30  0    4   0.90 |   799       -7  0.98     -60.0 |   740   -315.6 |    496   -297.6 |      +66      -73 |     -249 | fail
30  0    8   0.20 |   740     -104  0.63     -60.0 |   516   -280.4 |    460   -276.0 |      -49      -55 |     -331 | fail
30  0    8   0.50 |   740      -75  0.74     -60.0 |   578   -285.5 |    460   -276.0 |      -23      -53 |     -281 | fail
30  0    8   0.75 |   740      +43  1.15     -60.0 |   642   -290.3 |    460   -276.0 |      +86      -43 |     -158 | fail
30  0    8   0.90 |   740      +34  1.11     -60.0 |   694   -294.2 |    460   -276.0 |      +79      -46 |     -161 | fail
30  0    12  0.20 |   657      -98  0.60     -60.0 |   462   -246.3 |    404   -242.4 |      -25      -73 |     -292 | fail
30  0    12  0.50 |   657      +27  1.11     -60.0 |   517   -249.9 |    404   -242.4 |      +97      -70 |     -158 | fail
30  0    12  0.75 |   657      +19  1.07     -60.0 |   571   -253.6 |    404   -242.4 |      +82      -64 |     -167 | fail
30  0    12  0.90 |   657      +97  1.38     -60.0 |   606   -256.5 |    404   -242.4 |     +157      -61 |      -90 | fail
60  0    2   0.20 |   757      -84  0.78     -90.0 |   485   -374.9 |    411   -369.9 |       +3      -87 |     -323 | fail
60  0    2   0.50 |   757      -71  0.81     -90.0 |   545   -379.2 |    411   -369.9 |      +19      -90 |     -304 | fail
60  0    2   0.75 |   757      -87  0.77     -90.0 |   624   -385.2 |    411   -369.9 |       +4      -91 |     -336 | fail
60  0    2   0.90 |   757      -66  0.83     -90.0 |   684   -389.3 |    411   -369.9 |       +5      -71 |     -335 | fail
60  0    4   0.20 |   799     -156  0.60     -90.0 |   503   -393.3 |    432   -388.8 |      -34     -122 |     -380 | fail
60  0    4   0.50 |   799     -126  0.68     -90.0 |   575   -399.4 |    432   -388.8 |      -26     -101 |     -357 | fail
60  0    4   0.75 |   799      -77  0.81     -90.0 |   659   -405.4 |    432   -388.8 |      +16      -93 |     -303 | fail
60  0    4   0.90 |   799      -74  0.82     -90.0 |   735   -411.0 |    432   -388.8 |      +23      -97 |     -292 | fail
60  0    8   0.20 |   740     -164  0.55     -90.0 |   467   -365.1 |    399   -359.1 |      -73      -91 |     -387 | fail
60  0    8   0.50 |   740     -136  0.63     -90.0 |   547   -371.5 |    399   -359.1 |      -47      -89 |     -339 | fail
60  0    8   0.75 |   740      -19  0.95     -90.0 |   628   -377.4 |    399   -359.1 |      +63      -82 |     -205 | fail
60  0    8   0.90 |   740      -30  0.92     -90.0 |   687   -381.9 |    399   -359.1 |      +55      -85 |     -208 | fail
60  0    12  0.20 |   657     -135  0.56     -90.0 |   417   -307.0 |    335   -301.5 |      -41      -94 |     -325 | fail
60  0    12  0.50 |   657       +5  1.01     -90.0 |   487   -311.4 |    335   -301.5 |      +98      -93 |     -168 | fail
60  0    12  0.75 |   657      +14  1.04     -90.0 |   558   -316.4 |    335   -301.5 |      +93      -79 |     -156 | fail
60  0    12  0.90 |   657      +92  1.29     -90.0 |   599   -319.5 |    335   -301.5 |     +168      -76 |      -80 | fail
