SINGLE-LEG MIMIC CERT — coin=BTC early=1 bars=48567 thr=1.50% confirm=60bp RT=30/60bp legs=1 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    2   0.20 |   519     -124  0.43     -60.0 |   397   -217.8 |    359   -215.4 |      -60      -64 |     -289 | fail
30  0    2   0.50 |   519     -116  0.47     -60.0 |   421   -219.7 |    359   -215.4 |      -60      -56 |     -280 | fail
30  0    2   0.75 |   519     -118  0.47     -60.0 |   467   -223.0 |    359   -215.4 |      -61      -57 |     -283 | fail
30  0    2   0.90 |   519     -121  0.46     -60.0 |   492   -224.8 |    359   -215.4 |      -64      -56 |     -286 | fail
30  0    4   0.20 |   607     -153  0.42     -60.0 |   470   -262.4 |    432   -259.2 |      -83      -70 |     -345 | fail
30  0    4   0.50 |   607     -147  0.45     -60.0 |   509   -265.7 |    432   -259.2 |      -78      -69 |     -321 | fail
30  0    4   0.75 |   607     -152  0.43     -60.0 |   543   -267.9 |    432   -259.2 |      -74      -79 |     -314 | fail
30  0    4   0.90 |   607     -154  0.43     -60.0 |   577   -270.4 |    432   -259.2 |      -76      -77 |     -315 | fail
30  0    8   0.20 |   590     -126  0.46     -60.0 |   434   -233.9 |    385   -231.0 |      -50      -76 |     -297 | fail
30  0    8   0.50 |   590     -111  0.53     -60.0 |   467   -236.1 |    385   -231.0 |      -53      -57 |     -289 | fail
30  0    8   0.75 |   590     -124  0.48     -60.0 |   520   -239.6 |    385   -231.0 |      -68      -56 |     -295 | fail
30  0    8   0.90 |   590     -135  0.44     -60.0 |   552   -242.1 |    385   -231.0 |      -78      -57 |     -300 | fail
30  0    12  0.20 |   556     -130  0.42     -60.0 |   413   -225.8 |    371   -222.6 |      -49      -81 |     -304 | fail
30  0    12  0.50 |   556     -137  0.40     -60.0 |   450   -228.2 |    371   -222.6 |      -57      -79 |     -300 | fail
30  0    12  0.75 |   556     -115  0.50     -60.0 |   495   -231.2 |    371   -222.6 |      -57      -58 |     -288 | fail
30  0    12  0.90 |   556     -121  0.48     -60.0 |   522   -233.5 |    371   -222.6 |      -65      -56 |     -292 | fail
60  0    2   0.20 |   519     -171  0.40     -90.0 |   367   -287.7 |    316   -284.4 |      -88      -83 |     -337 | fail
60  0    2   0.50 |   519     -172  0.41     -90.0 |   401   -290.6 |    316   -284.4 |      -92      -80 |     -336 | fail
60  0    2   0.75 |   519     -178  0.40     -90.0 |   454   -294.3 |    316   -284.4 |      -95      -83 |     -339 | fail
60  0    2   0.90 |   519     -182  0.39     -90.0 |   486   -296.4 |    316   -284.4 |      -99      -83 |     -343 | fail
60  0    4   0.20 |   607     -214  0.37     -90.0 |   424   -341.4 |    375   -337.5 |     -120      -95 |     -406 | fail
60  0    4   0.50 |   607     -214  0.38     -90.0 |   480   -346.0 |    375   -337.5 |     -118      -96 |     -389 | fail
60  0    4   0.75 |   607     -224  0.36     -90.0 |   527   -349.0 |    375   -337.5 |     -114     -110 |     -388 | fail
60  0    4   0.90 |   607     -226  0.36     -90.0 |   570   -352.2 |    375   -337.5 |     -116     -109 |     -389 | fail
60  0    8   0.20 |   590     -184  0.39     -90.0 |   398   -301.9 |    330   -297.0 |      -85      -99 |     -346 | fail
60  0    8   0.50 |   590     -170  0.44     -90.0 |   450   -305.7 |    330   -297.0 |      -87      -83 |     -332 | fail
60  0    8   0.75 |   590     -189  0.39     -90.0 |   511   -309.6 |    330   -297.0 |     -104      -85 |     -342 | fail
60  0    8   0.90 |   590     -200  0.36     -90.0 |   550   -312.6 |    330   -297.0 |     -114      -86 |     -348 | fail
60  0    12  0.20 |   556     -180  0.38     -90.0 |   381   -291.8 |    319   -287.1 |      -81     -100 |     -349 | fail
60  0    12  0.50 |   556     -183  0.38     -90.0 |   429   -295.1 |    319   -287.1 |      -84     -100 |     -329 | fail
60  0    12  0.75 |   556     -162  0.46     -90.0 |   479   -298.4 |    319   -287.1 |      -81      -81 |     -325 | fail
60  0    12  0.90 |   556     -166  0.45     -90.0 |   516   -301.3 |    319   -287.1 |      -86      -79 |     -327 | fail
