SINGLE-LEG MIMIC CERT — coin=CRV early=1 bars=31062 thr=0.50% confirm=60bp RT=30/60bp legs=1 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    2   0.20 |  2296     -229  0.74     -60.0 |  1614   -883.8 |   1455   -873.0 |     -155      -75 |     -941 | fail
30  0    2   0.50 |  2296     -264  0.71     -60.0 |  1791   -896.6 |   1455   -873.0 |     -169      -95 |     -924 | fail
30  0    2   0.75 |  2296     -204  0.78     -60.0 |  1971   -909.8 |   1455   -873.0 |     -133      -72 |     -907 | fail
30  0    2   0.90 |  2296     -205  0.78     -60.0 |  2064   -917.4 |   1455   -873.0 |     -121      -85 |     -912 | fail
30  0    4   0.20 |  1716     -164  0.76     -60.0 |  1221   -671.5 |   1105   -663.0 |     -149      -15 |     -691 | fail
30  0    4   0.50 |  1716     -140  0.79     -60.0 |  1363   -681.1 |   1105   -663.0 |     -112      -28 |     -654 | fail
30  0    4   0.75 |  1716     -111  0.84     -60.0 |  1496   -690.5 |   1105   -663.0 |     -101      -10 |     -636 | fail
30  0    4   0.90 |  1716     -105  0.85     -60.0 |  1569   -696.1 |   1105   -663.0 |      -88      -17 |     -639 | fail
30  0    8   0.20 |  1220      -78  0.84     -60.0 |   857   -474.1 |    776   -465.6 |      -62      -15 |     -458 | fail
30  0    8   0.50 |  1220      -87  0.82     -60.0 |   945   -479.7 |    776   -465.6 |      -88       +1 |     -450 | fail
30  0    8   0.75 |  1220     -114  0.77     -60.0 |  1045   -486.2 |    776   -465.6 |      -81      -32 |     -476 | fail
30  0    8   0.90 |  1220     -108  0.78     -60.0 |  1129   -492.5 |    776   -465.6 |      -91      -17 |     -475 | fail
30  0    12  0.20 |   987      -94  0.76     -60.0 |   700   -384.5 |    631   -378.6 |      -70      -24 |     -400 | fail
30  0    12  0.50 |   987     -107  0.73     -60.0 |   768   -389.2 |    631   -378.6 |      -84      -23 |     -404 | fail
30  0    12  0.75 |   987      -82  0.79     -60.0 |   841   -394.4 |    631   -378.6 |      -91       +9 |     -438 | fail
30  0    12  0.90 |   987      -93  0.77     -60.0 |   904   -399.4 |    631   -378.6 |     -101       +9 |     -435 | fail
60  0    2   0.20 |  2296     -455  0.62     -90.0 |  1495  -1189.7 |   1301  -1170.9 |     -270     -185 |    -1159 | fail
60  0    2   0.50 |  2296     -480  0.60     -90.0 |  1706  -1204.6 |   1301  -1170.9 |     -281     -199 |    -1142 | fail
60  0    2   0.75 |  2296     -429  0.65     -90.0 |  1926  -1220.6 |   1301  -1170.9 |     -245     -184 |    -1129 | fail
60  0    2   0.90 |  2296     -431  0.65     -90.0 |  2028  -1229.1 |   1301  -1170.9 |     -233     -198 |    -1136 | fail
60  0    4   0.20 |  1716     -327  0.64     -90.0 |  1124   -897.3 |    981   -882.9 |     -224     -103 |     -856 | fail
60  0    4   0.50 |  1716     -284  0.69     -90.0 |  1296   -909.4 |    981   -882.9 |     -169     -115 |     -804 | fail
60  0    4   0.75 |  1716     -263  0.71     -90.0 |  1454   -920.9 |    981   -882.9 |     -155     -108 |     -784 | fail
60  0    4   0.90 |  1716     -261  0.72     -90.0 |  1542   -927.9 |    981   -882.9 |     -144     -118 |     -791 | fail
60  0    8   0.20 |  1220     -186  0.71     -90.0 |   794   -635.5 |    688   -619.2 |     -127      -58 |     -581 | fail
60  0    8   0.50 |  1220     -197  0.69     -90.0 |   896   -642.3 |    688   -619.2 |     -151      -46 |     -574 | fail
60  0    8   0.75 |  1220     -227  0.65     -90.0 |  1020   -650.9 |    688   -619.2 |     -152      -75 |     -601 | fail
60  0    8   0.90 |  1220     -227  0.66     -90.0 |  1117   -658.1 |    688   -619.2 |     -162      -64 |     -603 | fail
60  0    12  0.20 |   987     -185  0.64     -90.0 |   648   -517.4 |    562   -505.8 |     -118      -66 |     -500 | fail
60  0    12  0.50 |   987     -193  0.63     -90.0 |   725   -523.0 |    562   -505.8 |     -123      -71 |     -496 | fail
60  0    12  0.75 |   987     -179  0.66     -90.0 |   819   -529.8 |    562   -505.8 |     -134      -45 |     -537 | fail
60  0    12  0.90 |   987     -193  0.64     -90.0 |   892   -535.6 |    562   -505.8 |     -145      -48 |     -535 | fail
