SINGLE-LEG MIMIC CERT — coin=DOGE early=1 bars=48569 thr=1.00% confirm=60bp RT=30/60bp legs=1 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    2   0.20 |  2132      -47  0.94     -60.0 |  1545   -845.9 |   1392   -835.2 |     +115     -163 |     -680 | fail
30  0    2   0.50 |  2132     -113  0.87     -60.0 |  1680   -856.1 |   1392   -835.2 |      +36     -149 |     -717 | fail
30  0    2   0.75 |  2132     +283  1.33     -60.0 |  1833   -866.1 |   1392   -835.2 |     +439     -156 |     -300 | fail
30  0    2   0.90 |  2132     +286  1.33     -60.0 |  1955   -875.2 |   1392   -835.2 |     +445     -159 |     -336 | fail
30  0    4   0.20 |  1800     -198  0.73     -60.0 |  1326   -743.4 |   1228   -736.8 |      -60     -138 |     -741 | fail
30  0    4   0.50 |  1800     -243  0.68     -60.0 |  1454   -753.3 |   1228   -736.8 |      -84     -159 |     -773 | fail
30  0    4   0.75 |  1800     -310  0.59     -60.0 |  1578   -762.1 |   1228   -736.8 |     -112     -198 |     -806 | fail
30  0    4   0.90 |  1800     -214  0.72     -60.0 |  1672   -768.6 |   1228   -736.8 |      -16     -198 |     -797 | fail
30  0    8   0.20 |  1373     -171  0.70     -60.0 |  1027   -563.8 |    926   -555.6 |      -23     -149 |     -571 | fail
30  0    8   0.50 |  1373     -161  0.72     -60.0 |  1118   -571.0 |    926   -555.6 |      -62      -99 |     -422 | fail
30  0    8   0.75 |  1373     -165  0.71     -60.0 |  1209   -577.0 |    926   -555.6 |      -73      -92 |     -424 | fail
30  0    8   0.90 |  1373     -132  0.77     -60.0 |  1282   -581.7 |    926   -555.6 |      -36      -97 |     -406 | fail
30  0    12  0.20 |  1131      -44  0.90     -60.0 |   833   -465.1 |    766   -459.6 |      +36      -80 |     -392 | fail
30  0    12  0.50 |  1131      +98  1.21     -60.0 |   900   -470.1 |    766   -459.6 |     +161      -63 |     -244 | fail
30  0    12  0.75 |  1131      +69  1.14     -60.0 |   981   -475.9 |    766   -459.6 |     +169     -100 |     -263 | fail
30  0    12  0.90 |  1131      +57  1.12     -60.0 |  1039   -479.6 |    766   -459.6 |     +175     -118 |     -260 | fail
60  0    2   0.20 |  2132     -269  0.76     -90.0 |  1445  -1141.9 |   1253  -1127.7 |       -2     -268 |     -912 | fail
60  0    2   0.50 |  2132     -332  0.71     -90.0 |  1606  -1153.9 |   1253  -1127.7 |      -74     -258 |     -955 | fail
60  0    2   0.75 |  2132      +58  1.05     -90.0 |  1793  -1166.7 |   1253  -1127.7 |     +320     -262 |     -532 | fail
60  0    2   0.90 |  2132      +56  1.05     -90.0 |  1930  -1176.8 |   1253  -1127.7 |     +322     -266 |     -569 | fail
60  0    4   0.20 |  1800     -379  0.62     -90.0 |  1239  -1004.3 |   1105   -994.5 |     -156     -223 |     -931 | fail
60  0    4   0.50 |  1800     -445  0.56     -90.0 |  1393  -1015.9 |   1105   -994.5 |     -189     -257 |     -993 | fail
60  0    4   0.75 |  1800     -509  0.50     -90.0 |  1539  -1026.0 |   1105   -994.5 |     -223     -286 |    -1024 | fail
60  0    4   0.90 |  1800     -418  0.60     -90.0 |  1645  -1033.6 |   1105   -994.5 |     -128     -290 |    -1018 | fail
60  0    8   0.20 |  1373     -322  0.58     -90.0 |   965   -760.5 |    834   -750.6 |     -110     -212 |     -725 | fail
60  0    8   0.50 |  1373     -299  0.61     -90.0 |  1069   -768.9 |    834   -750.6 |     -146     -153 |     -570 | fail
60  0    8   0.75 |  1373     -313  0.60     -90.0 |  1184   -776.5 |    834   -750.6 |     -160     -153 |     -560 | fail
60  0    8   0.90 |  1373     -288  0.63     -90.0 |  1268   -782.0 |    834   -750.6 |     -126     -161 |     -546 | fail
60  0    12  0.20 |  1131     -148  0.76     -90.0 |   768   -620.5 |    681   -612.9 |      -19     -128 |     -499 | fail
60  0    12  0.50 |  1131      -14  0.98     -90.0 |   849   -626.3 |    681   -612.9 |     +101     -114 |     -366 | fail
60  0    12  0.75 |  1131      -41  0.94     -90.0 |   950   -633.3 |    681   -612.9 |     +103     -144 |     -387 | fail
60  0    12  0.90 |  1131      -53  0.92     -90.0 |  1023   -638.2 |    681   -612.9 |     +109     -162 |     -387 | fail
