SINGLE-LEG MIMIC CERT — coin=DOT early=1 bars=31062 thr=1.50% confirm=60bp RT=30/60bp legs=1 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    2   0.20 |   614      -90  0.62     -60.0 |   432   -239.5 |    395   -237.0 |      -30      -60 |     -273 | fail
30  0    2   0.50 |   614     -101  0.58     -60.0 |   479   -242.6 |    395   -237.0 |      -44      -57 |     -263 | fail
30  0    2   0.75 |   614      -94  0.62     -60.0 |   523   -246.1 |    395   -237.0 |      -44      -50 |     -253 | fail
30  0    2   0.90 |   614      -89  0.64     -60.0 |   572   -249.5 |    395   -237.0 |      -42      -47 |     -258 | fail
30  0    4   0.20 |   666      -70  0.72     -60.0 |   459   -251.8 |    414   -248.4 |      -31      -39 |     -260 | fail
30  0    4   0.50 |   666      -85  0.67     -60.0 |   513   -256.0 |    414   -248.4 |      -50      -35 |     -239 | fail
30  0    4   0.75 |   666      -51  0.80     -60.0 |   578   -261.1 |    414   -248.4 |       -6      -45 |     -198 | fail
30  0    4   0.90 |   666      -40  0.85     -60.0 |   623   -264.3 |    414   -248.4 |       -5      -34 |     -180 | fail
30  0    8   0.20 |   608      -81  0.66     -60.0 |   433   -241.8 |    399   -239.4 |      -43      -39 |     -273 | fail
30  0    8   0.50 |   608      -53  0.78     -60.0 |   472   -244.6 |    399   -239.4 |      -48       -6 |     -241 | fail
30  0    8   0.75 |   608      -77  0.69     -60.0 |   526   -248.4 |    399   -239.4 |      -59      -19 |     -253 | fail
30  0    8   0.90 |   608      -74  0.71     -60.0 |   564   -251.3 |    399   -239.4 |      -49      -25 |     -242 | fail
30  0    12  0.20 |   522      -94  0.57     -60.0 |   387   -216.2 |    357   -214.2 |      -57      -37 |     -252 | fail
30  0    12  0.50 |   522      -80  0.64     -60.0 |   427   -219.0 |    357   -214.2 |      -52      -28 |     -238 | fail
30  0    12  0.75 |   522      -84  0.62     -60.0 |   464   -221.7 |    357   -214.2 |      -60      -25 |     -242 | fail
30  0    12  0.90 |   522     -101  0.55     -60.0 |   488   -223.1 |    357   -214.2 |      -67      -33 |     -247 | fail
60  0    2   0.20 |   614     -158  0.51     -90.0 |   403   -324.4 |    357   -321.3 |      -61      -97 |     -334 | fail
60  0    2   0.50 |   614     -168  0.49     -90.0 |   462   -328.5 |    357   -321.3 |      -75      -93 |     -312 | fail
60  0    2   0.75 |   614     -157  0.53     -90.0 |   512   -332.4 |    357   -321.3 |      -74      -83 |     -304 | fail
60  0    2   0.90 |   614     -154  0.54     -90.0 |   565   -336.1 |    357   -321.3 |      -72      -82 |     -309 | fail
60  0    4   0.20 |   666     -123  0.63     -90.0 |   416   -328.8 |    361   -324.9 |      -53      -69 |     -319 | fail
60  0    4   0.50 |   666     -126  0.62     -90.0 |   486   -334.2 |    361   -324.9 |      -70      -57 |     -288 | fail
60  0    4   0.75 |   666      -95  0.72     -90.0 |   561   -340.2 |    361   -324.9 |      -28      -67 |     -251 | fail
60  0    4   0.90 |   666      -84  0.76     -90.0 |   612   -343.7 |    361   -324.9 |      -27      -56 |     -233 | fail
60  0    8   0.20 |   608     -130  0.59     -90.0 |   390   -315.9 |    348   -313.2 |      -64      -65 |     -327 | fail
60  0    8   0.50 |   608      -90  0.72     -90.0 |   441   -319.5 |    348   -313.2 |      -54      -36 |     -280 | fail
60  0    8   0.75 |   608     -108  0.67     -90.0 |   513   -324.7 |    348   -313.2 |      -59      -49 |     -296 | fail
60  0    8   0.90 |   608     -104  0.68     -90.0 |   556   -328.1 |    348   -313.2 |      -50      -54 |     -285 | fail
60  0    12  0.20 |   522     -143  0.50     -90.0 |   354   -285.3 |    313   -281.7 |      -76      -67 |     -298 | fail
60  0    12  0.50 |   522     -139  0.52     -90.0 |   406   -288.9 |    313   -281.7 |      -75      -63 |     -297 | fail
60  0    12  0.75 |   522     -143  0.51     -90.0 |   456   -292.6 |    313   -281.7 |      -85      -58 |     -298 | fail
60  0    12  0.90 |   522     -154  0.47     -90.0 |   482   -294.1 |    313   -281.7 |      -92      -62 |     -302 | fail
