SINGLE-LEG MIMIC CERT — coin=ETC early=1 bars=31062 thr=0.50% confirm=60bp RT=30/60bp legs=1 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    2   0.20 |  1602     -296  0.54     -60.0 |  1174   -642.1 |   1057   -634.2 |     -171     -125 |     -750 | fail
30  0    2   0.50 |  1602     -323  0.50     -60.0 |  1282   -649.7 |   1057   -634.2 |     -183     -140 |     -789 | fail
30  0    2   0.75 |  1602     -301  0.54     -60.0 |  1395   -658.2 |   1057   -634.2 |     -181     -120 |     -762 | fail
30  0    2   0.90 |  1602     -300  0.55     -60.0 |  1450   -662.0 |   1057   -634.2 |     -180     -121 |     -764 | fail
30  0    4   0.20 |  1312     -220  0.58     -60.0 |   961   -518.6 |    852   -511.2 |     -133      -87 |     -618 | fail
30  0    4   0.50 |  1312     -245  0.54     -60.0 |  1062   -526.8 |    852   -511.2 |     -146      -98 |     -661 | fail
30  0    4   0.75 |  1312     -240  0.55     -60.0 |  1164   -534.6 |    852   -511.2 |     -146      -94 |     -658 | fail
30  0    4   0.90 |  1312     -249  0.54     -60.0 |  1209   -538.3 |    852   -511.2 |     -150      -99 |     -669 | fail
30  0    8   0.20 |   943     -135  0.64     -60.0 |   690   -375.2 |    617   -370.2 |      -79      -56 |     -433 | fail
30  0    8   0.50 |   943     -151  0.60     -60.0 |   754   -379.9 |    617   -370.2 |      -71      -80 |     -439 | fail
30  0    8   0.75 |   943     -152  0.61     -60.0 |   830   -385.9 |    617   -370.2 |      -74      -78 |     -444 | fail
30  0    8   0.90 |   943     -146  0.62     -60.0 |   872   -388.8 |    617   -370.2 |      -66      -80 |     -442 | fail
30  0    12  0.20 |   763     -160  0.49     -60.0 |   562   -310.4 |    510   -306.0 |      -83      -76 |     -387 | fail
30  0    12  0.50 |   763     -172  0.45     -60.0 |   622   -314.7 |    510   -306.0 |      -95      -77 |     -402 | fail
30  0    12  0.75 |   763     -155  0.51     -60.0 |   676   -318.6 |    510   -306.0 |      -91      -64 |     -371 | fail
30  0    12  0.90 |   763     -154  0.52     -60.0 |   713   -321.5 |    510   -306.0 |      -87      -67 |     -377 | fail
60  0    2   0.20 |  1602     -428  0.49     -90.0 |  1084   -835.2 |    906   -815.4 |     -239     -189 |     -864 | fail
60  0    2   0.50 |  1602     -444  0.47     -90.0 |  1223   -844.6 |    906   -815.4 |     -241     -203 |     -878 | fail
60  0    2   0.75 |  1602     -423  0.50     -90.0 |  1358   -854.6 |    906   -815.4 |     -241     -182 |     -851 | fail
60  0    2   0.90 |  1602     -424  0.51     -90.0 |  1422   -859.3 |    906   -815.4 |     -240     -183 |     -853 | fail
60  0    4   0.20 |  1312     -340  0.50     -90.0 |   888   -682.4 |    742   -667.8 |     -207     -134 |     -731 | fail
60  0    4   0.50 |  1312     -381  0.45     -90.0 |  1011   -691.9 |    742   -667.8 |     -225     -156 |     -790 | fail
60  0    4   0.75 |  1312     -380  0.46     -90.0 |  1138   -701.8 |    742   -667.8 |     -224     -155 |     -770 | fail
60  0    4   0.90 |  1312     -389  0.45     -90.0 |  1193   -706.4 |    742   -667.8 |     -230     -160 |     -781 | fail
60  0    8   0.20 |   943     -199  0.59     -90.0 |   636   -485.5 |    528   -475.2 |     -124      -75 |     -478 | fail
60  0    8   0.50 |   943     -227  0.54     -90.0 |   715   -490.9 |    528   -475.2 |     -122     -105 |     -488 | fail
60  0    8   0.75 |   943     -238  0.52     -90.0 |   810   -497.8 |    528   -475.2 |     -129     -109 |     -502 | fail
60  0    8   0.90 |   943     -234  0.53     -90.0 |   860   -501.3 |    528   -475.2 |     -121     -113 |     -500 | fail
60  0    12  0.20 |   763     -191  0.50     -90.0 |   496   -380.7 |    412   -370.8 |      -93      -98 |     -426 | fail
60  0    12  0.50 |   763     -211  0.46     -90.0 |   583   -386.6 |    412   -370.8 |     -110     -101 |     -448 | fail
60  0    12  0.75 |   763     -192  0.51     -90.0 |   654   -391.9 |    412   -370.8 |     -105      -87 |     -411 | fail
60  0    12  0.90 |   763     -188  0.52     -90.0 |   698   -395.3 |    412   -370.8 |     -101      -87 |     -417 | fail
