SINGLE-LEG MIMIC CERT — coin=ETH early=1 bars=48568 thr=1.50% confirm=60bp RT=30/60bp legs=1 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    2   0.20 |   853     -107  0.68     -60.0 |   608   -335.5 |    553   -331.8 |      -30      -77 |     -352 | fail
30  0    2   0.50 |   853     -120  0.65     -60.0 |   673   -339.8 |    553   -331.8 |      -44      -76 |     -362 | fail
30  0    2   0.75 |   853     -129  0.63     -60.0 |   732   -343.9 |    553   -331.8 |      -44      -85 |     -392 | fail
30  0    2   0.90 |   853     -138  0.60     -60.0 |   783   -347.9 |    553   -331.8 |      -47      -91 |     -398 | fail
30  0    4   0.20 |   896      -84  0.76     -60.0 |   628   -349.7 |    578   -346.8 |      -31      -53 |     -361 | fail
30  0    4   0.50 |   896      -67  0.81     -60.0 |   695   -354.2 |    578   -346.8 |       -4      -63 |     -346 | fail
30  0    4   0.75 |   896      -82  0.77     -60.0 |   768   -359.3 |    578   -346.8 |      -11      -71 |     -363 | fail
30  0    4   0.90 |   896      -97  0.73     -60.0 |   828   -364.1 |    578   -346.8 |      -24      -73 |     -363 | fail
30  0    8   0.20 |   800      -71  0.77     -60.0 |   551   -304.7 |    502   -301.2 |      -18      -53 |     -301 | fail
30  0    8   0.50 |   800      -85  0.73     -60.0 |   623   -309.6 |    502   -301.2 |      -33      -52 |     -310 | fail
30  0    8   0.75 |   800      -36  0.89     -60.0 |   676   -313.6 |    502   -301.2 |      +29      -65 |     -271 | fail
30  0    8   0.90 |   800      -39  0.88     -60.0 |   734   -317.8 |    502   -301.2 |      +22      -61 |     -274 | fail
30  0    12  0.20 |   704     -139  0.51     -60.0 |   519   -285.1 |    470   -282.0 |      -43      -96 |     -347 | fail
30  0    12  0.50 |   704     -130  0.55     -60.0 |   578   -289.2 |    470   -282.0 |      -45      -84 |     -330 | fail
30  0    12  0.75 |   704     -141  0.52     -60.0 |   620   -292.0 |    470   -282.0 |      -46      -95 |     -336 | fail
30  0    12  0.90 |   704      -99  0.66     -60.0 |   663   -295.3 |    470   -282.0 |       -5      -94 |     -288 | fail
60  0    2   0.20 |   853     -193  0.57     -90.0 |   562   -452.6 |    498   -448.2 |      -67     -125 |     -442 | fail
60  0    2   0.50 |   853     -217  0.53     -90.0 |   636   -457.4 |    498   -448.2 |      -90     -127 |     -466 | fail
60  0    2   0.75 |   853     -238  0.49     -90.0 |   714   -463.0 |    498   -448.2 |      -95     -142 |     -496 | fail
60  0    2   0.90 |   853     -249  0.47     -90.0 |   775   -467.7 |    498   -448.2 |      -98     -151 |     -501 | fail
60  0    4   0.20 |   896     -188  0.61     -90.0 |   596   -477.4 |    526   -473.4 |      -85     -103 |     -470 | fail
60  0    4   0.50 |   896     -178  0.63     -90.0 |   675   -482.4 |    526   -473.4 |      -60     -118 |     -464 | fail
60  0    4   0.75 |   896     -195  0.60     -90.0 |   757   -488.0 |    526   -473.4 |      -71     -124 |     -485 | fail
60  0    4   0.90 |   896     -212  0.57     -90.0 |   822   -493.0 |    526   -473.4 |      -85     -127 |     -481 | fail
60  0    8   0.20 |   800     -124  0.68     -90.0 |   494   -392.3 |    431   -387.9 |      -48      -77 |     -353 | fail
60  0    8   0.50 |   800     -138  0.65     -90.0 |   579   -398.1 |    431   -387.9 |      -56      -83 |     -346 | fail
60  0    8   0.75 |   800      -91  0.78     -90.0 |   654   -403.4 |    431   -387.9 |       +2      -93 |     -306 | fail
60  0    8   0.90 |   800      -98  0.76     -90.0 |   727   -408.7 |    431   -387.9 |       -7      -91 |     -309 | fail
60  0    12  0.20 |   704     -192  0.49     -90.0 |   478   -377.7 |    415   -373.5 |      -85     -107 |     -415 | fail
60  0    12  0.50 |   704     -189  0.51     -90.0 |   548   -382.9 |    415   -373.5 |      -87     -102 |     -404 | fail
60  0    12  0.75 |   704     -207  0.46     -90.0 |   604   -386.9 |    415   -373.5 |      -93     -114 |     -414 | fail
60  0    12  0.90 |   704     -167  0.57     -90.0 |   656   -390.9 |    415   -373.5 |      -52     -115 |     -366 | fail
