SINGLE-LEG MIMIC CERT — coin=FIL early=1 bars=31062 thr=1.50% confirm=60bp RT=30/60bp legs=1 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    2   0.20 |   816      -43  0.86     -60.0 |   564   -307.9 |    507   -304.2 |      -26      -17 |     -299 | fail
30  0    2   0.50 |   816      -52  0.83     -60.0 |   634   -313.0 |    507   -304.2 |      -34      -18 |     -306 | fail
30  0    2   0.75 |   816      -60  0.81     -60.0 |   697   -317.3 |    507   -304.2 |      -31      -29 |     -315 | fail
30  0    2   0.90 |   816      -78  0.76     -60.0 |   748   -320.7 |    507   -304.2 |      -40      -38 |     -322 | fail
30  0    4   0.20 |   806      -30  0.91     -60.0 |   564   -313.4 |    517   -310.2 |       -2      -27 |     -256 | fail
30  0    4   0.50 |   806      -28  0.91     -60.0 |   623   -317.3 |    517   -310.2 |      +12      -40 |     -245 | fail
30  0    4   0.75 |   806      -36  0.89     -60.0 |   691   -322.1 |    517   -310.2 |      +10      -46 |     -245 | fail
30  0    4   0.90 |   806      -46  0.86     -60.0 |   746   -325.7 |    517   -310.2 |       +4      -50 |     -249 | fail
30  0    8   0.20 |   696      -62  0.77     -60.0 |   491   -273.4 |    451   -270.6 |      -17      -45 |     -283 | fail
30  0    8   0.50 |   696      -81  0.71     -60.0 |   548   -277.5 |    451   -270.6 |      -35      -46 |     -289 | fail
30  0    8   0.75 |   696      -78  0.73     -60.0 |   608   -282.0 |    451   -270.6 |      -20      -57 |     -275 | fail
30  0    8   0.90 |   696      -81  0.72     -60.0 |   644   -284.5 |    451   -270.6 |      -22      -59 |     -273 | fail
30  0    12  0.20 |   586      -72  0.69     -60.0 |   424   -231.6 |    382   -229.2 |      -29      -44 |     -256 | fail
30  0    12  0.50 |   586      -63  0.73     -60.0 |   463   -234.6 |    382   -229.2 |      -25      -38 |     -274 | fail
30  0    12  0.75 |   586      -91  0.62     -60.0 |   499   -237.3 |    382   -229.2 |      -32      -59 |     -299 | fail
30  0    12  0.90 |   586      -60  0.75     -60.0 |   541   -240.7 |    382   -229.2 |      -11      -49 |     -280 | fail
60  0    2   0.20 |   816     -136  0.68     -90.0 |   530   -422.6 |    464   -417.6 |      -72      -64 |     -389 | fail
60  0    2   0.50 |   816     -146  0.66     -90.0 |   611   -428.6 |    464   -417.6 |      -84      -62 |     -405 | fail
60  0    2   0.75 |   816     -157  0.64     -90.0 |   682   -433.4 |    464   -417.6 |      -80      -77 |     -404 | fail
60  0    2   0.90 |   816     -174  0.60     -90.0 |   742   -437.6 |    464   -417.6 |      -86      -88 |     -412 | fail
60  0    4   0.20 |   806     -114  0.73     -90.0 |   524   -427.4 |    471   -423.9 |      -46      -68 |     -343 | fail
60  0    4   0.50 |   806     -121  0.72     -90.0 |   597   -432.3 |    471   -423.9 |      -37      -84 |     -339 | fail
60  0    4   0.75 |   806     -133  0.70     -90.0 |   672   -437.6 |    471   -423.9 |      -42      -91 |     -332 | fail
60  0    4   0.90 |   806     -141  0.68     -90.0 |   739   -441.8 |    471   -423.9 |      -45      -96 |     -336 | fail
60  0    8   0.20 |   696     -132  0.64     -90.0 |   452   -370.1 |    408   -367.2 |      -60      -73 |     -357 | fail
60  0    8   0.50 |   696     -155  0.59     -90.0 |   521   -375.2 |    408   -367.2 |      -74      -81 |     -351 | fail
60  0    8   0.75 |   696     -141  0.63     -90.0 |   593   -380.3 |    408   -367.2 |      -62      -80 |     -320 | fail
60  0    8   0.90 |   696     -145  0.62     -90.0 |   638   -383.5 |    408   -367.2 |      -62      -83 |     -319 | fail
60  0    12  0.20 |   586     -119  0.61     -90.0 |   389   -306.3 |    337   -303.3 |      -51      -68 |     -297 | fail
60  0    12  0.50 |   586     -110  0.65     -90.0 |   438   -310.3 |    337   -303.3 |      -46      -64 |     -314 | fail
60  0    12  0.75 |   586     -143  0.54     -90.0 |   487   -313.6 |    337   -303.3 |      -56      -87 |     -342 | fail
60  0    12  0.90 |   586     -113  0.64     -90.0 |   534   -317.2 |    337   -303.3 |      -35      -78 |     -323 | fail
