SINGLE-LEG MIMIC CERT — coin=GRT early=1 bars=48569 thr=1.50% confirm=60bp RT=30/60bp legs=1 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    2   0.20 |  1840      +64  1.09     -60.0 |  1276   -712.0 |   1176   -705.6 |     +132      -69 |     -456 | fail
30  0    2   0.50 |  1840      +43  1.06     -60.0 |  1380   -720.0 |   1176   -705.6 |     +126      -83 |     -462 | fail
30  0    2   0.75 |  1840      +68  1.09     -60.0 |  1528   -731.7 |   1176   -705.6 |     +121      -53 |     -423 | fail
30  0    2   0.90 |  1840      +65  1.09     -60.0 |  1679   -742.8 |   1176   -705.6 |     +129      -64 |     -409 | fail
30  0    4   0.20 |  1654      +38  1.06     -60.0 |  1109   -619.8 |   1026   -615.6 |      +53      -15 |     -476 | fail
30  0    4   0.50 |  1654      +29  1.05     -60.0 |  1224   -628.1 |   1026   -615.6 |      +26       +3 |     -471 | fail
30  0    4   0.75 |  1654      +17  1.03     -60.0 |  1371   -638.9 |   1026   -615.6 |      +10       +6 |     -468 | fail
30  0    4   0.90 |  1654       -4  0.99     -60.0 |  1503   -649.0 |   1026   -615.6 |       +5       -8 |     -463 | fail
30  0    8   0.20 |  1263      -17  0.96     -60.0 |   847   -470.5 |    776   -465.6 |      +46      -63 |     -410 | fail
30  0    8   0.50 |  1263      -43  0.91     -60.0 |   939   -477.7 |    776   -465.6 |       +2      -45 |     -430 | fail
30  0    8   0.75 |  1263      -14  0.97     -60.0 |  1039   -485.4 |    776   -465.6 |      +27      -40 |     -398 | fail
30  0    8   0.90 |  1263      +28  1.06     -60.0 |  1152   -493.4 |    776   -465.6 |      +23       +5 |     -352 | fail
30  0    12  0.20 |  1069      -61  0.85     -60.0 |   744   -415.2 |    685   -411.0 |       -5      -56 |     -397 | fail
30  0    12  0.50 |  1069      -44  0.90     -60.0 |   805   -419.7 |    685   -411.0 |      -28      -15 |     -380 | fail
30  0    12  0.75 |  1069      -60  0.86     -60.0 |   897   -426.6 |    685   -411.0 |      -70      +10 |     -402 | fail
30  0    12  0.90 |  1069      -56  0.87     -60.0 |   977   -431.8 |    685   -411.0 |      -77      +21 |     -388 | fail
60  0    2   0.20 |  1840     -111  0.89     -90.0 |  1200   -978.5 |   1079   -971.1 |       +4     -115 |     -654 | fail
60  0    2   0.50 |  1840     -134  0.86     -90.0 |  1325   -988.1 |   1079   -971.1 |       -7     -128 |     -657 | fail
60  0    2   0.75 |  1840     -126  0.87     -90.0 |  1494  -1001.5 |   1079   -971.1 |      -19     -107 |     -631 | fail
60  0    2   0.90 |  1840     -130  0.87     -90.0 |  1656  -1013.1 |   1079   -971.1 |      -12     -119 |     -618 | fail
60  0    4   0.20 |  1654     -123  0.85     -90.0 |  1031   -843.0 |    931   -837.9 |      -32      -91 |     -652 | fail
60  0    4   0.50 |  1654     -137  0.84     -90.0 |  1170   -852.9 |    931   -837.9 |      -61      -76 |     -657 | fail
60  0    4   0.75 |  1654     -162  0.81     -90.0 |  1338   -864.8 |    931   -837.9 |      -81      -80 |     -659 | fail
60  0    4   0.90 |  1654     -188  0.79     -90.0 |  1490   -876.5 |    931   -837.9 |      -90      -98 |     -656 | fail
60  0    8   0.20 |  1263     -157  0.76     -90.0 |   802   -648.6 |    714   -642.6 |      -28     -129 |     -556 | fail
60  0    8   0.50 |  1263     -189  0.71     -90.0 |   907   -656.6 |    714   -642.6 |      -77     -111 |     -582 | fail
60  0    8   0.75 |  1263     -167  0.75     -90.0 |  1017   -665.1 |    714   -642.6 |      -59     -108 |     -563 | fail
60  0    8   0.90 |  1263     -129  0.81     -90.0 |  1145   -674.2 |    714   -642.6 |      -65      -64 |     -520 | fail
60  0    12  0.20 |  1069     -193  0.66     -90.0 |   704   -576.0 |    634   -570.6 |      -69     -124 |     -531 | fail
60  0    12  0.50 |  1069     -183  0.68     -90.0 |   775   -580.8 |    634   -570.6 |      -98      -85 |     -524 | fail
60  0    12  0.75 |  1069     -210  0.64     -90.0 |   877   -588.4 |    634   -570.6 |     -147      -62 |     -562 | fail
60  0    12  0.90 |  1069     -212  0.64     -90.0 |   967   -594.4 |    634   -570.6 |     -158      -54 |     -552 | fail
