SINGLE-LEG MIMIC CERT — coin=ICP early=1 bars=31062 thr=1.00% confirm=60bp RT=30/60bp legs=1 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    2   0.20 |  1426     -142  0.74     -60.0 |  1004   -553.4 |    913   -547.8 |      -62      -81 |     -561 | fail
30  0    2   0.50 |  1426     -191  0.66     -60.0 |  1096   -560.3 |    913   -547.8 |      -91     -100 |     -609 | fail
30  0    2   0.75 |  1426     -199  0.65     -60.0 |  1224   -570.0 |    913   -547.8 |     -107      -92 |     -608 | fail
30  0    2   0.90 |  1426     -208  0.64     -60.0 |  1314   -576.6 |    913   -547.8 |     -105     -103 |     -609 | fail
30  0    4   0.20 |  1207     -169  0.64     -60.0 |   858   -473.9 |    781   -468.6 |      -81      -88 |     -546 | fail
30  0    4   0.50 |  1207     -167  0.65     -60.0 |   948   -480.6 |    781   -468.6 |     -103      -65 |     -526 | fail
30  0    4   0.75 |  1207     -170  0.65     -60.0 |  1056   -488.7 |    781   -468.6 |     -122      -48 |     -515 | fail
30  0    4   0.90 |  1207     -164  0.67     -60.0 |  1122   -493.7 |    781   -468.6 |     -131      -33 |     -522 | fail
30  0    8   0.20 |   895     -125  0.65     -60.0 |   651   -359.9 |    594   -356.4 |      -66      -59 |     -398 | fail
30  0    8   0.50 |   895     -137  0.62     -60.0 |   711   -364.8 |    594   -356.4 |      -64      -73 |     -403 | fail
30  0    8   0.75 |   895     -142  0.62     -60.0 |   789   -370.2 |    594   -356.4 |      -55      -86 |     -401 | fail
30  0    8   0.90 |   895     -154  0.59     -60.0 |   843   -373.4 |    594   -356.4 |      -58      -96 |     -410 | fail
30  0    12  0.20 |   758      -99  0.68     -60.0 |   549   -305.1 |    503   -301.8 |      -85      -13 |     -321 | fail
30  0    12  0.50 |   758     -105  0.66     -60.0 |   602   -308.0 |    503   -301.8 |      -88      -16 |     -332 | fail
30  0    12  0.75 |   758     -101  0.68     -60.0 |   663   -312.0 |    503   -301.8 |     -108       +7 |     -311 | fail
30  0    12  0.90 |   758     -122  0.61     -60.0 |   714   -315.8 |    503   -301.8 |     -116       -5 |     -318 | fail
60  0    2   0.20 |  1426     -284  0.62     -90.0 |   922   -736.9 |    811   -729.9 |     -125     -158 |     -685 | fail
60  0    2   0.50 |  1426     -344  0.54     -90.0 |  1036   -745.6 |    811   -729.9 |     -159     -184 |     -742 | fail
60  0    2   0.75 |  1426     -358  0.53     -90.0 |  1191   -757.2 |    811   -729.9 |     -180     -177 |     -743 | fail
60  0    2   0.90 |  1426     -369  0.52     -90.0 |  1299   -765.8 |    811   -729.9 |     -179     -190 |     -742 | fail
60  0    4   0.20 |  1207     -271  0.57     -90.0 |   791   -629.5 |    691   -621.9 |     -136     -135 |     -661 | fail
60  0    4   0.50 |  1207     -281  0.56     -90.0 |   893   -636.9 |    691   -621.9 |     -161     -120 |     -654 | fail
60  0    4   0.75 |  1207     -273  0.58     -90.0 |  1023   -646.2 |    691   -621.9 |     -162     -111 |     -634 | fail
60  0    4   0.90 |  1207     -266  0.59     -90.0 |  1099   -652.1 |    691   -621.9 |     -173      -93 |     -642 | fail
60  0    8   0.20 |   895     -206  0.56     -90.0 |   598   -472.8 |    520   -468.0 |     -118      -88 |     -483 | fail
60  0    8   0.50 |   895     -222  0.54     -90.0 |   677   -479.1 |    520   -468.0 |     -119     -102 |     -486 | fail
60  0    8   0.75 |   895     -211  0.56     -90.0 |   769   -485.8 |    520   -468.0 |      -99     -112 |     -472 | fail
60  0    8   0.90 |   895     -227  0.54     -90.0 |   835   -490.0 |    520   -468.0 |     -103     -124 |     -482 | fail
60  0    12  0.20 |   757     -164  0.59     -90.0 |   502   -398.6 |    438   -394.2 |     -117      -47 |     -394 | fail
60  0    12  0.50 |   757     -163  0.60     -90.0 |   568   -402.7 |    438   -394.2 |     -106      -57 |     -396 | fail
60  0    12  0.75 |   757     -161  0.61     -90.0 |   644   -407.9 |    438   -394.2 |     -127      -34 |     -381 | fail
60  0    12  0.90 |   757     -185  0.55     -90.0 |   704   -412.4 |    438   -394.2 |     -137      -48 |     -389 | fail
