SINGLE-LEG MIMIC CERT — coin=INJ early=1 bars=31062 thr=1.00% confirm=60bp RT=30/60bp legs=1 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    2   0.20 |  1765      -88  0.87     -60.0 |  1191   -658.7 |   1087   -652.2 |      +38     -126 |     -609 | fail
30  0    2   0.50 |  1765      -83  0.88     -60.0 |  1316   -668.2 |   1087   -652.2 |      +36     -119 |     -600 | fail
30  0    2   0.75 |  1765      -86  0.87     -60.0 |  1494   -681.4 |   1087   -652.2 |      +13      -99 |     -609 | fail
30  0    2   0.90 |  1765      -66  0.90     -60.0 |  1594   -689.1 |   1087   -652.2 |      +29      -96 |     -597 | fail
30  0    4   0.20 |  1421      -56  0.90     -60.0 |   976   -539.5 |    889   -533.4 |      +42      -98 |     -469 | fail
30  0    4   0.50 |  1421      -92  0.83     -60.0 |  1063   -546.0 |    889   -533.4 |       -2      -90 |     -502 | fail
30  0    4   0.75 |  1421     -107  0.81     -60.0 |  1198   -555.6 |    889   -533.4 |       -1     -105 |     -500 | fail
30  0    4   0.90 |  1421     -107  0.81     -60.0 |  1292   -562.5 |    889   -533.4 |       -4     -103 |     -504 | fail
30  0    8   0.20 |  1010      -91  0.77     -60.0 |   716   -389.0 |    639   -383.4 |      -42      -49 |     -391 | fail
30  0    8   0.50 |  1010     -106  0.73     -60.0 |   791   -394.2 |    639   -383.4 |      -43      -63 |     -399 | fail
30  0    8   0.75 |  1010     -135  0.66     -60.0 |   867   -399.9 |    639   -383.4 |      -64      -71 |     -433 | fail
30  0    8   0.90 |  1010     -109  0.73     -60.0 |   933   -404.9 |    639   -383.4 |      -38      -71 |     -424 | fail
30  0    12  0.20 |   828      -68  0.79     -60.0 |   573   -318.4 |    525   -315.0 |      -14      -55 |     -328 | fail
30  0    12  0.50 |   828     -105  0.67     -60.0 |   638   -322.6 |    525   -315.0 |      -23      -83 |     -355 | fail
30  0    12  0.75 |   828      -99  0.70     -60.0 |   706   -327.3 |    525   -315.0 |      -23      -76 |     -368 | fail
30  0    12  0.90 |   828      -81  0.75     -60.0 |   761   -331.1 |    525   -315.0 |       +6      -88 |     -351 | fail
60  0    2   0.20 |  1765     -245  0.73     -90.0 |  1112   -904.4 |    997   -897.3 |      -33     -212 |     -778 | fail
60  0    2   0.50 |  1765     -258  0.72     -90.0 |  1257   -915.5 |    997   -897.3 |      -51     -208 |     -786 | fail
60  0    2   0.75 |  1765     -261  0.72     -90.0 |  1460   -930.6 |    997   -897.3 |      -68     -193 |     -799 | fail
60  0    2   0.90 |  1765     -244  0.74     -90.0 |  1571   -939.3 |    997   -897.3 |      -52     -191 |     -787 | fail
60  0    4   0.20 |  1421     -190  0.74     -90.0 |   919   -744.0 |    817   -735.3 |      -10     -180 |     -592 | fail
60  0    4   0.50 |  1421     -228  0.70     -90.0 |  1017   -751.4 |    817   -735.3 |      -56     -172 |     -632 | fail
60  0    4   0.75 |  1421     -242  0.68     -90.0 |  1166   -762.1 |    817   -735.3 |      -53     -190 |     -640 | fail
60  0    4   0.90 |  1421     -236  0.69     -90.0 |  1272   -769.9 |    817   -735.3 |      -48     -189 |     -646 | fail
60  0    8   0.20 |  1010     -193  0.64     -90.0 |   672   -532.3 |    582   -523.8 |      -98      -96 |     -505 | fail
60  0    8   0.50 |  1010     -220  0.59     -90.0 |   758   -538.2 |    582   -523.8 |     -104     -116 |     -526 | fail
60  0    8   0.75 |  1010     -235  0.57     -90.0 |   847   -545.2 |    582   -523.8 |     -128     -107 |     -554 | fail
60  0    8   0.90 |  1010     -208  0.62     -90.0 |   922   -550.9 |    582   -523.8 |      -99     -109 |     -544 | fail
60  0    12  0.20 |   828     -146  0.66     -90.0 |   530   -430.4 |    472   -424.8 |      -55      -91 |     -406 | fail
60  0    12  0.50 |   828     -169  0.61     -90.0 |   609   -435.7 |    472   -424.8 |      -58     -110 |     -422 | fail
60  0    12  0.75 |   828     -169  0.62     -90.0 |   684   -441.1 |    472   -424.8 |      -63     -105 |     -425 | fail
60  0    12  0.90 |   828     -143  0.68     -90.0 |   749   -445.5 |    472   -424.8 |      -25     -119 |     -401 | fail
