SINGLE-LEG MIMIC CERT — coin=LDO early=1 bars=34542 thr=1.50% confirm=60bp RT=30/60bp legs=1 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    2   0.20 |  1242      +37  1.08     -60.0 |   847   -468.5 |    773   -463.8 |      +44       -7 |     -324 | fail
30  0    2   0.50 |  1242       -1  1.00     -60.0 |   930   -474.5 |    773   -463.8 |      +29      -30 |     -359 | fail
30  0    2   0.75 |  1242      -34  0.93     -60.0 |  1031   -481.9 |    773   -463.8 |       -1      -33 |     -390 | fail
30  0    2   0.90 |  1242      -61  0.87     -60.0 |  1126   -489.3 |    773   -463.8 |      -18      -43 |     -391 | fail
30  0    4   0.20 |  1168      +11  1.02     -60.0 |   791   -444.8 |    735   -441.0 |      +30      -19 |     -364 | fail
30  0    4   0.50 |  1168      -21  0.95     -60.0 |   878   -451.1 |    735   -441.0 |      +44      -65 |     -375 | fail
30  0    4   0.75 |  1168      -37  0.92     -60.0 |   984   -458.9 |    735   -441.0 |      +36      -73 |     -384 | fail
30  0    4   0.90 |  1168      -67  0.86     -60.0 |  1067   -465.7 |    735   -441.0 |      +23      -90 |     -400 | fail
30  0    8   0.20 |   917       +4  1.01     -60.0 |   645   -349.9 |    577   -346.2 |      +48      -44 |     -295 | fail
30  0    8   0.50 |   917      -55  0.84     -60.0 |   709   -354.8 |    577   -346.2 |      +30      -86 |     -338 | fail
30  0    8   0.75 |   917      -90  0.75     -60.0 |   793   -361.0 |    577   -346.2 |      +10     -100 |     -346 | fail
30  0    8   0.90 |   917      -84  0.77     -60.0 |   861   -365.8 |    577   -346.2 |      +27     -110 |     -350 | fail
30  0    12  0.20 |   755      -45  0.85     -60.0 |   540   -298.7 |    492   -295.2 |       +4      -49 |     -254 | fail
30  0    12  0.50 |   755      -92  0.70     -60.0 |   603   -303.5 |    492   -295.2 |       -9      -82 |     -278 | fail
30  0    12  0.75 |   755     -101  0.67     -60.0 |   651   -307.0 |    492   -295.2 |      -38      -63 |     -289 | fail
30  0    12  0.90 |   755      -67  0.79     -60.0 |   705   -311.1 |    492   -295.2 |       +9      -76 |     -273 | fail
60  0    2   0.20 |  1242      -99  0.85     -90.0 |   799   -647.8 |    714   -642.6 |      -30      -68 |     -452 | fail
60  0    2   0.50 |  1242     -155  0.76     -90.0 |   890   -654.1 |    714   -642.6 |      -51     -104 |     -511 | fail
60  0    2   0.75 |  1242     -184  0.72     -90.0 |  1006   -662.8 |    714   -642.6 |      -91      -92 |     -538 | fail
60  0    2   0.90 |  1242     -202  0.70     -90.0 |  1114   -671.0 |    714   -642.6 |      -97     -105 |     -529 | fail
60  0    4   0.20 |  1168      -90  0.85     -90.0 |   726   -595.7 |    656   -590.4 |      -24      -66 |     -465 | fail
60  0    4   0.50 |  1168     -121  0.80     -90.0 |   828   -602.8 |    656   -590.4 |      -19     -102 |     -493 | fail
60  0    4   0.75 |  1168     -134  0.78     -90.0 |   957   -612.3 |    656   -590.4 |      -31     -102 |     -501 | fail
60  0    4   0.90 |  1168     -166  0.73     -90.0 |  1051   -619.8 |    656   -590.4 |      -44     -121 |     -512 | fail
60  0    8   0.20 |   917      -65  0.86     -90.0 |   588   -460.9 |    507   -456.3 |      +19      -84 |     -363 | fail
60  0    8   0.50 |   917     -121  0.74     -90.0 |   666   -466.9 |    507   -456.3 |       +7     -128 |     -406 | fail
60  0    8   0.75 |   917     -151  0.68     -90.0 |   765   -474.4 |    507   -456.3 |      -16     -135 |     -409 | fail
60  0    8   0.90 |   917     -130  0.73     -90.0 |   846   -480.3 |    507   -456.3 |       +8     -139 |     -400 | fail
60  0    12  0.20 |   755     -100  0.75     -90.0 |   496   -394.0 |    433   -389.7 |      -14      -85 |     -320 | fail
60  0    12  0.50 |   755     -155  0.61     -90.0 |   567   -399.5 |    433   -389.7 |      -37     -117 |     -355 | fail
60  0    12  0.75 |   755     -162  0.60     -90.0 |   626   -404.1 |    433   -389.7 |      -60     -101 |     -362 | fail
60  0    12  0.90 |   755     -130  0.68     -90.0 |   694   -409.2 |    433   -389.7 |      -15     -116 |     -347 | fail
