SINGLE-LEG MIMIC CERT — coin=LINK early=1 bars=48569 thr=2.00% confirm=60bp RT=30/60bp legs=1 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    2   0.20 |   936       -5  0.99     -60.0 |   643   -357.4 |    590   -354.0 |      +62      -67 |     -292 | fail
30  0    2   0.50 |   936       +0  1.00     -60.0 |   692   -360.8 |    590   -354.0 |      +31      -31 |     -271 | fail
30  0    2   0.75 |   936      -11  0.97     -60.0 |   779   -367.0 |    590   -354.0 |      +34      -45 |     -278 | fail
30  0    2   0.90 |   936       -6  0.99     -60.0 |   845   -372.2 |    590   -354.0 |      +28      -33 |     -287 | fail
30  0    4   0.20 |  1015      -17  0.96     -60.0 |   699   -392.6 |    649   -389.4 |      +10      -28 |     -322 | fail
30  0    4   0.50 |  1015       -0  1.00     -60.0 |   763   -396.6 |    649   -389.4 |      +14      -14 |     -287 | fail
30  0    4   0.75 |  1015      -21  0.95     -60.0 |   853   -403.1 |    649   -389.4 |       +7      -29 |     -286 | fail
30  0    4   0.90 |  1015      -27  0.93     -60.0 |   922   -407.9 |    649   -389.4 |       +8      -35 |     -279 | fail
30  0    8   0.20 |   906      -62  0.83     -60.0 |   642   -359.3 |    594   -356.4 |      -17      -45 |     -346 | fail
30  0    8   0.50 |   906      -58  0.84     -60.0 |   696   -363.0 |    594   -356.4 |      -19      -40 |     -332 | fail
30  0    8   0.75 |   906      -60  0.84     -60.0 |   765   -368.1 |    594   -356.4 |      -43      -17 |     -310 | fail
30  0    8   0.90 |   906      -75  0.80     -60.0 |   831   -373.1 |    594   -356.4 |      -49      -25 |     -308 | fail
30  0    12  0.20 |   802      -99  0.69     -60.0 |   577   -321.8 |    531   -318.6 |      -28      -71 |     -348 | fail
30  0    12  0.50 |   802     -126  0.61     -60.0 |   635   -326.0 |    531   -318.6 |      -41      -84 |     -371 | fail
30  0    12  0.75 |   802     -126  0.62     -60.0 |   697   -330.5 |    531   -318.6 |      -37      -89 |     -382 | fail
30  0    12  0.90 |   802     -141  0.58     -60.0 |   744   -333.6 |    531   -318.6 |      -44      -97 |     -385 | fail
60  0    2   0.20 |   936     -109  0.78     -90.0 |   605   -491.1 |    541   -486.9 |       +2     -111 |     -394 | fail
60  0    2   0.50 |   936      -94  0.81     -90.0 |   660   -494.8 |    541   -486.9 |      -30      -64 |     -370 | fail
60  0    2   0.75 |   936      -97  0.81     -90.0 |   760   -501.8 |    541   -486.9 |      -25      -72 |     -367 | fail
60  0    2   0.90 |   936      -89  0.82     -90.0 |   833   -507.3 |    541   -486.9 |      -30      -60 |     -376 | fail
60  0    4   0.20 |  1015     -115  0.79     -90.0 |   652   -534.8 |    590   -531.0 |      -41      -74 |     -410 | fail
60  0    4   0.50 |  1015     -109  0.80     -90.0 |   730   -540.0 |    590   -531.0 |      -41      -68 |     -376 | fail
60  0    4   0.75 |  1015     -138  0.75     -90.0 |   833   -547.5 |    590   -531.0 |      -51      -86 |     -385 | fail
60  0    4   0.90 |  1015     -144  0.74     -90.0 |   912   -553.2 |    590   -531.0 |      -50      -94 |     -370 | fail
60  0    8   0.20 |   906     -138  0.72     -90.0 |   595   -485.2 |    535   -481.5 |      -64      -74 |     -420 | fail
60  0    8   0.50 |   906     -130  0.73     -90.0 |   657   -489.6 |    535   -481.5 |      -66      -64 |     -403 | fail
60  0    8   0.75 |   906     -130  0.74     -90.0 |   740   -495.5 |    535   -481.5 |      -91      -39 |     -378 | fail
60  0    8   0.90 |   906     -123  0.75     -90.0 |   818   -501.7 |    535   -481.5 |      -76      -47 |     -377 | fail
60  0    12  0.20 |   802     -203  0.55     -90.0 |   548   -445.7 |    491   -441.9 |      -80     -123 |     -452 | fail
60  0    12  0.50 |   802     -222  0.51     -90.0 |   613   -450.5 |    491   -441.9 |      -82     -140 |     -470 | fail
60  0    12  0.75 |   802     -217  0.52     -90.0 |   684   -455.6 |    491   -441.9 |      -79     -138 |     -484 | fail
60  0    12  0.90 |   802     -236  0.49     -90.0 |   736   -459.2 |    491   -441.9 |      -91     -145 |     -492 | fail
