SINGLE-LEG MIMIC CERT — coin=MANA early=1 bars=31062 thr=1.00% confirm=60bp RT=30/60bp legs=1 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    2   0.20 |  1242     -163  0.65     -60.0 |   861   -470.9 |    776   -465.6 |      -95      -68 |     -526 | fail
30  0    2   0.50 |  1242     -172  0.64     -60.0 |   957   -477.5 |    776   -465.6 |     -108      -64 |     -558 | fail
30  0    2   0.75 |  1242     -190  0.61     -60.0 |  1066   -485.4 |    776   -465.6 |     -125      -66 |     -578 | fail
30  0    2   0.90 |  1242     -169  0.66     -60.0 |  1139   -490.5 |    776   -465.6 |     -105      -64 |     -578 | fail
30  0    4   0.20 |  1115     -187  0.58     -60.0 |   807   -439.8 |    725   -435.0 |     -110      -77 |     -520 | fail
30  0    4   0.50 |  1115     -176  0.60     -60.0 |   887   -444.9 |    725   -435.0 |     -102      -74 |     -527 | fail
30  0    4   0.75 |  1115     -206  0.54     -60.0 |   978   -451.1 |    725   -435.0 |     -120      -86 |     -538 | fail
30  0    4   0.90 |  1115     -209  0.54     -60.0 |  1036   -455.7 |    725   -435.0 |     -120      -89 |     -539 | fail
30  0    8   0.20 |   842     -127  0.62     -60.0 |   613   -333.8 |    550   -330.0 |      -71      -57 |     -380 | fail
30  0    8   0.50 |   842     -132  0.61     -60.0 |   672   -338.0 |    550   -330.0 |      -56      -76 |     -382 | fail
30  0    8   0.75 |   842     -140  0.59     -60.0 |   743   -343.4 |    550   -330.0 |      -61      -79 |     -372 | fail
30  0    8   0.90 |   842     -147  0.58     -60.0 |   789   -347.4 |    550   -330.0 |      -66      -80 |     -370 | fail
30  0    12  0.20 |   696     -115  0.58     -60.0 |   499   -271.5 |    447   -268.2 |      -57      -58 |     -294 | fail
30  0    12  0.50 |   696     -104  0.62     -60.0 |   548   -274.9 |    447   -268.2 |      -58      -46 |     -288 | fail
30  0    12  0.75 |   696     -121  0.57     -60.0 |   609   -279.6 |    447   -268.2 |      -61      -60 |     -302 | fail
30  0    12  0.90 |   696     -130  0.54     -60.0 |   654   -283.1 |    447   -268.2 |      -64      -66 |     -309 | fail
60  0    2   0.20 |  1242     -278  0.56     -90.0 |   794   -628.4 |    691   -621.9 |     -149     -129 |     -635 | fail
60  0    2   0.50 |  1242     -290  0.54     -90.0 |   914   -636.3 |    691   -621.9 |     -155     -135 |     -674 | fail
60  0    2   0.75 |  1242     -316  0.51     -90.0 |  1041   -645.3 |    691   -621.9 |     -176     -140 |     -686 | fail
60  0    2   0.90 |  1242     -297  0.54     -90.0 |  1130   -651.3 |    691   -621.9 |     -158     -140 |     -685 | fail
60  0    4   0.20 |  1115     -271  0.53     -90.0 |   741   -579.5 |    634   -570.6 |     -159     -112 |     -611 | fail
60  0    4   0.50 |  1115     -260  0.56     -90.0 |   844   -586.5 |    634   -570.6 |     -141     -119 |     -620 | fail
60  0    4   0.75 |  1115     -264  0.56     -90.0 |   955   -593.6 |    634   -570.6 |     -156     -108 |     -599 | fail
60  0    4   0.90 |  1115     -264  0.56     -90.0 |  1021   -598.8 |    634   -570.6 |     -153     -111 |     -600 | fail
60  0    8   0.20 |   842     -211  0.52     -90.0 |   559   -438.1 |    480   -432.0 |     -107     -105 |     -469 | fail
60  0    8   0.50 |   842     -226  0.49     -90.0 |   644   -444.2 |    480   -432.0 |      -99     -127 |     -456 | fail
60  0    8   0.75 |   842     -227  0.50     -90.0 |   730   -450.7 |    480   -432.0 |     -103     -124 |     -440 | fail
60  0    8   0.90 |   842     -236  0.48     -90.0 |   783   -455.2 |    480   -432.0 |     -109     -127 |     -439 | fail
60  0    12  0.20 |   696     -174  0.51     -90.0 |   452   -352.2 |    385   -346.5 |      -75      -99 |     -353 | fail
60  0    12  0.50 |   696     -166  0.53     -90.0 |   514   -356.6 |    385   -346.5 |      -78      -88 |     -346 | fail
60  0    12  0.75 |   696     -191  0.47     -90.0 |   596   -362.9 |    385   -346.5 |      -86     -105 |     -364 | fail
60  0    12  0.90 |   696     -197  0.46     -90.0 |   649   -367.1 |    385   -346.5 |      -86     -111 |     -373 | fail
