SINGLE-LEG MIMIC CERT — coin=NEAR early=1 bars=48569 thr=1.50% confirm=60bp RT=30/60bp legs=1 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    2   0.20 |  1942      +74  1.10     -87.8 |  1283   -713.4 |   1175   -705.0 |     +132      -59 |     -514 | fail
30  0    2   0.50 |  1942      +15  1.02     -87.8 |  1420   -724.0 |   1175   -705.0 |      +79      -64 |     -539 | fail
30  0    2   0.75 |  1942      +10  1.01     -87.8 |  1601   -736.5 |   1175   -705.0 |      +54      -44 |     -527 | fail
30  0    2   0.90 |  1942       -4  0.99     -87.8 |  1769   -749.4 |   1175   -705.0 |      +40      -44 |     -526 | fail
30  0    4   0.20 |  1739      -14  0.98     -87.8 |  1192   -667.7 |   1101   -660.6 |      +98     -113 |     -566 | fail
30  0    4   0.50 |  1739      +14  1.02     -87.8 |  1312   -677.0 |   1101   -660.6 |     +100      -86 |     -533 | fail
30  0    4   0.75 |  1739      -37  0.95     -87.8 |  1466   -687.9 |   1101   -660.6 |      +86     -124 |     -562 | fail
30  0    4   0.90 |  1739      -15  0.98     -87.8 |  1589   -697.0 |   1101   -660.6 |      +87     -102 |     -553 | fail
30  0    8   0.20 |  1327      +34  1.07     -87.8 |   886   -496.5 |    819   -491.4 |      +50      -16 |     -393 | fail
30  0    8   0.50 |  1327      +53  1.10     -87.8 |   988   -504.3 |    819   -491.4 |      +25      +27 |     -362 | fail
30  0    8   0.75 |  1327      +50  1.10     -87.8 |  1125   -514.1 |    819   -491.4 |      +50       +0 |     -350 | fail
30  0    8   0.90 |  1327      +65  1.12     -87.8 |  1212   -520.7 |    819   -491.4 |      +51      +14 |     -321 | fail
30  0    12  0.20 |  1122       +5  1.01     -60.0 |   774   -433.2 |    715   -429.0 |      +36      -31 |     -332 | fail
30  0    12  0.50 |  1122      -28  0.94     -60.0 |   846   -438.6 |    715   -429.0 |      -19       -9 |     -372 | fail
30  0    12  0.75 |  1122      -45  0.90     -60.0 |   947   -445.8 |    715   -429.0 |      -12      -33 |     -385 | fail
30  0    12  0.90 |  1122       +5  1.01     -60.0 |  1018   -450.7 |    715   -429.0 |       +9       -4 |     -320 | fail
60  0    2   0.20 |  1942     -177  0.82     -90.0 |  1230  -1005.6 |   1107   -996.3 |       -0     -176 |     -771 | fail
60  0    2   0.50 |  1942     -236  0.77     -90.0 |  1382  -1017.0 |   1107   -996.3 |      -49     -187 |     -801 | fail
60  0    2   0.75 |  1942     -239  0.77     -90.0 |  1579  -1030.7 |   1107   -996.3 |      -72     -167 |     -784 | fail
60  0    2   0.90 |  1942     -257  0.75     -90.0 |  1760  -1044.4 |   1107   -996.3 |      -87     -170 |     -784 | fail
60  0    4   0.20 |  1739     -210  0.77     -90.0 |  1135   -931.5 |   1025   -922.5 |       -9     -201 |     -759 | fail
60  0    4   0.50 |  1739     -188  0.80     -90.0 |  1270   -941.8 |   1025   -922.5 |       -4     -184 |     -729 | fail
60  0    4   0.75 |  1739     -226  0.76     -90.0 |  1442   -954.1 |   1025   -922.5 |       -1     -225 |     -753 | fail
60  0    4   0.90 |  1739     -200  0.79     -90.0 |  1574   -963.9 |   1025   -922.5 |       -3     -197 |     -742 | fail
60  0    8   0.20 |  1327     -117  0.83     -90.0 |   836   -684.2 |    752   -676.8 |      -24      -94 |     -556 | fail
60  0    8   0.50 |  1327      -88  0.87     -90.0 |   953   -692.9 |    752   -676.8 |      -45      -43 |     -514 | fail
60  0    8   0.75 |  1327     -103  0.85     -90.0 |  1103   -703.7 |    752   -676.8 |      -26      -77 |     -515 | fail
60  0    8   0.90 |  1327      -94  0.87     -90.0 |  1204   -711.2 |    752   -676.8 |      -28      -66 |     -487 | fail
60  0    12  0.20 |  1122      -92  0.84     -90.0 |   721   -586.8 |    644   -579.6 |      -15      -77 |     -443 | fail
60  0    12  0.50 |  1122     -116  0.80     -90.0 |   807   -593.2 |    644   -579.6 |      -64      -52 |     -468 | fail
60  0    12  0.75 |  1122     -133  0.78     -90.0 |   917   -600.7 |    644   -579.6 |      -60      -73 |     -483 | fail
60  0    12  0.90 |  1122      -74  0.88     -90.0 |  1002   -606.6 |    644   -579.6 |      -38      -36 |     -417 | fail
