SINGLE-LEG MIMIC CERT — coin=OP early=1 bars=36190 thr=2.00% confirm=60bp RT=30/60bp legs=1 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    2   0.20 |   866      +19  1.06     -60.0 |   608   -338.8 |    560   -336.0 |      +62      -42 |     -236 | fail
30  0    2   0.50 |   866      +46  1.13     -60.0 |   660   -342.3 |    560   -336.0 |      +81      -35 |     -205 | fail
30  0    2   0.75 |   866       +8  1.02     -60.0 |   731   -347.6 |    560   -336.0 |      +60      -51 |     -239 | fail
30  0    2   0.90 |   866      +19  1.05     -60.0 |   790   -351.9 |    560   -336.0 |      +67      -48 |     -245 | fail
30  0    4   0.20 |   926      -33  0.91     -60.0 |   661   -366.7 |    605   -363.0 |       -0      -33 |     -326 | fail
30  0    4   0.50 |   926      -22  0.94     -76.7 |   717   -371.2 |    605   -363.0 |      +10      -32 |     -318 | fail
30  0    4   0.75 |   926      -27  0.93     -76.7 |   787   -376.7 |    605   -363.0 |      +24      -51 |     -343 | fail
30  0    4   0.90 |   926      -15  0.96     -76.7 |   854   -381.8 |    605   -363.0 |      +28      -43 |     -348 | fail
30  0    8   0.20 |   772      -54  0.82     -60.1 |   550   -308.0 |    508   -304.8 |       +7      -61 |     -289 | fail
30  0    8   0.50 |   772      -44  0.86     -76.7 |   605   -312.3 |    508   -304.8 |      +34      -78 |     -274 | fail
30  0    8   0.75 |   772      -54  0.83     -76.7 |   660   -316.7 |    508   -304.8 |      +27      -81 |     -278 | fail
30  0    8   0.90 |   772      -43  0.87     -76.7 |   718   -321.1 |    508   -304.8 |      +35      -78 |     -280 | fail
30  0    12  0.20 |   669      -45  0.83     -60.0 |   468   -257.7 |    425   -255.0 |      +25      -70 |     -237 | fail
30  0    12  0.50 |   669      -76  0.71     -76.7 |   521   -261.8 |    425   -255.0 |       -1      -74 |     -260 | fail
30  0    12  0.75 |   669      -89  0.67     -76.7 |   588   -267.1 |    425   -255.0 |       -3      -86 |     -288 | fail
30  0    12  0.90 |   669      -59  0.78     -76.7 |   624   -270.0 |    425   -255.0 |      +16      -74 |     -272 | fail
60  0    2   0.20 |   866      -97  0.80     -90.0 |   581   -478.4 |    528   -475.2 |       +3     -100 |     -358 | fail
60  0    2   0.50 |   866      -54  0.89     -90.0 |   637   -482.0 |    528   -475.2 |      +28      -82 |     -312 | fail
60  0    2   0.75 |   866     -101  0.79     -90.0 |   717   -488.0 |    528   -475.2 |       +3     -104 |     -354 | fail
60  0    2   0.90 |   866      -94  0.81     -90.0 |   784   -492.9 |    528   -475.2 |       +9     -102 |     -361 | fail
60  0    4   0.20 |   926     -123  0.76     -90.0 |   622   -506.3 |    558   -502.2 |      -43      -80 |     -425 | fail
60  0    4   0.50 |   926     -119  0.77     -90.0 |   687   -511.5 |    558   -502.2 |      -39      -79 |     -428 | fail
60  0    4   0.75 |   926     -135  0.74     -90.0 |   770   -517.7 |    558   -502.2 |      -28     -107 |     -461 | fail
60  0    4   0.90 |   926     -118  0.78     -90.0 |   845   -523.5 |    558   -502.2 |      -26      -91 |     -460 | fail
60  0    8   0.20 |   772     -131  0.69     -90.0 |   511   -422.0 |    465   -418.5 |      -23     -108 |     -373 | fail
60  0    8   0.50 |   772     -115  0.73     -90.0 |   577   -427.3 |    465   -418.5 |      +10     -125 |     -358 | fail
60  0    8   0.75 |   772      -95  0.78     -90.0 |   646   -432.4 |    465   -418.5 |      +17     -112 |     -331 | fail
60  0    8   0.90 |   772      -87  0.80     -90.0 |   708   -437.1 |    465   -418.5 |      +23     -110 |     -334 | fail
60  0    12  0.20 |   669     -117  0.67     -90.0 |   437   -354.2 |    390   -351.0 |       -3     -114 |     -311 | fail
60  0    12  0.50 |   669     -125  0.65     -90.0 |   496   -358.7 |    390   -351.0 |      -25     -100 |     -314 | fail
60  0    12  0.75 |   669     -140  0.62     -90.0 |   574   -364.9 |    390   -351.0 |      -24     -115 |     -343 | fail
60  0    12  0.90 |   669     -113  0.69     -90.0 |   617   -368.2 |    390   -351.0 |       -8     -105 |     -329 | fail
