SINGLE-LEG MIMIC CERT — coin=RUNE early=1 bars=31062 thr=0.50% confirm=60bp RT=30/60bp legs=1 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    2   0.20 |  1991     -114  0.84     -60.0 |  1365   -734.8 |   1204   -722.4 |      -30      -84 |     -686 | fail
30  0    2   0.50 |  1991      -70  0.91     -60.0 |  1492   -744.2 |   1204   -722.4 |       -9      -61 |     -651 | fail
30  0    2   0.75 |  1990      -51  0.93     -60.0 |  1660   -755.9 |   1204   -722.4 |      +44      -95 |     -650 | fail
30  0    2   0.90 |  1990      -44  0.94     -60.0 |  1743   -763.6 |   1204   -722.4 |      +44      -89 |     -645 | fail
30  0    4   0.20 |  1516      -78  0.86     -60.0 |  1034   -566.6 |    929   -557.4 |      -21      -57 |     -505 | fail
30  0    4   0.50 |  1516      +49  1.08     -60.0 |  1134   -574.0 |    929   -557.4 |      +81      -32 |     -379 | fail
30  0    4   0.75 |  1516      +61  1.10     -60.0 |  1263   -583.4 |    929   -557.4 |      +80      -19 |     -358 | fail
30  0    4   0.90 |  1516      +42  1.07     -60.0 |  1339   -589.6 |    929   -557.4 |      +64      -22 |     -367 | fail
30  0    8   0.20 |  1116      -60  0.86     -60.0 |   761   -413.6 |    678   -406.8 |       -6      -54 |     -388 | fail
30  0    8   0.50 |  1116      +59  1.14     -60.0 |   848   -420.3 |    678   -406.8 |      +91      -32 |     -275 | fail
30  0    8   0.75 |  1116      +71  1.17     -60.0 |   939   -426.9 |    678   -406.8 |     +118      -47 |     -261 | fail
30  0    8   0.90 |  1116      +89  1.21     -60.0 |  1003   -431.1 |    678   -406.8 |     +114      -25 |     -257 | fail
30  0    12  0.20 |   871      -45  0.86     -60.0 |   590   -317.6 |    519   -311.4 |      -10      -34 |     -286 | fail
30  0    12  0.50 |   871      +75  1.23     -60.0 |   651   -321.9 |    519   -311.4 |      +67       +8 |     -176 | fail
30  0    12  0.75 |   871     +108  1.33     -60.0 |   719   -326.3 |    519   -311.4 |      +96      +12 |     -141 | fail
30  0    12  0.90 |   871     +103  1.31     -60.0 |   784   -330.4 |    519   -311.4 |      +91      +12 |     -135 | fail
60  0    2   0.20 |  1991     -257  0.73     -90.0 |  1258   -967.6 |   1048   -943.2 |      -91     -166 |     -826 | fail
60  0    2   0.50 |  1991     -200  0.80     -90.0 |  1409   -978.8 |   1048   -943.2 |      -52     -148 |     -777 | fail
60  0    2   0.75 |  1990     -170  0.83     -90.0 |  1604   -992.4 |   1048   -943.2 |      +12     -182 |     -775 | fail
60  0    2   0.90 |  1990     -155  0.85     -90.0 |  1703  -1001.6 |   1048   -943.2 |      +17     -172 |     -769 | fail
60  0    4   0.20 |  1516     -173  0.77     -90.0 |   946   -741.0 |    806   -725.4 |      -71     -102 |     -616 | fail
60  0    4   0.50 |  1516      -19  0.97     -90.0 |  1072   -750.2 |    806   -725.4 |      +38      -57 |     -459 | fail
60  0    4   0.75 |  1516       -0  1.00     -90.0 |  1221   -761.1 |    806   -725.4 |      +38      -38 |     -437 | fail
60  0    4   0.90 |  1516      -21  0.97     -90.0 |  1309   -768.4 |    806   -725.4 |      +21      -41 |     -448 | fail
60  0    8   0.20 |  1116     -134  0.76     -90.0 |   698   -546.2 |    593   -533.7 |      -34     -100 |     -457 | fail
60  0    8   0.50 |  1116       -3  0.99     -90.0 |   803   -554.0 |    593   -533.7 |      +73      -76 |     -333 | fail
60  0    8   0.75 |  1116       -1  1.00     -90.0 |   915   -561.9 |    593   -533.7 |      +94      -94 |     -332 | fail
60  0    8   0.90 |  1116      +18  1.03     -90.0 |   988   -567.0 |    593   -533.7 |      +90      -72 |     -330 | fail
60  0    12  0.20 |   871      -97  0.77     -90.0 |   530   -413.6 |    450   -405.0 |      -25      -72 |     -340 | fail
60  0    12  0.50 |   871      +41  1.10     -90.0 |   611   -419.6 |    450   -405.0 |      +66      -25 |     -205 | fail
60  0    12  0.75 |   871      +70  1.17     -90.0 |   699   -425.1 |    450   -405.0 |      +92      -22 |     -174 | fail
60  0    12  0.90 |   871      +76  1.18     -90.0 |   770   -429.8 |    450   -405.0 |      +98      -22 |     -171 | fail
