SINGLE-LEG MIMIC CERT — coin=SAND early=1 bars=31062 thr=1.50% confirm=60bp RT=30/60bp legs=1 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    2   0.20 |   760      -45  0.85     -60.0 |   546   -307.1 |    508   -304.8 |      -18      -27 |     -282 | fail
30  0    2   0.50 |   760      -14  0.96     -60.0 |   598   -311.6 |    508   -304.8 |       -6       -8 |     -246 | fail
30  0    2   0.75 |   760      -24  0.92     -60.0 |   651   -315.4 |    508   -304.8 |      -21       -2 |     -254 | fail
30  0    2   0.90 |   760      -24  0.92     -60.0 |   701   -319.2 |    508   -304.8 |      -18       -7 |     -245 | fail
30  0    4   0.20 |   789      -99  0.68     -60.0 |   571   -313.0 |    516   -309.6 |      -65      -34 |     -344 | fail
30  0    4   0.50 |   789     -109  0.66     -60.0 |   640   -318.3 |    516   -309.6 |      -77      -32 |     -337 | fail
30  0    4   0.75 |   789     -109  0.66     -60.0 |   701   -322.8 |    516   -309.6 |      -84      -25 |     -316 | fail
30  0    4   0.90 |   789     -105  0.68     -60.0 |   742   -326.0 |    516   -309.6 |      -90      -15 |     -305 | fail
30  0    8   0.20 |   661     -101  0.61     -60.0 |   478   -261.6 |    431   -258.6 |      -60      -41 |     -299 | fail
30  0    8   0.50 |   661     -104  0.61     -60.0 |   533   -265.4 |    431   -258.6 |      -70      -34 |     -266 | fail
30  0    8   0.75 |   661     -104  0.61     -60.0 |   584   -269.1 |    431   -258.6 |      -75      -29 |     -242 | fail
30  0    8   0.90 |   661      -88  0.68     -60.0 |   623   -272.1 |    431   -258.6 |      -67      -21 |     -237 | fail
30  0    12  0.20 |   563      -79  0.64     -60.0 |   392   -217.1 |    358   -214.8 |      -53      -26 |     -236 | fail
30  0    12  0.50 |   563      -99  0.55     -60.0 |   436   -220.2 |    358   -214.8 |      -64      -35 |     -262 | fail
30  0    12  0.75 |   563     -111  0.50     -60.0 |   487   -224.2 |    358   -214.8 |      -67      -44 |     -266 | fail
30  0    12  0.90 |   563     -117  0.48     -60.0 |   529   -227.5 |    358   -214.8 |      -68      -50 |     -267 | fail
60  0    2   0.20 |   760     -137  0.67     -90.0 |   511   -421.0 |    464   -417.6 |      -64      -73 |     -374 | fail
60  0    2   0.50 |   760      -90  0.79     -90.0 |   573   -426.2 |    464   -417.6 |      -52      -38 |     -314 | fail
60  0    2   0.75 |   760      -91  0.79     -90.0 |   635   -430.6 |    464   -417.6 |      -61      -30 |     -316 | fail
60  0    2   0.90 |   760      -95  0.78     -90.0 |   690   -434.7 |    464   -417.6 |      -59      -36 |     -308 | fail
60  0    4   0.20 |   789     -164  0.60     -90.0 |   521   -416.2 |    458   -412.2 |      -99      -66 |     -394 | fail
60  0    4   0.50 |   789     -165  0.61     -90.0 |   603   -422.2 |    458   -412.2 |     -102      -63 |     -380 | fail
60  0    4   0.75 |   789     -176  0.59     -90.0 |   680   -427.8 |    458   -412.2 |     -115      -61 |     -370 | fail
60  0    4   0.90 |   789     -173  0.60     -90.0 |   731   -431.5 |    458   -412.2 |     -121      -52 |     -362 | fail
60  0    8   0.20 |   661     -162  0.53     -90.0 |   436   -344.8 |    379   -341.1 |      -92      -70 |     -361 | fail
60  0    8   0.50 |   661     -172  0.51     -90.0 |   504   -349.7 |    379   -341.1 |     -107      -65 |     -331 | fail
60  0    8   0.75 |   661     -174  0.51     -90.0 |   570   -354.5 |    379   -341.1 |     -113      -61 |     -309 | fail
60  0    8   0.90 |   661     -158  0.56     -90.0 |   615   -358.1 |    379   -341.1 |     -103      -55 |     -304 | fail
60  0    12  0.20 |   563     -131  0.55     -90.0 |   357   -287.3 |    316   -284.4 |      -81      -49 |     -282 | fail
60  0    12  0.50 |   563     -129  0.56     -90.0 |   410   -291.2 |    316   -284.4 |      -91      -38 |     -288 | fail
60  0    12  0.75 |   563     -108  0.64     -90.0 |   476   -296.4 |    316   -284.4 |      -98      -10 |     -253 | fail
60  0    12  0.90 |   563     -116  0.62     -90.0 |   526   -300.4 |    316   -284.4 |      -99      -17 |     -255 | fail
