SINGLE-LEG MIMIC CERT — coin=SOL early=1 bars=48569 thr=1.50% confirm=60bp RT=30/60bp legs=1 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    2   0.20 |  1634       -6  0.99     -60.0 |  1127   -634.3 |   1048   -628.8 |     +179     -185 |     -483 | fail
30  0    2   0.50 |  1634      -58  0.91     -60.0 |  1237   -642.6 |   1048   -628.8 |     +143     -202 |     -526 | fail
30  0    2   0.75 |  1634      +27  1.04     -60.0 |  1371   -652.2 |   1048   -628.8 |     +190     -164 |     -488 | fail
30  0    2   0.90 |  1634       +3  1.00     -60.0 |  1481   -660.7 |   1048   -628.8 |     +176     -173 |     -496 | fail
30  0    4   0.20 |  1533       -1  1.00     -60.0 |  1045   -589.3 |    974   -584.4 |     +110     -111 |     -457 | fail
30  0    4   0.50 |  1533      -15  0.98     -60.0 |  1169   -598.1 |    974   -584.4 |     +123     -138 |     -435 | fail
30  0    4   0.75 |  1533      +62  1.10     -60.0 |  1297   -607.1 |    974   -584.4 |     +170     -107 |     -384 | fail
30  0    4   0.90 |  1533      +98  1.16     -60.0 |  1394   -615.0 |    974   -584.4 |     +174      -76 |     -379 | fail
30  0    8   0.20 |  1217      -45  0.91     -60.0 |   867   -481.2 |    793   -475.8 |      +83     -128 |     -418 | fail
30  0    8   0.50 |  1217      -54  0.89     -60.0 |   945   -486.9 |    793   -475.8 |      +65     -119 |     -389 | fail
30  0    8   0.75 |  1217       -2  1.00     -91.5 |  1034   -494.4 |    793   -475.8 |     +121     -123 |     -369 | fail
30  0    8   0.90 |  1217       -4  0.99     -91.5 |  1107   -500.2 |    793   -475.8 |     +129     -133 |     -377 | fail
30  0    12  0.20 |   983      +28  1.08     -60.0 |   682   -373.9 |    614   -368.4 |     +119      -91 |     -262 | fail
30  0    12  0.50 |   983      -25  0.93     -60.0 |   743   -378.7 |    614   -368.4 |      +51      -76 |     -321 | fail
30  0    12  0.75 |   983       -0  1.00     -60.0 |   809   -383.5 |    614   -368.4 |      +78      -78 |     -293 | fail
30  0    12  0.90 |   983      +26  1.07     -60.0 |   885   -388.8 |    614   -368.4 |     +104      -78 |     -253 | fail
60  0    2   0.20 |  1634     -211  0.76     -90.0 |  1072   -887.5 |    978   -880.2 |      +72     -283 |     -686 | fail
60  0    2   0.50 |  1634     -257  0.71     -90.0 |  1193   -896.6 |    978   -880.2 |      +51     -307 |     -723 | fail
60  0    2   0.75 |  1634     -178  0.80     -90.0 |  1342   -907.2 |    978   -880.2 |      +96     -274 |     -684 | fail
60  0    2   0.90 |  1634     -186  0.80     -90.0 |  1465   -916.7 |    978   -880.2 |      +81     -267 |     -691 | fail
60  0    4   0.20 |  1533     -193  0.76     -90.0 |   990   -814.9 |    897   -807.3 |       +7     -200 |     -631 | fail
60  0    4   0.50 |  1533     -215  0.74     -90.0 |  1133   -825.0 |    897   -807.3 |      +19     -234 |     -620 | fail
60  0    4   0.75 |  1533     -141  0.83     -90.0 |  1276   -835.3 |    897   -807.3 |      +65     -206 |     -570 | fail
60  0    4   0.90 |  1533     -105  0.88     -90.0 |  1383   -843.9 |    897   -807.3 |      +70     -175 |     -564 | fail
60  0    8   0.20 |  1217     -166  0.75     -90.0 |   817   -652.5 |    716   -644.4 |       +3     -169 |     -542 | fail
60  0    8   0.50 |  1217     -187  0.72     -90.0 |   909   -659.2 |    716   -644.4 |      -18     -169 |     -530 | fail
60  0    8   0.75 |  1217     -118  0.82     -91.5 |  1007   -667.3 |    716   -644.4 |      +48     -166 |     -506 | fail
60  0    8   0.90 |  1217     -122  0.82     -91.5 |  1090   -674.1 |    716   -644.4 |      +57     -179 |     -516 | fail
60  0    12  0.20 |   983      -68  0.87     -90.0 |   635   -505.7 |    555   -499.5 |      +55     -122 |     -361 | fail
60  0    12  0.50 |   983     -113  0.78     -90.0 |   711   -511.7 |    555   -499.5 |       -1     -112 |     -405 | fail
60  0    12  0.75 |   983      -93  0.82     -90.0 |   787   -517.2 |    555   -499.5 |      +24     -116 |     -380 | fail
60  0    12  0.90 |   983      -67  0.87     -90.0 |   874   -523.4 |    555   -499.5 |      +51     -118 |     -342 | fail
