SINGLE-LEG MIMIC CERT — coin=SUI early=1 bars=28123 thr=0.50% confirm=60bp RT=30/60bp legs=1 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    2   0.20 |  2131     -277  0.68     -60.0 |  1548   -858.3 |   1414   -848.4 |     -142     -135 |     -894 | fail
30  0    2   0.50 |  2131     -272  0.69     -60.0 |  1683   -868.1 |   1414   -848.4 |     -120     -153 |     -868 | fail
30  0    2   0.75 |  2131     -231  0.74     -60.0 |  1837   -880.5 |   1414   -848.4 |      -82     -149 |     -859 | fail
30  0    2   0.90 |  2131     -228  0.74     -60.0 |  1948   -889.3 |   1414   -848.4 |      -74     -153 |     -862 | fail
30  0    4   0.20 |  1585     -257  0.59     -60.0 |  1143   -628.6 |   1031   -618.6 |     -118     -140 |     -708 | fail
30  0    4   0.50 |  1585     -270  0.58     -60.0 |  1249   -637.1 |   1031   -618.6 |     -117     -154 |     -680 | fail
30  0    4   0.75 |  1585     -227  0.65     -60.0 |  1376   -646.5 |   1031   -618.6 |      -80     -147 |     -659 | fail
30  0    4   0.90 |  1585     -236  0.64     -60.0 |  1462   -652.8 |   1031   -618.6 |      -90     -147 |     -665 | fail
30  0    8   0.20 |  1104     -148  0.67     -60.0 |   816   -449.7 |    738   -442.8 |      -59      -89 |     -455 | fail
30  0    8   0.50 |  1104      -67  0.85     -60.0 |   881   -454.6 |    738   -442.8 |      +26      -92 |     -340 | fail
30  0    8   0.75 |  1104      -67  0.85     -60.0 |   957   -460.2 |    738   -442.8 |      +19      -86 |     -357 | fail
30  0    8   0.90 |  1104      -76  0.84     -60.0 |  1023   -464.7 |    738   -442.8 |      +17      -92 |     -363 | fail
30  0    12  0.20 |   884     -107  0.70     -60.0 |   656   -362.3 |    592   -355.2 |      -47      -60 |     -369 | fail
30  0    12  0.50 |   884      -49  0.87     -60.0 |   708   -366.2 |    592   -355.2 |      -26      -24 |     -311 | fail
30  0    12  0.75 |   884      -67  0.82     -60.0 |   767   -370.4 |    592   -355.2 |      -30      -37 |     -318 | fail
30  0    12  0.90 |   884      -74  0.80     -60.0 |   824   -375.0 |    592   -355.2 |      -31      -43 |     -315 | fail
60  0    2   0.20 |  2131     -500  0.57     -90.0 |  1440  -1162.6 |   1275  -1147.5 |     -261     -239 |    -1112 | fail
60  0    2   0.50 |  2131     -502  0.57     -90.0 |  1614  -1175.3 |   1275  -1147.5 |     -239     -263 |    -1084 | fail
60  0    2   0.75 |  2131     -470  0.60     -90.0 |  1796  -1190.0 |   1275  -1147.5 |     -208     -263 |    -1075 | fail
60  0    2   0.90 |  2131     -464  0.61     -90.0 |  1919  -1199.9 |   1275  -1147.5 |     -202     -262 |    -1077 | fail
60  0    4   0.20 |  1585     -421  0.51     -90.0 |  1071   -856.1 |    936   -842.4 |     -201     -220 |     -860 | fail
60  0    4   0.50 |  1585     -423  0.51     -90.0 |  1203   -866.9 |    936   -842.4 |     -198     -225 |     -813 | fail
60  0    4   0.75 |  1585     -376  0.57     -90.0 |  1347   -877.6 |    936   -842.4 |     -165     -212 |     -789 | fail
60  0    4   0.90 |  1585     -387  0.56     -90.0 |  1443   -884.6 |    936   -842.4 |     -174     -213 |     -797 | fail
60  0    8   0.20 |  1104     -246  0.59     -90.0 |   758   -603.9 |    657   -591.3 |     -130     -117 |     -544 | fail
60  0    8   0.50 |  1104     -176  0.71     -90.0 |   843   -610.3 |    657   -591.3 |      -47     -129 |     -439 | fail
60  0    8   0.75 |  1104     -186  0.70     -90.0 |   932   -616.7 |    657   -591.3 |      -55     -131 |     -460 | fail
60  0    8   0.90 |  1104     -194  0.69     -90.0 |  1006   -621.7 |    657   -591.3 |      -56     -138 |     -467 | fail
60  0    12  0.20 |   884     -186  0.61     -90.0 |   603   -480.1 |    522   -469.8 |      -84     -101 |     -439 | fail
60  0    12  0.50 |   884     -107  0.78     -90.0 |   669   -485.0 |    522   -469.8 |      -56      -51 |     -350 | fail
60  0    12  0.75 |   884     -121  0.75     -90.0 |   741   -490.0 |    522   -469.8 |      -68      -53 |     -358 | fail
60  0    12  0.90 |   884     -130  0.74     -90.0 |   807   -495.0 |    522   -469.8 |      -70      -61 |     -355 | fail
