SINGLE-LEG MIMIC CERT — coin=SUSHI early=1 bars=31062 thr=1.50% confirm=60bp RT=30/60bp legs=1 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    2   0.20 |   900      -28  0.92     -60.0 |   608   -336.7 |    556   -333.6 |      -14      -14 |     -294 | fail
30  0    2   0.50 |   900       -5  0.98     -60.0 |   679   -341.7 |    556   -333.6 |      +15      -21 |     -270 | fail
30  0    2   0.75 |   900      -24  0.93     -60.0 |   750   -347.0 |    556   -333.6 |      +14      -38 |     -295 | fail
30  0    2   0.90 |   900      -25  0.93     -60.0 |   807   -351.1 |    556   -333.6 |      +14      -39 |     -296 | fail
30  0    4   0.20 |   904      -49  0.86     -60.0 |   621   -345.2 |    570   -342.0 |      -49       -0 |     -323 | fail
30  0    4   0.50 |   904      -13  0.96     -60.0 |   688   -350.3 |    570   -342.0 |      -58      +45 |     -310 | fail
30  0    4   0.75 |   904      -13  0.96     -60.0 |   767   -356.4 |    570   -342.0 |      -44      +31 |     -322 | fail
30  0    4   0.90 |   904      -11  0.97     -60.0 |   824   -360.7 |    570   -342.0 |      -49      +37 |     -319 | fail
30  0    8   0.20 |   728      -64  0.77     -60.0 |   514   -283.3 |    466   -279.6 |      -48      -16 |     -275 | fail
30  0    8   0.50 |   728      +31  1.11     -60.0 |   559   -286.8 |    466   -279.6 |      -45      +76 |     -231 | fail
30  0    8   0.75 |   728      +26  1.09     -60.0 |   623   -291.9 |    466   -279.6 |      -67      +93 |     -221 | fail
30  0    8   0.90 |   728       +2  1.01     -60.0 |   670   -295.4 |    466   -279.6 |      -76      +78 |     -232 | fail
30  0    12  0.20 |   628      -76  0.69     -60.0 |   440   -242.9 |    401   -240.6 |      -46      -30 |     -272 | fail
30  0    12  0.50 |   628      -10  0.96     -60.0 |   482   -246.1 |    401   -240.6 |      -29      +19 |     -240 | fail
30  0    12  0.75 |   628      +40  1.16     -60.0 |   547   -251.1 |    401   -240.6 |      -13      +52 |     -197 | fail
30  0    12  0.90 |   628      +50  1.20     -60.0 |   589   -253.5 |    401   -240.6 |      -17      +67 |     -183 | fail
60  0    2   0.20 |   900     -110  0.76     -90.0 |   568   -458.0 |    504   -453.6 |      -49      -62 |     -379 | fail
60  0    2   0.50 |   900      -80  0.83     -90.0 |   650   -463.7 |    504   -453.6 |      -21      -59 |     -351 | fail
60  0    2   0.75 |   900      -88  0.81     -90.0 |   734   -470.0 |    504   -453.6 |      -18      -69 |     -360 | fail
60  0    2   0.90 |   900      -91  0.81     -90.0 |   797   -474.4 |    504   -453.6 |      -20      -71 |     -362 | fail
60  0    4   0.20 |   904     -142  0.70     -90.0 |   581   -469.4 |    517   -465.3 |      -97      -45 |     -426 | fail
60  0    4   0.50 |   904      -89  0.81     -90.0 |   661   -475.5 |    517   -465.3 |     -109      +20 |     -398 | fail
60  0    4   0.75 |   904      -80  0.83     -90.0 |   752   -482.1 |    517   -465.3 |      -86       +6 |     -404 | fail
60  0    4   0.90 |   904      -80  0.84     -90.0 |   815   -487.0 |    517   -465.3 |      -91      +11 |     -400 | fail
60  0    8   0.20 |   728     -142  0.63     -90.0 |   481   -385.9 |    424   -381.6 |      -77      -64 |     -351 | fail
60  0    8   0.50 |   728      -56  0.86     -90.0 |   544   -390.7 |    424   -381.6 |      -81      +25 |     -316 | fail
60  0    8   0.75 |   728      -67  0.83     -90.0 |   613   -396.1 |    424   -381.6 |     -106      +39 |     -309 | fail
60  0    8   0.90 |   728      -93  0.77     -90.0 |   668   -400.1 |    424   -381.6 |     -117      +23 |     -322 | fail
60  0    12  0.20 |   628     -151  0.55     -90.0 |   412   -332.4 |    366   -329.4 |      -77      -73 |     -341 | fail
60  0    12  0.50 |   628      -91  0.73     -90.0 |   463   -336.2 |    366   -329.4 |      -65      -26 |     -315 | fail
60  0    12  0.75 |   628      -43  0.87     -90.0 |   538   -341.8 |    366   -329.4 |      -50       +6 |     -270 | fail
60  0    12  0.90 |   628      -35  0.90     -90.0 |   585   -344.7 |    366   -329.4 |      -56      +21 |     -257 | fail
