SINGLE-LEG MIMIC CERT — coin=THETA early=1 bars=31062 thr=1.00% confirm=60bp RT=30/60bp legs=1 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    2   0.20 |  1403     -157  0.71     -60.0 |   995   -543.5 |    893   -535.8 |      -72      -85 |     -585 | fail
30  0    2   0.50 |  1403     -167  0.70     -60.0 |  1087   -550.1 |    893   -535.8 |      -52     -115 |     -588 | fail
30  0    2   0.75 |  1403     -136  0.76     -60.0 |  1217   -559.0 |    893   -535.8 |      -53      -83 |     -551 | fail
30  0    2   0.90 |  1403     -147  0.74     -60.0 |  1287   -564.9 |    893   -535.8 |      -56      -90 |     -557 | fail
30  0    4   0.20 |  1195     -152  0.67     -60.0 |   849   -462.7 |    761   -456.6 |      -92      -60 |     -524 | fail
30  0    4   0.50 |  1195     -144  0.69     -60.0 |   939   -469.0 |    761   -456.6 |      -87      -57 |     -498 | fail
30  0    4   0.75 |  1195     -126  0.74     -60.0 |  1038   -476.4 |    761   -456.6 |      -96      -30 |     -472 | fail
30  0    4   0.90 |  1195     -121  0.75     -60.0 |  1097   -480.5 |    761   -456.6 |     -102      -19 |     -463 | fail
30  0    8   0.20 |   885      -47  0.86     -60.0 |   618   -343.0 |    561   -336.6 |      -26      -21 |     -319 | fail
30  0    8   0.50 |   885      -21  0.94     -60.0 |   681   -347.1 |    561   -336.6 |      -17       -4 |     -294 | fail
30  0    8   0.75 |   885       +6  1.02     -60.0 |   749   -351.7 |    561   -336.6 |       +4       +2 |     -276 | fail
30  0    8   0.90 |   885      +27  1.08     -60.0 |   809   -355.9 |    561   -336.6 |       +9      +18 |     -263 | fail
30  0    12  0.20 |   746      -80  0.71     -60.0 |   523   -281.0 |    458   -274.8 |      -14      -66 |     -311 | fail
30  0    12  0.50 |   746     -110  0.62     -60.0 |   580   -285.5 |    458   -274.8 |      -26      -83 |     -319 | fail
30  0    12  0.75 |   746     -101  0.65     -60.0 |   653   -290.5 |    458   -274.8 |      -40      -62 |     -318 | fail
30  0    12  0.90 |   746     -107  0.64     -60.0 |   692   -293.3 |    458   -274.8 |      -43      -64 |     -320 | fail
60  0    2   0.20 |  1403     -337  0.55     -90.0 |   941   -741.4 |    812   -730.8 |     -151     -186 |     -779 | fail
60  0    2   0.50 |  1403     -356  0.53     -90.0 |  1058   -749.9 |    812   -730.8 |     -135     -220 |     -764 | fail
60  0    2   0.75 |  1403     -323  0.58     -90.0 |  1207   -759.8 |    812   -730.8 |     -140     -183 |     -730 | fail
60  0    2   0.90 |  1403     -335  0.56     -90.0 |  1282   -766.2 |    812   -730.8 |     -144     -191 |     -737 | fail
60  0    4   0.20 |  1195     -231  0.63     -90.0 |   796   -631.2 |    693   -623.7 |     -121     -109 |     -606 | fail
60  0    4   0.50 |  1195     -219  0.66     -90.0 |   905   -638.7 |    693   -623.7 |     -114     -105 |     -556 | fail
60  0    4   0.75 |  1195     -200  0.69     -90.0 |  1015   -646.8 |    693   -623.7 |     -117      -83 |     -518 | fail
60  0    4   0.90 |  1195     -196  0.70     -90.0 |  1084   -651.7 |    693   -623.7 |     -123      -72 |     -510 | fail
60  0    8   0.20 |   885      -89  0.80     -90.0 |   564   -443.8 |    483   -434.7 |      -29      -60 |     -358 | fail
60  0    8   0.50 |   885      -74  0.83     -90.0 |   645   -449.1 |    483   -434.7 |      -24      -50 |     -340 | fail
60  0    8   0.75 |   885      -28  0.94     -90.0 |   729   -454.9 |    483   -434.7 |      +14      -42 |     -327 | fail
60  0    8   0.90 |   885       -9  0.98     -90.0 |   795   -459.6 |    483   -434.7 |      +18      -27 |     -317 | fail
60  0    12  0.20 |   746     -143  0.62     -90.0 |   480   -370.3 |    402   -361.8 |      -44      -99 |     -367 | fail
60  0    12  0.50 |   746     -177  0.53     -90.0 |   557   -376.1 |    402   -361.8 |      -53     -124 |     -359 | fail
60  0    12  0.75 |   746     -171  0.55     -90.0 |   640   -382.0 |    402   -361.8 |      -66     -105 |     -348 | fail
60  0    12  0.90 |   746     -174  0.55     -90.0 |   685   -385.4 |    402   -361.8 |      -67     -107 |     -346 | fail
