SINGLE-LEG MIMIC CERT — coin=TRX early=1 bars=48569 thr=0.50% confirm=60bp RT=30/60bp legs=1 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    2   0.20 |  1834     -279  0.58     -60.0 |  1300   -671.0 |   1097   -658.2 |     -114     -165 |     -808 | fail
30  0    2   0.50 |  1834     -209  0.69     -60.0 |  1455   -680.8 |   1097   -658.2 |     -112      -97 |     -738 | fail
30  0    2   0.75 |  1834     -195  0.72     -60.0 |  1603   -690.9 |   1097   -658.2 |     -110      -85 |     -722 | fail
30  0    2   0.90 |  1834     -195  0.72     -60.0 |  1663   -695.7 |   1097   -658.2 |     -104      -91 |     -720 | fail
30  0    4   0.20 |  1538     -248  0.57     -60.0 |  1133   -580.1 |    947   -568.2 |      -83     -165 |     -704 | fail
30  0    4   0.50 |  1538     -228  0.61     -60.0 |  1245   -587.8 |    947   -568.2 |     -103     -125 |     -691 | fail
30  0    4   0.75 |  1538     -228  0.62     -60.0 |  1356   -595.6 |    947   -568.2 |      -93     -135 |     -693 | fail
30  0    4   0.90 |  1538     -216  0.64     -60.0 |  1417   -600.0 |    947   -568.2 |      -77     -139 |     -690 | fail
30  0    8   0.20 |  1178     -203  0.55     -60.0 |   880   -452.1 |    736   -441.6 |      -64     -139 |     -535 | fail
30  0    8   0.50 |  1178     -152  0.67     -60.0 |   977   -459.3 |    736   -441.6 |      -86      -66 |     -495 | fail
30  0    8   0.75 |  1178     -124  0.73     -60.0 |  1054   -464.6 |    736   -441.6 |      -68      -56 |     -469 | fail
30  0    8   0.90 |  1178     -134  0.71     -60.0 |  1098   -467.8 |    736   -441.6 |      -75      -59 |     -474 | fail
30  0    12  0.20 |   968     -203  0.46     -60.0 |   728   -377.2 |    617   -370.2 |      -69     -134 |     -489 | fail
30  0    12  0.50 |   968     -199  0.48     -60.0 |   804   -382.6 |    617   -370.2 |      -88     -111 |     -491 | fail
30  0    12  0.75 |   968     -219  0.44     -60.0 |   875   -387.5 |    617   -370.2 |     -112     -107 |     -516 | fail
30  0    12  0.90 |   968     -230  0.41     -60.0 |   907   -390.0 |    617   -370.2 |     -122     -108 |     -523 | fail
60  0    2   0.20 |  1834     -398  0.53     -90.0 |  1182   -843.4 |    896   -806.4 |     -193     -205 |     -921 | fail
60  0    2   0.50 |  1834     -337  0.61     -90.0 |  1386   -856.8 |    896   -806.4 |     -201     -136 |     -862 | fail
60  0    2   0.75 |  1834     -323  0.63     -90.0 |  1567   -869.4 |    896   -806.4 |     -197     -126 |     -844 | fail
60  0    2   0.90 |  1834     -319  0.64     -90.0 |  1631   -874.5 |    896   -806.4 |     -188     -131 |     -841 | fail
60  0    4   0.20 |  1538     -336  0.53     -90.0 |  1022   -712.8 |    761   -684.9 |     -150     -186 |     -788 | fail
60  0    4   0.50 |  1538     -329  0.54     -90.0 |  1173   -723.5 |    761   -684.9 |     -175     -154 |     -786 | fail
60  0    4   0.75 |  1538     -321  0.56     -90.0 |  1328   -734.0 |    761   -684.9 |     -171     -150 |     -778 | fail
60  0    4   0.90 |  1538     -300  0.59     -90.0 |  1397   -739.1 |    761   -684.9 |     -146     -154 |     -774 | fail
60  0    8   0.20 |  1178     -259  0.52     -90.0 |   794   -540.7 |    574   -516.6 |     -119     -140 |     -588 | fail
60  0    8   0.50 |  1178     -211  0.62     -90.0 |   923   -550.3 |    574   -516.6 |     -144      -67 |     -560 | fail
60  0    8   0.75 |  1178     -187  0.67     -90.0 |  1028   -557.5 |    574   -516.6 |     -128      -59 |     -531 | fail
60  0    8   0.90 |  1178     -198  0.65     -90.0 |  1080   -561.3 |    574   -516.6 |     -135      -63 |     -537 | fail
60  0    12  0.20 |   968     -237  0.48     -90.0 |   651   -455.8 |    490   -441.0 |     -100     -137 |     -529 | fail
60  0    12  0.50 |   968     -225  0.51     -90.0 |   756   -463.2 |    490   -441.0 |     -108     -117 |     -538 | fail
60  0    12  0.75 |   968     -226  0.52     -90.0 |   850   -469.3 |    490   -441.0 |     -117     -109 |     -541 | fail
60  0    12  0.90 |   968     -226  0.52     -90.0 |   885   -471.9 |    490   -441.0 |     -116     -110 |     -546 | fail
