SINGLE-LEG MIMIC CERT — coin=UNI early=1 bars=48569 thr=1.50% confirm=60bp RT=30/60bp legs=1 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    2   0.20 |  1624      -23  0.96     -60.0 |  1119   -623.8 |   1030   -618.0 |      +26      -49 |     -505 | fail
30  0    2   0.50 |  1624      -47  0.93     -60.0 |  1226   -631.6 |   1030   -618.0 |       +5      -52 |     -527 | fail
30  0    2   0.75 |  1624      -36  0.94     -60.0 |  1356   -641.9 |   1030   -618.0 |       +8      -44 |     -512 | fail
30  0    2   0.90 |  1624      -59  0.91     -60.0 |  1477   -650.9 |   1030   -618.0 |       -5      -55 |     -525 | fail
30  0    4   0.20 |  1508      -48  0.92     -60.0 |  1041   -574.3 |    948   -568.8 |      +17      -65 |     -483 | fail
30  0    4   0.50 |  1508     +105  1.18     -60.0 |  1142   -581.5 |    948   -568.8 |      +73      +31 |     -317 | fail
30  0    4   0.75 |  1508      +95  1.16     -60.0 |  1261   -591.0 |    948   -568.8 |      +76      +19 |     -319 | fail
30  0    4   0.90 |  1508     +123  1.21     -60.0 |  1373   -599.5 |    948   -568.8 |      +84      +39 |     -320 | fail
30  0    8   0.20 |  1210     -122  0.74     -60.0 |   857   -476.1 |    787   -472.2 |      -69      -53 |     -478 | fail
30  0    8   0.50 |  1210     -102  0.79     -60.0 |   933   -481.2 |    787   -472.2 |      -78      -24 |     -451 | fail
30  0    8   0.75 |  1210     -159  0.68     -60.0 |  1042   -489.6 |    787   -472.2 |      -89      -70 |     -496 | fail
30  0    8   0.90 |  1210     -167  0.66     -60.0 |  1130   -496.6 |    787   -472.2 |      -99      -68 |     -513 | fail
30  0    12  0.20 |  1037      -90  0.78     -60.0 |   732   -407.9 |    674   -404.4 |      -11      -80 |     -415 | fail
30  0    12  0.50 |  1037      -37  0.91     -60.0 |   804   -413.3 |    674   -404.4 |      +13      -50 |     -345 | fail
30  0    12  0.75 |  1037      -72  0.83     -60.0 |   888   -419.2 |    674   -404.4 |       +5      -76 |     -350 | fail
30  0    12  0.90 |  1037      -73  0.83     -60.0 |   963   -425.2 |    674   -404.4 |       -3      -70 |     -364 | fail
60  0    2   0.20 |  1624     -192  0.78     -90.0 |  1048   -855.1 |    943   -848.7 |      -69     -122 |     -663 | fail
60  0    2   0.50 |  1624     -177  0.80     -90.0 |  1175   -864.5 |    943   -848.7 |      -88      -89 |     -654 | fail
60  0    2   0.75 |  1624     -151  0.83     -90.0 |  1319   -875.9 |    943   -848.7 |      -71      -80 |     -625 | fail
60  0    2   0.90 |  1624     -168  0.81     -90.0 |  1456   -885.9 |    943   -848.7 |      -83      -85 |     -639 | fail
60  0    4   0.20 |  1508     -214  0.73     -90.0 |   979   -784.1 |    863   -776.7 |      -76     -139 |     -644 | fail
60  0    4   0.50 |  1508      -74  0.91     -90.0 |  1102   -792.7 |    863   -776.7 |      -25      -49 |     -490 | fail
60  0    4   0.75 |  1508      -82  0.90     -90.0 |  1237   -803.6 |    863   -776.7 |      -21      -61 |     -489 | fail
60  0    4   0.90 |  1508      -47  0.94     -90.0 |  1358   -812.8 |    863   -776.7 |      -13      -34 |     -457 | fail
60  0    8   0.20 |  1210     -218  0.66     -90.0 |   789   -635.8 |    700   -630.0 |     -126      -92 |     -556 | fail
60  0    8   0.50 |  1210     -184  0.71     -90.0 |   889   -642.5 |    700   -630.0 |     -136      -48 |     -522 | fail
60  0    8   0.75 |  1210     -230  0.65     -90.0 |  1011   -651.8 |    700   -630.0 |     -141      -88 |     -534 | fail
60  0    8   0.90 |  1210     -240  0.64     -90.0 |  1114   -659.9 |    700   -630.0 |     -152      -88 |     -552 | fail
60  0    12  0.20 |  1037     -156  0.71     -90.0 |   666   -539.2 |    594   -534.6 |      -57      -99 |     -467 | fail
60  0    12  0.50 |  1037     -103  0.81     -90.0 |   758   -546.1 |    594   -534.6 |      -19      -84 |     -396 | fail
60  0    12  0.75 |  1037     -141  0.75     -90.0 |   859   -553.3 |    594   -534.6 |      -29     -112 |     -402 | fail
60  0    12  0.90 |  1037     -146  0.74     -90.0 |   947   -559.9 |    594   -534.6 |      -39     -108 |     -414 | fail
