SINGLE-LEG MIMIC CERT — coin=XRP early=1 bars=48569 thr=2.00% confirm=60bp RT=30/60bp legs=1 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    2   0.20 |   693      +60  1.22     -60.0 |   482   -272.6 |    451   -270.6 |      +38      +23 |     -152 | fail
30  0    2   0.50 |   693      +53  1.19     -60.0 |   519   -275.5 |    451   -270.6 |      +24      +29 |     -152 | fail
30  0    2   0.75 |   693     +106  1.38     -60.0 |   580   -280.0 |    451   -270.6 |      +74      +31 |      -84 | fail
30  0    2   0.90 |   693      +97  1.34     -60.0 |   630   -283.5 |    451   -270.6 |      +65      +33 |      -80 | fail
30  0    4   0.20 |   774      -48  0.85     -60.0 |   556   -311.5 |    515   -309.0 |       -9      -39 |     -281 | fail
30  0    4   0.50 |   774      -64  0.80     -60.0 |   599   -314.5 |    515   -309.0 |      -20      -44 |     -306 | fail
30  0    4   0.75 |   774      -14  0.96     -60.0 |   664   -319.6 |    515   -309.0 |      +29      -43 |     -276 | fail
30  0    4   0.90 |   774      -21  0.94     -60.0 |   717   -323.3 |    515   -309.0 |      +22      -43 |     -283 | fail
30  0    8   0.20 |   723      -54  0.81     -60.0 |   518   -291.8 |    482   -289.2 |      -31      -23 |     -266 | fail
30  0    8   0.50 |   723     -103  0.65     -60.0 |   562   -295.2 |    482   -289.2 |      -62      -41 |     -302 | fail
30  0    8   0.75 |   723     -108  0.64     -60.0 |   619   -299.5 |    482   -289.2 |      -64      -44 |     -314 | fail
30  0    8   0.90 |   723      -80  0.74     -60.0 |   670   -303.6 |    482   -289.2 |      -55      -25 |     -319 | fail
30  0    12  0.20 |   643      -20  0.92     -60.0 |   483   -268.6 |    443   -265.8 |      -14       -6 |     -209 | fail
30  0    12  0.50 |   643      +12  1.04     -60.0 |   510   -270.5 |    443   -265.8 |       -3      +14 |     -180 | fail
30  0    12  0.75 |   643      -18  0.94     -60.0 |   553   -273.4 |    443   -265.8 |      -26       +8 |     -200 | fail
30  0    12  0.90 |   643      -24  0.91     -60.0 |   595   -276.6 |    443   -265.8 |      -35      +11 |     -207 | fail
60  0    2   0.20 |   693      -45  0.88     -90.0 |   463   -386.5 |    427   -384.3 |      -18      -27 |     -263 | fail
60  0    2   0.50 |   693      -57  0.85     -90.0 |   507   -389.9 |    427   -384.3 |      -33      -24 |     -267 | fail
60  0    2   0.75 |   693       -8  0.98     -90.0 |   575   -395.0 |    427   -384.3 |      +17      -25 |     -202 | fail
60  0    2   0.90 |   693      -18  0.95     -90.0 |   629   -398.9 |    427   -384.3 |       +7      -25 |     -199 | fail
60  0    4   0.20 |   774     -130  0.70     -90.0 |   522   -428.7 |    473   -425.7 |      -47      -83 |     -371 | fail
60  0    4   0.50 |   774     -115  0.73     -90.0 |   579   -432.8 |    473   -425.7 |      -46      -69 |     -366 | fail
60  0    4   0.75 |   774      -72  0.84     -90.0 |   650   -438.3 |    473   -425.7 |       +1      -72 |     -342 | fail
60  0    4   0.90 |   774      -80  0.82     -90.0 |   709   -442.5 |    473   -425.7 |       -7      -73 |     -349 | fail
60  0    8   0.20 |   723     -123  0.69     -90.0 |   485   -398.5 |    439   -395.1 |      -50      -73 |     -343 | fail
60  0    8   0.50 |   723     -179  0.56     -90.0 |   541   -402.9 |    439   -395.1 |      -85      -94 |     -388 | fail
60  0    8   0.75 |   723     -189  0.54     -90.0 |   605   -408.0 |    439   -395.1 |      -88     -101 |     -403 | fail
60  0    8   0.90 |   723     -154  0.63     -90.0 |   662   -412.7 |    439   -395.1 |      -70      -83 |     -407 | fail
60  0    12  0.20 |   643      -68  0.81     -90.0 |   445   -358.0 |    394   -354.6 |      -39      -29 |     -261 | fail
60  0    12  0.50 |   643      -35  0.90     -90.0 |   482   -360.6 |    394   -354.6 |      -34       -1 |     -231 | fail
60  0    12  0.75 |   643      -60  0.84     -90.0 |   541   -364.6 |    394   -354.6 |      -65       +6 |     -244 | fail
60  0    12  0.90 |   643      -68  0.82     -90.0 |   588   -368.3 |    394   -354.6 |      -75       +7 |     -252 | fail
