INCREMENT-CASCADE CERT — coin=AAVE early=1 bars=48569 thr=1.00% confirm=60bp RT=30/60bp legs=2 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.75 |  4710     -397  0.79    -133.8 |  4025  -1911.0 |   3068  -1840.8 |     -121     -276 |    -1818 | fail
30  38   2   0.90 |  4710     -412  0.79    -133.8 |  4266  -1927.9 |   3068  -1840.8 |     -142     -270 |    -1833 | fail
30  38   4   0.75 |  3889     -141  0.91    -133.8 |  3291  -1555.4 |   2491  -1494.6 |     +183     -325 |    -1287 | fail
30  38   4   0.90 |  3889     -121  0.92    -133.8 |  3531  -1573.7 |   2491  -1494.6 |     +172     -293 |    -1280 | fail
30  38   8   0.75 |  2875     -121  0.90     -60.0 |  2454  -1164.2 |   1867  -1120.2 |      +72     -193 |    -1072 | fail
30  38   8   0.90 |  2875      -87  0.93     -60.0 |  2632  -1176.7 |   1867  -1120.2 |      +81     -168 |    -1068 | fail
30  38   12  0.75 |  2318      -57  0.94     -60.0 |  1966   -929.2 |   1493   -895.8 |      +83     -140 |     -737 | fail
30  38   12  0.90 |  2318      -86  0.91     -60.0 |  2113   -939.5 |   1493   -895.8 |      +51     -136 |     -763 | fail
30  60   2   0.75 |  4513     -374  0.80    -133.8 |  3852  -1827.5 |   2934  -1760.4 |      -91     -283 |    -1754 | fail
30  60   2   0.90 |  4513     -383  0.79    -133.8 |  4081  -1843.5 |   2934  -1760.4 |     -105     -278 |    -1760 | fail
30  60   4   0.75 |  3755     -137  0.91    -133.8 |  3173  -1494.4 |   2393  -1435.8 |     +188     -324 |    -1288 | fail
30  60   4   0.90 |  3755     -110  0.93    -133.8 |  3408  -1512.4 |   2393  -1435.8 |     +189     -298 |    -1279 | fail
30  60   8   0.75 |  2786     -125  0.89     -60.0 |  2382  -1121.1 |   1795  -1077.0 |      +51     -176 |    -1037 | fail
30  60   8   0.90 |  2786      -91  0.92     -60.0 |  2553  -1133.9 |   1795  -1077.0 |      +56     -147 |    -1026 | fail
30  60   12  0.75 |  2246      -94  0.90     -60.0 |  1894   -900.5 |   1448   -868.8 |      +49     -143 |     -736 | fail
30  60   12  0.90 |  2246     -121  0.87     -60.0 |  2047   -911.5 |   1448   -868.8 |      +20     -141 |     -751 | fail
30  100  2   0.75 |  4240     -338  0.80    -133.8 |  3611  -1713.2 |   2752  -1651.2 |      -83     -255 |    -1574 | fail
30  100  2   0.90 |  4240     -349  0.80    -133.8 |  3833  -1729.1 |   2752  -1651.2 |      -86     -263 |    -1585 | fail
30  100  4   0.75 |  3539     -164  0.88    -133.8 |  3013  -1402.9 |   2243  -1345.8 |     +179     -343 |    -1215 | fail
30  100  4   0.90 |  3539     -161  0.89    -133.8 |  3221  -1418.3 |   2243  -1345.8 |     +176     -337 |    -1229 | fail
30  100  8   0.75 |  2645     -153  0.86     -60.0 |  2259  -1056.5 |   1690  -1014.0 |      +15     -168 |     -972 | fail
30  100  8   0.90 |  2645     -126  0.88     -60.0 |  2425  -1068.6 |   1690  -1014.0 |      +33     -159 |     -977 | fail
30  100  12  0.75 |  2143      -68  0.92     -60.0 |  1800   -845.3 |   1359   -815.4 |      +72     -140 |     -668 | fail
30  100  12  0.90 |  2143      -95  0.89     -60.0 |  1951   -856.3 |   1359   -815.4 |      +61     -156 |     -692 | fail
60  38   2   0.75 |  4710     -809  0.69    -133.8 |  3919  -2580.0 |   2772  -2494.8 |     -315     -494 |    -2272 | fail
60  38   2   0.90 |  4710     -809  0.69    -133.8 |  4196  -2599.6 |   2772  -2494.8 |     -320     -488 |    -2286 | fail
