INCREMENT-CASCADE CERT — coin=ADA early=1 bars=48569 thr=1.00% confirm=60bp RT=30/60bp legs=3 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.75 |  5203     -527  0.75     -60.0 |  4472  -2108.8 |   3388  -2032.8 |     -132     -395 |    -2084 | fail
30  38   2   0.90 |  5203     -485  0.77     -60.0 |  4764  -2131.2 |   3388  -2032.8 |     -111     -374 |    -2058 | fail
30  38   4   0.75 |  4610     -479  0.75     -60.0 |  3987  -1879.5 |   3018  -1810.8 |     -246     -234 |    -1851 | fail
30  38   4   0.90 |  4610     -444  0.77     -60.0 |  4220  -1897.3 |   3018  -1810.8 |     -231     -213 |    -1828 | fail
30  38   8   0.75 |  3494     -103  0.93     -60.0 |  2994  -1429.6 |   2303  -1381.8 |      +49     -152 |    -1090 | fail
30  38   8   0.90 |  3494     -100  0.93     -60.0 |  3207  -1445.9 |   2303  -1381.8 |      +71     -171 |    -1067 | fail
30  38   12  0.75 |  2904      -68  0.94     -60.0 |  2504  -1187.7 |   1911  -1146.6 |      +55     -123 |     -953 | fail
30  38   12  0.90 |  2904      -95  0.92     -60.0 |  2678  -1201.0 |   1911  -1146.6 |      +53     -149 |     -958 | fail
30  60   2   0.75 |  4839     -459  0.77     -60.0 |  4160  -1965.4 |   3159  -1895.4 |     -134     -325 |    -1911 | fail
30  60   2   0.90 |  4839     -433  0.78     -60.0 |  4424  -1984.8 |   3159  -1895.4 |     -135     -298 |    -1920 | fail
30  60   4   0.75 |  4283     -372  0.79     -60.0 |  3692  -1752.8 |   2818  -1690.8 |     -215     -157 |    -1681 | fail
30  60   4   0.90 |  4283     -366  0.79     -60.0 |  3914  -1769.8 |   2818  -1690.8 |     -224     -143 |    -1685 | fail
30  60   8   0.75 |  3257      +31  1.02     -60.0 |  2788  -1326.6 |   2136  -1281.6 |      +63      -32 |    -1045 | fail
30  60   8   0.90 |  3257      +58  1.04     -60.0 |  2984  -1341.4 |   2136  -1281.6 |     +109      -51 |    -1021 | fail
30  60   12  0.75 |  2741      -89  0.92     -60.0 |  2382  -1127.7 |   1814  -1088.4 |      +31     -121 |     -914 | fail
30  60   12  0.90 |  2741      -83  0.93     -60.0 |  2538  -1139.3 |   1814  -1088.4 |      +60     -142 |     -907 | fail
30  100  2   0.75 |  4297     -371  0.79     -60.0 |  3696  -1739.6 |   2795  -1677.0 |      -71     -300 |    -1645 | fail
30  100  2   0.90 |  4297     -326  0.81     -60.0 |  3926  -1756.8 |   2795  -1677.0 |      -42     -284 |    -1632 | fail
30  100  4   0.75 |  3803     -240  0.84     -60.0 |  3244  -1531.7 |   2462  -1477.2 |     -149      -91 |    -1419 | fail
30  100  4   0.90 |  3803     -208  0.87     -60.0 |  3463  -1548.3 |   2462  -1477.2 |     -144      -64 |    -1401 | fail
30  100  8   0.75 |  2909      +15  1.01     -60.0 |  2477  -1171.4 |   1884  -1130.4 |      +45      -30 |     -856 | fail
30  100  8   0.90 |  2909      +63  1.05     -60.0 |  2664  -1185.6 |   1884  -1130.4 |      +91      -29 |     -831 | fail
30  100  12  0.75 |  2469      -61  0.94     -60.0 |  2125  -1009.4 |   1625   -975.0 |      +36      -97 |     -795 | fail
