INCREMENT-CASCADE CERT — coin=APT early=1 bars=31062 thr=2.00% confirm=60bp RT=30/60bp legs=2 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.75 |  1123      -75  0.83     -60.0 |   966   -452.0 |    723   -433.8 |      +56     -131 |     -400 | fail
30  38   2   0.90 |  1123      -94  0.80     -60.0 |  1042   -458.1 |    723   -433.8 |      +39     -133 |     -411 | fail
30  38   4   0.75 |  1257     -135  0.73     -60.0 |  1067   -507.5 |    817   -490.2 |      -32     -103 |     -495 | fail
30  38   4   0.90 |  1257     -149  0.71     -60.0 |  1145   -513.8 |    817   -490.2 |      -35     -114 |     -502 | fail
30  38   8   0.75 |  1145     -182  0.62     -60.0 |   991   -479.6 |    774   -464.4 |      -50     -133 |     -517 | fail
30  38   8   0.90 |  1145     -175  0.64     -60.0 |  1062   -485.0 |    774   -464.4 |      -38     -137 |     -529 | fail
30  38   12  0.75 |  1022      -53  0.87     -60.0 |   876   -417.9 |    672   -403.2 |      +46     -100 |     -405 | fail
30  38   12  0.90 |  1022      -79  0.81     -60.0 |   939   -422.6 |    672   -403.2 |      +31     -109 |     -421 | fail
30  60   2   0.75 |  1104      -96  0.79     -60.0 |   945   -450.4 |    724   -434.4 |      +50     -146 |     -406 | fail
30  60   2   0.90 |  1104     -111  0.76     -60.0 |  1024   -456.9 |    724   -434.4 |      +31     -142 |     -417 | fail
30  60   4   0.75 |  1235     -184  0.64     -60.0 |  1060   -510.3 |    823   -493.8 |      -65     -119 |     -520 | fail
30  60   4   0.90 |  1235     -195  0.62     -60.0 |  1135   -516.3 |    823   -493.8 |      -63     -132 |     -530 | fail
30  60   8   0.75 |  1124     -159  0.66     -60.0 |   974   -471.8 |    761   -456.6 |      -29     -130 |     -493 | fail
30  60   8   0.90 |  1124     -169  0.65     -60.0 |  1042   -476.7 |    761   -456.6 |      -27     -142 |     -508 | fail
30  60   12  0.75 |   998      -41  0.90     -60.0 |   849   -408.8 |    659   -395.4 |      +68     -109 |     -379 | fail
30  60   12  0.90 |   998      -65  0.84     -60.0 |   914   -413.6 |    659   -395.4 |      +52     -116 |     -397 | fail
30  100  2   0.75 |  1067      -96  0.78     -60.0 |   917   -443.1 |    713   -427.8 |      +12     -108 |     -434 | fail
30  100  2   0.90 |  1067      -86  0.81     -60.0 |   988   -448.5 |    713   -427.8 |      +22     -109 |     -443 | fail
30  100  4   0.75 |  1184     -159  0.67     -60.0 |  1003   -486.4 |    785   -471.0 |      -58     -100 |     -504 | fail
30  100  4   0.90 |  1184     -186  0.62     -60.0 |  1087   -492.9 |    785   -471.0 |      -65     -121 |     -516 | fail
30  100  8   0.75 |  1068     -137  0.69     -60.0 |   917   -443.5 |    716   -429.6 |      -20     -117 |     -480 | fail
30  100  8   0.90 |  1068     -156  0.65     -60.0 |   989   -448.6 |    716   -429.6 |      -27     -129 |     -495 | fail
