INCREMENT-CASCADE CERT — coin=ATOM early=1 bars=31062 thr=1.50% confirm=60bp RT=30/60bp legs=2 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.75 |  1125     -162  0.63     -60.0 |   976   -442.6 |    708   -424.8 |      -69      -94 |     -499 | fail
30  38   2   0.90 |  1125     -164  0.63     -60.0 |  1040   -447.6 |    708   -424.8 |      -71      -93 |     -502 | fail
30  38   4   0.75 |  1312     -258  0.52     -60.0 |  1157   -539.7 |    867   -520.2 |     -108     -150 |     -665 | fail
30  38   4   0.90 |  1312     -266  0.51     -60.0 |  1232   -544.9 |    867   -520.2 |     -107     -158 |     -655 | fail
30  38   8   0.75 |  1097     -218  0.52     -60.0 |   976   -456.2 |    733   -439.8 |     -110     -108 |     -540 | fail
30  38   8   0.90 |  1097     -224  0.51     -60.0 |  1035   -460.4 |    733   -439.8 |     -114     -109 |     -532 | fail
30  38   12  0.75 |   961     -185  0.53     -60.0 |   837   -394.7 |    636   -381.6 |     -107      -78 |     -478 | fail
30  38   12  0.90 |   961     -190  0.52     -60.0 |   896   -398.7 |    636   -381.6 |     -115      -75 |     -484 | fail
30  60   2   0.75 |  1088     -218  0.50     -60.0 |   959   -437.5 |    701   -420.6 |     -112     -106 |     -517 | fail
30  60   2   0.90 |  1088     -205  0.54     -60.0 |  1014   -442.0 |    701   -420.6 |     -104     -101 |     -510 | fail
30  60   4   0.75 |  1262     -266  0.48     -60.0 |  1106   -512.5 |    823   -493.8 |     -127     -139 |     -633 | fail
30  60   4   0.90 |  1262     -268  0.48     -60.0 |  1183   -517.9 |    823   -493.8 |     -124     -144 |     -630 | fail
30  60   8   0.75 |  1052     -204  0.52     -60.0 |   932   -428.5 |    687   -412.2 |     -125      -79 |     -516 | fail
30  60   8   0.90 |  1052     -207  0.52     -60.0 |   994   -433.0 |    687   -412.2 |     -128      -79 |     -508 | fail
30  60   12  0.75 |   931     -188  0.50     -60.0 |   816   -378.4 |    609   -365.4 |     -110      -78 |     -460 | fail
30  60   12  0.90 |   931     -197  0.49     -60.0 |   872   -382.5 |    609   -365.4 |     -116      -81 |     -462 | fail
30  100  2   0.75 |  1028     -181  0.55     -60.0 |   903   -404.5 |    646   -387.6 |      -73     -108 |     -472 | fail
30  100  2   0.90 |  1028     -176  0.57     -60.0 |   956   -409.0 |    646   -387.6 |      -68     -108 |     -476 | fail
30  100  4   0.75 |  1196     -236  0.52     -60.0 |  1048   -489.8 |    788   -472.8 |     -113     -123 |     -605 | fail
30  100  4   0.90 |  1196     -249  0.50     -60.0 |  1121   -494.8 |    788   -472.8 |     -114     -135 |     -606 | fail
30  100  8   0.75 |  1006     -199  0.52     -60.0 |   890   -412.6 |    662   -397.2 |     -117      -82 |     -488 | fail
30  100  8   0.90 |  1006     -211  0.49     -60.0 |   948   -417.0 |    662   -397.2 |     -120      -91 |     -487 | fail
30  100  12  0.75 |   886     -176  0.52     -60.0 |   776   -369.8 |    597   -358.2 |      -80      -96 |     -436 | fail
30  100  12  0.90 |   886     -180  0.52     -60.0 |   824   -373.2 |    597   -358.2 |      -86      -94 |     -445 | fail
60  38   2   0.75 |  1125     -269  0.54     -90.0 |   953   -589.0 |    631   -567.9 |     -110     -159 |     -593 | fail
60  38   2   0.90 |  1125     -266  0.55     -90.0 |  1026   -594.7 |    631   -567.9 |     -110     -156 |     -596 | fail
60  38   4   0.75 |  1312     -394  0.45     -90.0 |  1131   -719.1 |    772   -694.8 |     -175     -219 |     -811 | fail
60  38   4   0.90 |  1312     -399  0.45     -90.0 |  1218   -725.4 |    772   -694.8 |     -174     -224 |     -799 | fail
60  38   8   0.75 |  1097     -301  0.48     -90.0 |   945   -584.3 |    625   -562.5 |     -153     -148 |     -625 | fail
60  38   8   0.90 |  1097     -305  0.48     -90.0 |  1019   -589.8 |    625   -562.5 |     -159     -146 |     -616 | fail
60  38   12  0.75 |   961     -275  0.47     -90.0 |   818   -515.8 |    554   -498.6 |     -155     -119 |     -561 | fail
60  38   12  0.90 |   961     -277  0.47     -90.0 |   885   -520.5 |    554   -498.6 |     -161     -115 |     -568 | fail
60  60   2   0.75 |  1088     -303  0.47     -90.0 |   932   -572.8 |    613   -551.7 |     -136     -167 |     -616 | fail
60  60   2   0.90 |  1088     -283  0.51     -90.0 |  1001   -578.3 |    613   -551.7 |     -122     -161 |     -610 | fail
60  60   4   0.75 |  1262     -388  0.42     -90.0 |  1078   -670.0 |    718   -646.2 |     -171     -217 |     -769 | fail
60  60   4   0.90 |  1262     -391  0.42     -90.0 |  1172   -676.8 |    718   -646.2 |     -167     -223 |     -766 | fail
60  60   8   0.75 |  1052     -274  0.50     -90.0 |   901   -546.4 |    583   -524.7 |     -149     -125 |     -591 | fail
60  60   8   0.90 |  1052     -279  0.50     -90.0 |   980   -552.3 |    583   -524.7 |     -152     -127 |     -583 | fail
60  60   12  0.75 |   931     -275  0.44     -90.0 |   792   -488.0 |    522   -469.8 |     -148     -128 |     -550 | fail
60  60   12  0.90 |   931     -286  0.42     -90.0 |   863   -493.4 |    522   -469.8 |     -154     -132 |     -552 | fail
60  100  2   0.75 |  1028     -280  0.48     -90.0 |   879   -533.6 |    570   -513.0 |     -100     -180 |     -559 | fail
