INCREMENT-CASCADE CERT — coin=AVAX early=1 bars=48569 thr=0.50% confirm=60bp RT=30/60bp legs=3 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.75 |  9036     -218  0.94     -60.0 |  7622  -3559.3 |   5704  -3422.4 |     +421     -639 |    -2964 | fail
30  38   2   0.90 |  9036     -209  0.94     -60.0 |  8104  -3599.8 |   5704  -3422.4 |     +419     -629 |    -2951 | fail
30  38   4   0.75 |  6641     -204  0.92     -60.0 |  5655  -2672.3 |   4278  -2566.8 |     +264     -468 |    -2184 | fail
30  38   4   0.90 |  6641     -249  0.91     -60.0 |  6035  -2703.5 |   4278  -2566.8 |     +238     -487 |    -2192 | fail
30  38   8   0.75 |  4879     -308  0.84     -60.0 |  4189  -1948.6 |   3111  -1866.6 |      +79     -387 |    -1744 | fail
30  38   8   0.90 |  4879     -265  0.87     -60.0 |  4452  -1970.1 |   3111  -1866.6 |     +109     -374 |    -1727 | fail
30  38   12  0.75 |  3843     -177  0.88     -60.0 |  3232  -1532.7 |   2452  -1471.2 |      +52     -229 |    -1351 | fail
30  38   12  0.90 |  3843     -167  0.89     -60.0 |  3470  -1551.7 |   2452  -1471.2 |      +52     -219 |    -1402 | fail
30  60   2   0.75 |  8303     -227  0.93     -60.0 |  6990  -3257.6 |   5220  -3132.0 |     +352     -579 |    -2635 | fail
30  60   2   0.90 |  8303     -213  0.94     -60.0 |  7435  -3294.6 |   5220  -3132.0 |     +351     -564 |    -2599 | fail
30  60   4   0.75 |  6161     -168  0.93     -60.0 |  5242  -2479.1 |   3971  -2382.6 |     +259     -427 |    -1956 | fail
30  60   4   0.90 |  6161     -186  0.93     -60.0 |  5584  -2506.8 |   3971  -2382.6 |     +250     -436 |    -1969 | fail
30  60   8   0.75 |  4555     -127  0.93     -60.0 |  3872  -1807.6 |   2883  -1729.8 |     +125     -253 |    -1498 | fail
