INCREMENT-CASCADE CERT — coin=BCH early=1 bars=48569 thr=1.50% confirm=60bp RT=30/60bp legs=2 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.75 |  2082     -134  0.84     -60.0 |  1755   -843.2 |   1357   -814.2 |      -50      -84 |     -768 | fail
30  38   2   0.90 |  2082     -124  0.85     -60.0 |  1901   -853.8 |   1357   -814.2 |      -36      -88 |     -777 | fail
30  38   4   0.75 |  2151      +17  1.02     -60.0 |  1838   -852.0 |   1365   -819.0 |      -13      +31 |     -605 | fail
30  38   4   0.90 |  2151      +58  1.07     -60.0 |  1965   -861.5 |   1365   -819.0 |      +26      +32 |     -603 | fail
30  38   8   0.75 |  1833     -196  0.75     -60.0 |  1600   -769.3 |   1240   -744.0 |     -120      -76 |     -829 | fail
30  38   8   0.90 |  1833     -196  0.75     -60.0 |  1703   -776.5 |   1240   -744.0 |     -123      -73 |     -824 | fail
30  38   12  0.75 |  1602     -145  0.78     -60.0 |  1398   -668.4 |   1078   -646.8 |     -106      -39 |     -574 | fail
30  38   12  0.90 |  1602     -178  0.74     -60.0 |  1487   -674.8 |   1078   -646.8 |     -126      -52 |     -597 | fail
30  60   2   0.75 |  2027     -170  0.79     -60.0 |  1726   -822.2 |   1321   -792.6 |      -33     -137 |     -751 | fail
30  60   2   0.90 |  2027     -173  0.79     -60.0 |  1866   -832.4 |   1321   -792.6 |      -31     -143 |     -766 | fail
30  60   4   0.75 |  2085      +35  1.04     -60.0 |  1781   -824.6 |   1321   -792.6 |      -16      +50 |     -581 | fail
30  60   4   0.90 |  2085      +85  1.10     -60.0 |  1905   -833.7 |   1321   -792.6 |      +33      +52 |     -581 | fail
30  60   8   0.75 |  1790     -251  0.67     -60.0 |  1572   -755.1 |   1219   -731.4 |     -147     -103 |     -770 | fail
30  60   8   0.90 |  1790     -243  0.68     -60.0 |  1667   -761.5 |   1219   -731.4 |     -149      -94 |     -765 | fail
30  60   12  0.75 |  1553     -130  0.80     -60.0 |  1359   -645.9 |   1040   -624.0 |     -103      -27 |     -507 | fail
30  60   12  0.90 |  1553     -158  0.76     -60.0 |  1441   -651.8 |   1040   -624.0 |     -120      -38 |     -525 | fail
30  100  2   0.75 |  1928     -119  0.85     -60.0 |  1634   -787.7 |   1268   -760.8 |      -20      -99 |     -698 | fail
30  100  2   0.90 |  1928     -102  0.87     -60.0 |  1759   -796.7 |   1268   -760.8 |       -8      -94 |     -699 | fail
30  100  4   0.75 |  1999      +29  1.04     -60.0 |  1710   -805.0 |   1292   -775.2 |      -40      +69 |     -542 | fail
30  100  4   0.90 |  1999      +55  1.07     -60.0 |  1830   -814.2 |   1292   -775.2 |      -12      +68 |     -539 | fail
30  100  8   0.75 |  1703     -156  0.78     -60.0 |  1477   -712.0 |   1150   -690.0 |     -106      -50 |     -701 | fail
30  100  8   0.90 |  1703     -154  0.79     -60.0 |  1578   -719.6 |   1150   -690.0 |     -106      -48 |     -695 | fail
30  100  12  0.75 |  1479      -87  0.86     -60.0 |  1275   -614.5 |    990   -594.0 |      -37      -49 |     -504 | fail
30  100  12  0.90 |  1479     -105  0.83     -60.0 |  1367   -621.1 |    990   -594.0 |      -55      -50 |     -522 | fail
60  38   2   0.75 |  2082     -390  0.66     -90.0 |  1722  -1160.3 |   1252  -1126.8 |     -189     -201 |    -1017 | fail
60  38   2   0.90 |  2082     -377  0.68     -90.0 |  1882  -1171.4 |   1252  -1126.8 |     -171     -206 |    -1030 | fail
60  38   4   0.75 |  2151     -120  0.89     -90.0 |  1788  -1137.4 |   1218  -1096.2 |      -90      -30 |     -769 | fail
60  38   4   0.90 |  2151      -58  0.95     -90.0 |  1936  -1148.3 |   1218  -1096.2 |      -55       -3 |     -760 | fail
60  38   8   0.75 |  1833     -385  0.63     -90.0 |  1562  -1027.8 |   1107   -996.3 |     -218     -167 |    -1007 | fail
