INCREMENT-CASCADE CERT — coin=BNB early=1 bars=48569 thr=1.50% confirm=60bp RT=30/60bp legs=3 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.75 |  2051      -77  0.90     -60.0 |  1752   -807.2 |   1291   -774.6 |     +125     -202 |     -707 | fail
30  38   2   0.90 |  2051      -61  0.93     -60.0 |  1893   -817.2 |   1291   -774.6 |     +128     -189 |     -720 | fail
30  38   4   0.75 |  2145      -41  0.95     -60.0 |  1829   -833.5 |   1328   -796.8 |     +173     -214 |     -732 | fail
30  38   4   0.90 |  2145      -12  0.99     -60.0 |  1990   -845.8 |   1328   -796.8 |     +214     -226 |     -713 | fail
30  38   8   0.75 |  1999      +82  1.10     -60.0 |  1753   -790.6 |   1258   -754.8 |     +238     -156 |     -546 | fail
30  38   8   0.90 |  1999     +139  1.17     -60.0 |  1866   -799.8 |   1258   -754.8 |     +295     -156 |     -497 | fail
30  38   12  0.75 |  1783     +113  1.16     -60.0 |  1572   -707.7 |   1128   -676.8 |     +314     -201 |     -398 | fail
30  38   12  0.90 |  1783     +259  1.36     -60.0 |  1649   -713.6 |   1128   -676.8 |     +463     -203 |     -240 | fail
30  60   2   0.75 |  1943       +5  1.01     -60.0 |  1653   -757.8 |   1211   -726.6 |     +170     -166 |     -675 | fail
30  60   2   0.90 |  1943       +6  1.01     -60.0 |  1784   -766.8 |   1211   -726.6 |     +152     -146 |     -686 | fail
30  60   4   0.75 |  2046      -65  0.92     -60.0 |  1748   -808.2 |   1295   -777.0 |      +93     -158 |     -717 | fail
30  60   4   0.90 |  2046      -49  0.94     -60.0 |  1897   -819.5 |   1295   -777.0 |     +108     -157 |     -690 | fail
30  60   8   0.75 |  1897      -35  0.95     -60.0 |  1659   -769.4 |   1230   -738.0 |     +136     -171 |     -603 | fail
30  60   8   0.90 |  1897      +92  1.12     -60.0 |  1766   -777.1 |   1230   -738.0 |     +264     -172 |     -541 | fail
30  60   12  0.75 |  1695      +18  1.03     -60.0 |  1474   -684.1 |   1096   -657.6 |     +238     -220 |     -361 | fail
30  60   12  0.90 |  1695     +180  1.26     -60.0 |  1563   -690.5 |   1096   -657.6 |     +388     -208 |     -283 | fail
30  100  2   0.75 |  1776      -38  0.95     -60.0 |  1520   -695.9 |   1112   -667.2 |     +103     -141 |     -569 | fail
30  100  2   0.90 |  1776      -20  0.97     -60.0 |  1638   -704.1 |   1112   -667.2 |     +103     -123 |     -571 | fail
30  100  4   0.75 |  1865     -137  0.81     -60.0 |  1604   -733.2 |   1170   -702.0 |      +22     -159 |     -659 | fail
30  100  4   0.90 |  1865     -125  0.83     -60.0 |  1740   -743.0 |   1170   -702.0 |      +39     -163 |     -641 | fail
30  100  8   0.75 |  1721      -32  0.95     -60.0 |  1492   -691.2 |   1105   -663.0 |      +92     -124 |     -531 | fail
