INCREMENT-CASCADE CERT — coin=BTC early=1 bars=48567 thr=0.50% confirm=60bp RT=30/60bp legs=3 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.75 |  4629     -877  0.55     -60.0 |  4086  -1931.7 |   3102  -1861.2 |     -378     -499 |    -2266 | fail
30  38   2   0.90 |  4629     -877  0.55     -60.0 |  4192  -1940.1 |   3102  -1861.2 |     -378     -499 |    -2261 | fail
30  38   4   0.75 |  3893     -634  0.61     -60.0 |  3424  -1635.2 |   2628  -1576.8 |     -316     -318 |    -1855 | fail
30  38   4   0.90 |  3893     -636  0.61     -60.0 |  3527  -1643.8 |   2628  -1576.8 |     -323     -313 |    -1843 | fail
30  38   8   0.75 |  3071     -510  0.60     -60.0 |  2712  -1280.7 |   2055  -1233.0 |     -170     -340 |    -1507 | fail
30  38   8   0.90 |  3071     -509  0.61     -60.0 |  2811  -1288.8 |   2055  -1233.0 |     -180     -329 |    -1498 | fail
30  38   12  0.75 |  2585     -368  0.65     -60.0 |  2269  -1064.2 |   1705  -1023.0 |      -73     -295 |    -1193 | fail
30  38   12  0.90 |  2585     -375  0.65     -60.0 |  2366  -1072.0 |   1705  -1023.0 |      -86     -289 |    -1187 | fail
30  60   2   0.75 |  4151     -791  0.54     -60.0 |  3670  -1723.9 |   2766  -1659.6 |     -305     -485 |    -2016 | fail
30  60   2   0.90 |  4151     -790  0.54     -60.0 |  3759  -1731.3 |   2766  -1659.6 |     -303     -487 |    -2016 | fail
30  60   4   0.75 |  3497     -565  0.61     -60.0 |  3078  -1449.8 |   2326  -1395.6 |     -280     -285 |    -1667 | fail
30  60   4   0.90 |  3497     -555  0.62     -60.0 |  3164  -1456.9 |   2326  -1395.6 |     -286     -269 |    -1662 | fail
30  60   8   0.75 |  2802     -466  0.60     -60.0 |  2472  -1156.4 |   1853  -1111.8 |     -184     -282 |    -1354 | fail
30  60   8   0.90 |  2802     -461  0.60     -60.0 |  2564  -1163.2 |   1853  -1111.8 |     -194     -268 |    -1355 | fail
30  60   12  0.75 |  2384     -367  0.63     -60.0 |  2096   -984.4 |   1578   -946.8 |      -86     -281 |    -1099 | fail
30  60   12  0.90 |  2384     -344  0.65     -60.0 |  2187   -991.6 |   1578   -946.8 |      -94     -250 |    -1089 | fail
30  100  2   0.75 |  3539     -704  0.52     -60.0 |  3132  -1482.8 |   2381  -1428.6 |     -289     -416 |    -1715 | fail
30  100  2   0.90 |  3539     -704  0.53     -60.0 |  3210  -1489.6 |   2381  -1428.6 |     -286     -417 |    -1713 | fail
30  100  4   0.75 |  3002     -485  0.61     -60.0 |  2644  -1250.4 |   2007  -1204.2 |     -215     -270 |    -1411 | fail
30  100  4   0.90 |  3002     -488  0.61     -60.0 |  2727  -1257.4 |   2007  -1204.2 |     -219     -269 |    -1407 | fail
30  100  8   0.75 |  2420     -440  0.56     -60.0 |  2146  -1011.8 |   1626   -975.6 |     -159     -281 |    -1180 | fail
30  100  8   0.90 |  2420     -452  0.56     -60.0 |  2228  -1018.0 |   1626   -975.6 |     -170     -281 |    -1178 | fail
30  100  12  0.75 |  2085     -270  0.68     -60.0 |  1828   -854.9 |   1372   -823.2 |      -48     -222 |     -875 | fail
30  100  12  0.90 |  2085     -280  0.68     -60.0 |  1915   -861.7 |   1372   -823.2 |      -54     -225 |     -871 | fail
60  38   2   0.75 |  4628    -1244  0.50     -90.0 |  3968  -2486.1 |   2635  -2371.5 |     -605     -639 |    -2571 | fail
60  38   2   0.90 |  4628    -1244  0.50     -90.0 |  4093  -2496.1 |   2635  -2371.5 |     -606     -639 |    -2567 | fail
60  38   4   0.75 |  3892     -976  0.54     -90.0 |  3328  -2118.0 |   2253  -2027.7 |     -525     -451 |    -2165 | fail
60  38   4   0.90 |  3892     -977  0.54     -90.0 |  3447  -2128.0 |   2253  -2027.7 |     -530     -447 |    -2152 | fail
60  38   8   0.75 |  3071     -779  0.53     -90.0 |  2641  -1641.6 |   1747  -1572.3 |     -337     -442 |    -1744 | fail
60  38   8   0.90 |  3071     -782  0.53     -90.0 |  2758  -1650.8 |   1747  -1572.3 |     -349     -432 |    -1736 | fail
60  38   12  0.75 |  2585     -556  0.59     -90.0 |  2207  -1356.9 |   1439  -1295.1 |     -189     -366 |    -1351 | fail
60  38   12  0.90 |  2585     -564  0.59     -90.0 |  2326  -1366.3 |   1439  -1295.1 |     -205     -360 |    -1347 | fail
60  60   2   0.75 |  4151    -1128  0.49     -90.0 |  3566  -2229.2 |   2359  -2123.1 |     -546     -582 |    -2308 | fail
60  60   2   0.90 |  4151    -1129  0.50     -90.0 |  3670  -2237.5 |   2359  -2123.1 |     -545     -584 |    -2309 | fail
60  60   4   0.75 |  3497     -837  0.55     -90.0 |  2988  -1856.8 |   1969  -1772.1 |     -453     -384 |    -1910 | fail
60  60   4   0.90 |  3497     -827  0.56     -90.0 |  3089  -1865.1 |   1969  -1772.1 |     -459     -369 |    -1905 | fail
60  60   8   0.75 |  2802     -727  0.51     -90.0 |  2417  -1494.3 |   1587  -1428.3 |     -345     -382 |    -1614 | fail
60  60   8   0.90 |  2802     -722  0.52     -90.0 |  2522  -1501.7 |   1587  -1428.3 |     -353     -369 |    -1614 | fail
60  60   12  0.75 |  2384     -515  0.59     -90.0 |  2036  -1245.8 |   1322  -1189.8 |     -177     -338 |    -1226 | fail
60  60   12  0.90 |  2384     -495  0.61     -90.0 |  2152  -1255.0 |   1322  -1189.8 |     -187     -308 |    -1214 | fail
60  100  2   0.75 |  3539     -969  0.49     -90.0 |  3036  -1914.5 |   2030  -1827.0 |     -455     -514 |    -1966 | fail
60  100  2   0.90 |  3539     -966  0.50     -90.0 |  3128  -1922.3 |   2030  -1827.0 |     -454     -512 |    -1964 | fail
60  100  4   0.75 |  3002     -736  0.54     -90.0 |  2566  -1607.8 |   1705  -1534.5 |     -385     -351 |    -1637 | fail
60  100  4   0.90 |  3002     -736  0.54     -90.0 |  2663  -1616.0 |   1705  -1534.5 |     -386     -350 |    -1632 | fail
60  100  8   0.75 |  2419     -648  0.50     -90.0 |  2085  -1286.6 |   1366  -1229.4 |     -294     -354 |    -1350 | fail
60  100  8   0.90 |  2419     -662  0.49     -90.0 |  2188  -1293.8 |   1366  -1229.4 |     -306     -355 |    -1343 | fail
60  100  12  0.75 |  2085     -437  0.60     -90.0 |  1775  -1084.9 |   1153  -1037.7 |     -154     -283 |    -1026 | fail
60  100  12  0.90 |  2085     -449  0.59     -90.0 |  1886  -1093.3 |   1153  -1037.7 |     -162     -287 |    -1016 | fail
