INCREMENT-CASCADE CERT — coin=COMP early=1 bars=31062 thr=1.50% confirm=60bp RT=30/60bp legs=2 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.75 |  1552     -145  0.77     -60.0 |  1355   -624.2 |    997   -598.2 |     -118      -26 |     -611 | fail
30  38   2   0.90 |  1552     -164  0.74     -60.0 |  1445   -630.2 |    997   -598.2 |     -127      -38 |     -623 | fail
30  38   4   0.75 |  1549      -65  0.90     -60.0 |  1339   -628.4 |   1011   -606.6 |      -58       -8 |     -569 | fail
30  38   4   0.90 |  1549       -5  0.99     -60.0 |  1425   -633.9 |   1011   -606.6 |      -46      +41 |     -531 | fail
30  38   8   0.75 |  1339      -57  0.89     -60.0 |  1144   -536.9 |    864   -518.4 |      -37      -19 |     -460 | fail
30  38   8   0.90 |  1339      -48  0.91     -60.0 |  1238   -543.8 |    864   -518.4 |      -51       +4 |     -435 | fail
30  38   12  0.75 |  1165      -67  0.85     -60.0 |  1003   -456.4 |    730   -438.0 |      -17      -50 |     -416 | fail
30  38   12  0.90 |  1165      -91  0.80     -60.0 |  1083   -461.9 |    730   -438.0 |      -31      -60 |     -421 | fail
30  60   2   0.75 |  1497     -144  0.76     -60.0 |  1312   -610.1 |    976   -585.6 |     -127      -16 |     -620 | fail
30  60   2   0.90 |  1497     -165  0.73     -60.0 |  1393   -615.5 |    976   -585.6 |     -136      -28 |     -632 | fail
30  60   4   0.75 |  1511      -85  0.86     -60.0 |  1312   -616.3 |    990   -594.0 |      -60      -24 |     -552 | fail
30  60   4   0.90 |  1511      -57  0.91     -60.0 |  1398   -622.2 |    990   -594.0 |      -50       -7 |     -523 | fail
30  60   8   0.75 |  1301      -42  0.92     -60.0 |  1105   -524.8 |    845   -507.0 |      -23      -19 |     -455 | fail
30  60   8   0.90 |  1301      -36  0.93     -60.0 |  1199   -532.4 |    845   -507.0 |      -38       +1 |     -425 | fail
30  60   12  0.75 |  1135      -41  0.91     -60.0 |   968   -451.3 |    725   -435.0 |      -14      -27 |     -425 | fail
30  60   12  0.90 |  1135      -65  0.86     -60.0 |  1048   -457.3 |    725   -435.0 |      -26      -39 |     -430 | fail
30  100  2   0.75 |  1429     -163  0.72     -60.0 |  1249   -583.2 |    934   -560.4 |     -100      -64 |     -578 | fail
30  100  2   0.90 |  1429     -194  0.67     -60.0 |  1333   -589.2 |    934   -560.4 |     -115      -79 |     -590 | fail
30  100  4   0.75 |  1444     -101  0.83     -60.0 |  1257   -593.6 |    954   -572.4 |      -63      -38 |     -572 | fail
30  100  4   0.90 |  1444      -95  0.84     -60.0 |  1338   -599.3 |    954   -572.4 |      -72      -24 |     -549 | fail
30  100  8   0.75 |  1245      -79  0.84     -60.0 |  1056   -497.1 |    800   -480.0 |      -43      -37 |     -459 | fail
30  100  8   0.90 |  1245      -68  0.86     -60.0 |  1145   -503.9 |    800   -480.0 |      -49      -19 |     -445 | fail
30  100  12  0.75 |  1078      -68  0.84     -60.0 |   923   -434.7 |    698   -418.8 |      -24      -44 |     -403 | fail
30  100  12  0.90 |  1078      -80  0.82     -60.0 |   998   -440.5 |    698   -418.8 |      -36      -44 |     -412 | fail
60  38   2   0.75 |  1552     -276  0.67     -90.0 |  1321   -831.0 |    888   -799.2 |     -187      -88 |     -753 | fail
60  38   2   0.90 |  1552     -300  0.64     -90.0 |  1425   -838.0 |    888   -799.2 |     -199     -101 |     -771 | fail
60  38   4   0.75 |  1549     -231  0.73     -90.0 |  1313   -845.8 |    910   -819.0 |     -139      -92 |     -743 | fail
60  38   4   0.90 |  1549     -171  0.80     -90.0 |  1410   -851.7 |    910   -819.0 |     -131      -39 |     -710 | fail
60  38   8   0.75 |  1339     -178  0.75     -90.0 |  1110   -713.5 |    767   -690.3 |     -106      -72 |     -606 | fail
60  38   8   0.90 |  1339     -172  0.76     -90.0 |  1220   -721.6 |    767   -690.3 |     -124      -48 |     -588 | fail
60  38   12  0.75 |  1165     -144  0.76     -90.0 |   970   -597.8 |    638   -574.2 |      -64      -79 |     -489 | fail
60  38   12  0.90 |  1165     -166  0.73     -90.0 |  1067   -604.2 |    638   -574.2 |      -79      -87 |     -497 | fail
60  60   2   0.75 |  1497     -302  0.63     -90.0 |  1287   -828.1 |    887   -798.3 |     -214      -89 |     -795 | fail
60  60   2   0.90 |  1497     -326  0.61     -90.0 |  1380   -834.3 |    887   -798.3 |     -225     -101 |     -810 | fail
60  60   4   0.75 |  1511     -253  0.69     -90.0 |  1279   -829.6 |    892   -802.8 |     -152     -102 |     -724 | fail
60  60   4   0.90 |  1511     -226  0.73     -90.0 |  1378   -836.4 |    892   -802.8 |     -144      -82 |     -701 | fail
60  60   8   0.75 |  1301     -180  0.74     -90.0 |  1074   -698.8 |    752   -676.8 |      -95      -85 |     -597 | fail
60  60   8   0.90 |  1301     -178  0.75     -90.0 |  1187   -707.8 |    752   -676.8 |     -115      -63 |     -573 | fail
60  60   12  0.75 |  1135     -158  0.73     -90.0 |   943   -595.6 |    637   -573.3 |      -62      -96 |     -530 | fail
60  60   12  0.90 |  1135     -181  0.70     -90.0 |  1037   -602.4 |    637   -573.3 |      -76     -105 |     -538 | fail
60  100  2   0.75 |  1429     -330  0.58     -90.0 |  1224   -788.2 |    845   -760.5 |     -181     -148 |     -754 | fail
60  100  2   0.90 |  1429     -354  0.55     -90.0 |  1322   -795.1 |    845   -760.5 |     -200     -155 |     -768 | fail
60  100  4   0.75 |  1444     -253  0.68     -90.0 |  1228   -801.4 |    862   -775.8 |     -145     -108 |     -732 | fail
60  100  4   0.90 |  1444     -246  0.70     -90.0 |  1321   -807.7 |    862   -775.8 |     -156      -89 |     -714 | fail
60  100  8   0.75 |  1245     -173  0.73     -90.0 |  1018   -651.4 |    700   -630.0 |     -112      -61 |     -554 | fail
60  100  8   0.90 |  1245     -165  0.75     -90.0 |  1131   -659.9 |    700   -630.0 |     -123      -42 |     -545 | fail
60  100  12  0.75 |  1078     -179  0.69     -90.0 |   898   -569.9 |    610   -549.0 |      -69     -110 |     -505 | fail
60  100  12  0.90 |  1078     -190  0.67     -90.0 |   988   -576.5 |    610   -549.0 |      -83     -107 |     -520 | fail
