INCREMENT-CASCADE CERT — coin=CRV early=1 bars=31062 thr=1.00% confirm=60bp RT=30/60bp legs=3 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.75 |  3978     -215  0.87     -60.0 |  3401  -1598.3 |   2568  -1540.8 |      +99     -315 |    -1440 | fail
30  38   2   0.90 |  3978     -217  0.87     -60.0 |  3629  -1615.9 |   2568  -1540.8 |     +106     -323 |    -1452 | fail
30  38   4   0.75 |  3406     -132  0.90     -60.0 |  2927  -1381.4 |   2223  -1333.8 |      -22     -109 |    -1127 | fail
30  38   4   0.90 |  3406     -136  0.90     -60.0 |  3116  -1397.0 |   2223  -1333.8 |      -14     -122 |    -1146 | fail
30  38   8   0.75 |  2562     -207  0.80     -60.0 |  2181  -1027.8 |   1655   -993.0 |     -104     -104 |     -972 | fail
30  38   8   0.90 |  2562     -216  0.79     -60.0 |  2362  -1041.9 |   1655   -993.0 |     -118      -99 |     -974 | fail
30  38   12  0.75 |  2080     -234  0.72     -60.0 |  1794   -842.1 |   1354   -812.4 |      -76     -158 |     -880 | fail
30  38   12  0.90 |  2080     -223  0.74     -60.0 |  1921   -852.1 |   1354   -812.4 |      -94     -129 |     -876 | fail
30  60   2   0.75 |  3693     -177  0.88     -60.0 |  3157  -1486.9 |   2391  -1434.6 |     +100     -277 |    -1296 | fail
30  60   2   0.90 |  3693     -178  0.88     -60.0 |  3363  -1503.3 |   2391  -1434.6 |     +121     -299 |    -1300 | fail
30  60   4   0.75 |  3158     -114  0.91     -60.0 |  2700  -1272.3 |   2046  -1227.6 |       +2     -116 |    -1036 | fail
30  60   4   0.90 |  3158     -124  0.90     -60.0 |  2884  -1287.0 |   2046  -1227.6 |      -15     -109 |    -1047 | fail
30  60   8   0.75 |  2408     -170  0.82     -60.0 |  2053   -968.9 |   1558   -934.8 |      -91      -79 |     -926 | fail
30  60   8   0.90 |  2408     -182  0.82     -60.0 |  2217   -981.9 |   1558   -934.8 |     -111      -70 |     -934 | fail
30  60   12  0.75 |  1962     -200  0.75     -60.0 |  1684   -802.3 |   1292   -775.2 |      -62     -139 |     -826 | fail
30  60   12  0.90 |  1962     -217  0.73     -60.0 |  1809   -812.2 |   1292   -775.2 |      -81     -136 |     -831 | fail
30  100  2   0.75 |  3306     -139  0.90     -60.0 |  2825  -1329.9 |   2138  -1282.8 |      +55     -194 |    -1134 | fail
30  100  2   0.90 |  3306     -133  0.90     -60.0 |  3006  -1344.3 |   2138  -1282.8 |      +71     -204 |    -1137 | fail
30  100  4   0.75 |  2841      -86  0.93     -60.0 |  2440  -1148.1 |   1844  -1106.4 |      +21     -106 |     -987 | fail
