INCREMENT-CASCADE CERT — coin=DOGE early=1 bars=48569 thr=2.00% confirm=60bp RT=30/60bp legs=3 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.75 |  2564     -136  0.87     -60.0 |  2161  -1072.2 |   1737  -1042.2 |      +65     -201 |     -908 | fail
30  38   2   0.90 |  2564     -118  0.89     -60.0 |  2344  -1086.3 |   1737  -1042.2 |     +104     -221 |     -921 | fail
30  38   4   0.75 |  2701     -106  0.91     -60.0 |  2324  -1149.7 |   1859  -1115.4 |     +105     -211 |    -1007 | fail
30  38   4   0.90 |  2701       +3  1.00     -60.0 |  2504  -1163.5 |   1859  -1115.4 |     +221     -218 |     -979 | fail
30  38   8   0.75 |  2380     +730  1.73     -60.0 |  2043   -995.7 |   1609   -965.4 |     +820      -90 |     +156 | fail
30  38   8   0.90 |  2380     +764  1.76     -60.0 |  2205  -1007.7 |   1609   -965.4 |     +867     -103 |     +218 | fail
30  38   12  0.75 |  2128    +1489  2.60     -60.0 |  1855   -931.0 |   1510   -906.0 |    +1775     -285 |     +831 | fail
30  38   12  0.90 |  2128    +1465  2.56     -60.0 |  1969   -939.1 |   1510   -906.0 |    +1780     -316 |     +832 | fail
30  60   2   0.75 |  2465      -46  0.95     -60.0 |  2072  -1020.8 |   1653   -991.8 |     +110     -157 |     -754 | fail
30  60   2   0.90 |  2465      -58  0.94     -60.0 |  2251  -1034.6 |   1653   -991.8 |     +132     -189 |     -776 | fail
30  60   4   0.75 |  2591     -101  0.91     -60.0 |  2231  -1103.7 |   1784  -1070.4 |     +109     -209 |     -841 | fail
30  60   4   0.90 |  2591       +0  1.00     -60.0 |  2399  -1116.7 |   1784  -1070.4 |     +215     -215 |     -828 | fail
30  60   8   0.75 |  2286     +754  1.79     -60.0 |  1955   -953.2 |   1541   -924.6 |     +839      -86 |     +212 | fail
30  60   8   0.90 |  2286     +780  1.81     -60.0 |  2110   -964.5 |   1541   -924.6 |     +887     -108 |     +242 | fail
30  60   12  0.75 |  2029    +1500  2.70     -60.0 |  1751   -884.1 |   1435   -861.0 |    +1761     -261 |     +913 | fail
30  60   12  0.90 |  2029    +1453  2.63     -60.0 |  1871   -892.7 |   1435   -861.0 |    +1742     -289 |     +898 | fail
30  100  2   0.75 |  2279       +9  1.01     -60.0 |  1887   -930.6 |   1506   -903.6 |     +162     -153 |     -700 | fail
30  100  2   0.90 |  2279       -1  1.00     -60.0 |  2069   -944.3 |   1506   -903.6 |     +178     -179 |     -757 | fail
30  100  4   0.75 |  2407      +77  1.08     -60.0 |  2052  -1013.0 |   1637   -982.2 |     +265     -188 |     -649 | fail
30  100  4   0.90 |  2407     +139  1.14     -60.0 |  2225  -1025.4 |   1637   -982.2 |     +339     -200 |     -655 | fail
30  100  8   0.75 |  2098     +812  1.94     -60.0 |  1779   -867.9 |   1401   -840.6 |     +893      -82 |     +372 | fail
30  100  8   0.90 |  2098     +827  1.94     -60.0 |  1930   -878.8 |   1401   -840.6 |     +940     -112 |     +415 | fail
30  100  12  0.75 |  1861    +1554  2.94     -60.0 |  1593   -801.3 |   1299   -779.4 |    +1778     -224 |     +997 | fail
