INCREMENT-CASCADE CERT — coin=DOT early=1 bars=31062 thr=1.50% confirm=60bp RT=30/60bp legs=3 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.75 |  1632     -173  0.74     -60.0 |  1405   -652.9 |   1046   -627.6 |      -79      -94 |     -618 | fail
30  38   2   0.90 |  1632     -175  0.73     -60.0 |  1521   -660.2 |   1046   -627.6 |      -80      -96 |     -617 | fail
30  38   4   0.75 |  1794     -159  0.78     -60.0 |  1559   -706.0 |   1123   -673.8 |     -108      -50 |     -640 | fail
30  38   4   0.90 |  1794      -37  0.95     -60.0 |  1668   -713.7 |   1123   -673.8 |       -2      -36 |     -560 | fail
30  38   8   0.75 |  1619     -130  0.80     -60.0 |  1403   -649.3 |   1038   -622.8 |     -114      -16 |     -598 | fail
30  38   8   0.90 |  1619     -133  0.80     -60.0 |  1491   -655.6 |   1038   -622.8 |     -107      -26 |     -585 | fail
30  38   12  0.75 |  1400     -156  0.74     -60.0 |  1235   -589.1 |    948   -568.8 |     -138      -18 |     -533 | fail
30  38   12  0.90 |  1400     -182  0.69     -60.0 |  1305   -593.7 |    948   -568.8 |     -145      -38 |     -545 | fail
30  60   2   0.75 |  1544     -196  0.68     -60.0 |  1334   -616.8 |    988   -592.8 |     -115      -81 |     -654 | fail
30  60   2   0.90 |  1544     -185  0.70     -60.0 |  1442   -623.8 |    988   -592.8 |     -107      -78 |     -647 | fail
30  60   4   0.75 |  1697     -164  0.76     -60.0 |  1471   -680.0 |   1087   -652.2 |     -121      -42 |     -606 | fail
30  60   4   0.90 |  1697      -63  0.91     -60.0 |  1583   -687.9 |   1087   -652.2 |      -40      -22 |     -546 | fail
30  60   8   0.75 |  1520     -161  0.74     -60.0 |  1311   -616.7 |    988   -592.8 |     -123      -38 |     -597 | fail
30  60   8   0.90 |  1520     -174  0.72     -60.0 |  1398   -623.1 |    988   -592.8 |     -123      -51 |     -587 | fail
30  60   12  0.75 |  1309      -84  0.85     -60.0 |  1135   -546.5 |    881   -528.6 |     -121      +37 |     -486 | fail
30  60   12  0.90 |  1309     -110  0.80     -60.0 |  1211   -551.8 |    881   -528.6 |     -127      +17 |     -493 | fail
30  100  2   0.75 |  1406     -159  0.72     -60.0 |  1224   -569.1 |    912   -547.2 |      -90      -69 |     -525 | fail
30  100  2   0.90 |  1406     -127  0.78     -60.0 |  1306   -574.8 |    912   -547.2 |      -78      -49 |     -522 | fail
30  100  4   0.75 |  1530     -124  0.80     -60.0 |  1328   -612.0 |    977   -586.2 |     -110      -14 |     -531 | fail
30  100  4   0.90 |  1530      -97  0.84     -60.0 |  1425   -619.2 |    977   -586.2 |      -97       -0 |     -504 | fail
30  100  8   0.75 |  1384      -68  0.88     -60.0 |  1197   -563.1 |    903   -541.8 |      -68       -0 |     -471 | fail
30  100  8   0.90 |  1384      -76  0.87     -60.0 |  1276   -569.0 |    903   -541.8 |      -61      -14 |     -461 | fail
30  100  12  0.75 |  1189      +29  1.06     -60.0 |  1026   -476.2 |    763   -457.8 |      -27      +56 |     -324 | fail
30  100  12  0.90 |  1189       +3  1.01     -60.0 |  1087   -480.6 |    763   -457.8 |      -37      +40 |     -330 | fail
60  38   2   0.75 |  1632     -310  0.64     -90.0 |  1366   -863.5 |    925   -832.5 |     -147     -163 |     -753 | fail
60  38   2   0.90 |  1632     -317  0.64     -90.0 |  1503   -872.3 |    925   -832.5 |     -149     -168 |     -747 | fail
60  38   4   0.75 |  1794     -218  0.76     -90.0 |  1510   -904.2 |    960   -864.0 |     -157      -60 |     -724 | fail
60  38   4   0.90 |  1794      -99  0.89     -90.0 |  1637   -912.8 |    960   -864.0 |      -52      -47 |     -644 | fail
60  38   8   0.75 |  1619     -239  0.72     -90.0 |  1368   -843.8 |    900   -810.0 |     -149      -90 |     -731 | fail
60  38   8   0.90 |  1619     -242  0.72     -90.0 |  1470   -851.4 |    900   -810.0 |     -145      -96 |     -717 | fail
60  38   12  0.75 |  1400     -282  0.63     -90.0 |  1204   -767.1 |    821   -738.9 |     -204      -77 |     -660 | fail
60  38   12  0.90 |  1400     -306  0.60     -90.0 |  1289   -772.8 |    821   -738.9 |     -213      -94 |     -670 | fail
60  60   2   0.75 |  1544     -305  0.63     -90.0 |  1304   -832.6 |    893   -803.7 |     -148     -157 |     -746 | fail
60  60   2   0.90 |  1544     -297  0.65     -90.0 |  1424   -840.5 |    893   -803.7 |     -142     -155 |     -740 | fail
