INCREMENT-CASCADE CERT — coin=ETC early=1 bars=31062 thr=0.50% confirm=60bp RT=30/60bp legs=2 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.75 |  2862     -505  0.57     -60.0 |  2491  -1178.0 |   1892  -1135.2 |     -286     -219 |    -1379 | fail
30  38   2   0.90 |  2862     -481  0.59     -60.0 |  2592  -1185.2 |   1892  -1135.2 |     -285     -196 |    -1379 | fail
30  38   4   0.75 |  2382     -426  0.57     -60.0 |  2110   -987.6 |   1582   -949.2 |     -249     -176 |    -1196 | fail
30  38   4   0.90 |  2382     -433  0.56     -60.0 |  2201   -995.0 |   1582   -949.2 |     -258     -175 |    -1212 | fail
30  38   8   0.75 |  1704     -256  0.63     -60.0 |  1499   -700.7 |   1121   -672.6 |     -128     -128 |     -783 | fail
30  38   8   0.90 |  1704     -256  0.64     -60.0 |  1578   -706.3 |   1121   -672.6 |     -130     -127 |     -782 | fail
30  38   12  0.75 |  1414     -273  0.54     -60.0 |  1257   -593.2 |    951   -570.6 |     -153     -120 |     -681 | fail
30  38   12  0.90 |  1414     -268  0.55     -60.0 |  1323   -598.4 |    951   -570.6 |     -154     -114 |     -678 | fail
30  60   2   0.75 |  2710     -495  0.55     -60.0 |  2371  -1107.5 |   1775  -1065.0 |     -270     -225 |    -1279 | fail
30  60   2   0.90 |  2710     -481  0.57     -60.0 |  2461  -1114.1 |   1775  -1065.0 |     -271     -209 |    -1278 | fail
30  60   4   0.75 |  2259     -420  0.55     -60.0 |  2008   -932.3 |   1491   -894.6 |     -253     -167 |    -1142 | fail
30  60   4   0.90 |  2259     -439  0.53     -60.0 |  2090   -938.9 |   1491   -894.6 |     -261     -177 |    -1156 | fail
30  60   8   0.75 |  1630     -246  0.63     -60.0 |  1427   -665.5 |   1066   -639.6 |     -116     -130 |     -745 | fail
30  60   8   0.90 |  1630     -244  0.64     -60.0 |  1503   -670.8 |   1066   -639.6 |     -118     -126 |     -745 | fail
30  60   12  0.75 |  1354     -278  0.51     -60.0 |  1200   -566.0 |    907   -544.2 |     -154     -124 |     -685 | fail
30  60   12  0.90 |  1354     -248  0.57     -60.0 |  1265   -571.1 |    907   -544.2 |     -136     -112 |     -671 | fail
30  100  2   0.75 |  2483     -450  0.56     -60.0 |  2173  -1018.4 |   1634   -980.4 |     -245     -205 |    -1165 | fail
30  100  2   0.90 |  2483     -454  0.56     -60.0 |  2253  -1024.1 |   1634   -980.4 |     -246     -208 |    -1169 | fail
30  100  4   0.75 |  2068     -373  0.56     -60.0 |  1831   -851.7 |   1364   -818.4 |     -200     -172 |    -1006 | fail
30  100  4   0.90 |  2068     -388  0.55     -60.0 |  1906   -857.5 |   1364   -818.4 |     -211     -177 |    -1023 | fail
30  100  8   0.75 |  1520     -216  0.65     -60.0 |  1328   -620.0 |    993   -595.8 |     -111     -105 |     -676 | fail
30  100  8   0.90 |  1520     -216  0.65     -60.0 |  1401   -624.9 |    993   -595.8 |     -107     -109 |     -679 | fail
30  100  12  0.75 |  1256     -267  0.49     -60.0 |  1113   -528.2 |    848   -508.8 |     -161     -106 |     -605 | fail
30  100  12  0.90 |  1256     -248  0.53     -60.0 |  1173   -532.5 |    848   -508.8 |     -142     -107 |     -612 | fail
60  38   2   0.75 |  2862     -724  0.52     -90.0 |  2422  -1519.4 |   1610  -1449.0 |     -398     -326 |    -1564 | fail
60  38   2   0.90 |  2862     -701  0.54     -90.0 |  2537  -1528.0 |   1610  -1449.0 |     -397     -305 |    -1564 | fail
60  38   4   0.75 |  2382     -656  0.49     -90.0 |  2058  -1282.8 |   1361  -1224.9 |     -378     -278 |    -1396 | fail
60  38   4   0.90 |  2382     -665  0.48     -90.0 |  2165  -1291.6 |   1361  -1224.9 |     -388     -277 |    -1414 | fail
