INCREMENT-CASCADE CERT — coin=ETH early=1 bars=48568 thr=2.00% confirm=60bp RT=30/60bp legs=2 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.75 |  1026     -202  0.51     -60.0 |   882   -414.9 |    664   -398.4 |      -69     -133 |     -502 | fail
30  38   2   0.90 |  1026     -218  0.48     -60.0 |   946   -419.6 |    664   -398.4 |      -74     -144 |     -504 | fail
30  38   4   0.75 |  1202      -92  0.81     -60.0 |  1044   -480.4 |    768   -460.8 |       +7      -99 |     -432 | fail
30  38   4   0.90 |  1202      -90  0.82     -60.0 |  1119   -486.6 |    768   -460.8 |       +8      -98 |     -423 | fail
30  38   8   0.75 |  1196     -131  0.72     -80.7 |  1038   -473.3 |    756   -453.6 |      +19     -150 |     -491 | fail
30  38   8   0.90 |  1196     -134  0.72     -80.7 |  1117   -478.9 |    756   -453.6 |      +13     -147 |     -489 | fail
30  38   12  0.75 |  1104     -229  0.50     -96.5 |   974   -458.8 |    737   -442.2 |      -91     -138 |     -589 | fail
30  38   12  0.90 |  1104     -229  0.51     -96.5 |  1048   -464.1 |    737   -442.2 |      -80     -148 |     -569 | fail
30  60   2   0.75 |   998     -151  0.62     -60.0 |   844   -400.8 |    643   -385.8 |      -70      -81 |     -452 | fail
30  60   2   0.90 |   998     -165  0.60     -60.0 |   915   -406.4 |    643   -385.8 |      -71      -93 |     -441 | fail
30  60   4   0.75 |  1180      -37  0.92     -60.0 |  1012   -467.6 |    748   -448.8 |      +25      -61 |     -414 | fail
30  60   4   0.90 |  1180      -46  0.90     -60.0 |  1092   -473.8 |    748   -448.8 |      +24      -70 |     -406 | fail
30  60   8   0.75 |  1163     -118  0.74     -80.7 |  1008   -458.7 |    731   -438.6 |      +25     -143 |     -445 | fail
30  60   8   0.90 |  1163     -118  0.75     -80.7 |  1079   -463.5 |    731   -438.6 |      +23     -140 |     -439 | fail
30  60   12  0.75 |  1082     -243  0.46     -60.0 |   955   -449.3 |    723   -433.8 |     -110     -133 |     -564 | fail
30  60   12  0.90 |  1082     -242  0.47     -60.0 |  1022   -453.9 |    723   -433.8 |      -99     -143 |     -549 | fail
30  100  2   0.75 |   964      -87  0.78     -60.0 |   814   -386.9 |    620   -372.0 |      -11      -76 |     -388 | fail
30  100  2   0.90 |   964      -97  0.75     -60.0 |   888   -392.6 |    620   -372.0 |      -11      -86 |     -381 | fail
30  100  4   0.75 |  1135      -62  0.86     -60.0 |   982   -459.0 |    736   -441.6 |      +11      -74 |     -398 | fail
30  100  4   0.90 |  1135      -48  0.90     -60.0 |  1055   -465.0 |    736   -441.6 |      +29      -77 |     -398 | fail
30  100  8   0.75 |  1128      -99  0.78     -80.7 |   979   -451.4 |    721   -432.6 |      +39     -138 |     -441 | fail
30  100  8   0.90 |  1128     -104  0.77     -80.7 |  1044   -456.0 |    721   -432.6 |      +36     -140 |     -442 | fail
30  100  12  0.75 |  1034     -179  0.58     -60.0 |   901   -426.7 |    687   -412.2 |      -76     -103 |     -514 | fail
30  100  12  0.90 |  1034     -181  0.58     -60.0 |   968   -431.8 |    687   -412.2 |      -70     -111 |     -501 | fail
60  38   2   0.75 |  1026     -319  0.44     -90.0 |   865   -565.0 |    606   -545.4 |     -131     -188 |     -610 | fail
60  38   2   0.90 |  1026     -339  0.41     -90.0 |   939   -570.4 |    606   -545.4 |     -137     -202 |     -612 | fail
