INCREMENT-CASCADE CERT — coin=FIL early=1 bars=31062 thr=1.50% confirm=60bp RT=30/60bp legs=2 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.75 |  1538     -111  0.82     -60.0 |  1312   -610.5 |    979   -587.4 |      -59      -52 |     -580 | fail
30  38   2   0.90 |  1538     -129  0.79     -60.0 |  1410   -616.9 |    979   -587.4 |      -77      -52 |     -582 | fail
30  38   4   0.75 |  1530      -39  0.94     -60.0 |  1311   -607.5 |    973   -583.8 |      +42      -81 |     -476 | fail
30  38   4   0.90 |  1530      -52  0.92     -60.0 |  1407   -613.6 |    973   -583.8 |      +31      -82 |     -482 | fail
30  38   8   0.75 |  1310     -158  0.71     -60.0 |  1146   -538.5 |    863   -517.8 |      -31     -126 |     -543 | fail
30  38   8   0.90 |  1310     -164  0.70     -60.0 |  1213   -543.2 |    863   -517.8 |      -35     -129 |     -538 | fail
30  38   12  0.75 |  1114     -140  0.69     -60.0 |   951   -448.4 |    720   -432.0 |      -29     -112 |     -497 | fail
30  38   12  0.90 |  1114     -111  0.76     -60.0 |  1029   -454.5 |    720   -432.0 |      -13      -99 |     -482 | fail
30  60   2   0.75 |  1496     -102  0.83     -60.0 |  1275   -590.3 |    947   -568.2 |      -62      -41 |     -581 | fail
30  60   2   0.90 |  1496     -127  0.79     -60.0 |  1372   -596.4 |    947   -568.2 |      -81      -46 |     -593 | fail
30  60   4   0.75 |  1487      -40  0.93     -60.0 |  1269   -589.3 |    945   -567.0 |      +32      -72 |     -466 | fail
30  60   4   0.90 |  1487      -35  0.94     -60.0 |  1364   -595.5 |    945   -567.0 |      +43      -78 |     -452 | fail
30  60   8   0.75 |  1270     -144  0.72     -60.0 |  1107   -516.7 |    828   -496.8 |      -25     -119 |     -500 | fail
30  60   8   0.90 |  1270     -154  0.71     -60.0 |  1176   -521.5 |    828   -496.8 |      -32     -122 |     -503 | fail
30  60   12  0.75 |  1082     -108  0.75     -60.0 |   921   -432.5 |    694   -416.4 |      -17      -92 |     -454 | fail
30  60   12  0.90 |  1082      -80  0.82     -60.0 |  1000   -438.8 |    694   -416.4 |       +4      -85 |     -441 | fail
30  100  2   0.75 |  1435     -110  0.81     -60.0 |  1227   -565.7 |    905   -543.0 |      -70      -40 |     -519 | fail
30  100  2   0.90 |  1435     -126  0.78     -60.0 |  1322   -572.3 |    905   -543.0 |      -73      -53 |     -529 | fail
30  100  4   0.75 |  1410      -71  0.88     -60.0 |  1208   -573.6 |    923   -553.8 |      +31     -102 |     -440 | fail
30  100  4   0.90 |  1410      -79  0.86     -60.0 |  1301   -579.7 |    923   -553.8 |      +31     -110 |     -432 | fail
30  100  8   0.75 |  1210     -124  0.75     -60.0 |  1038   -494.2 |    794   -476.4 |      -30      -94 |     -464 | fail
30  100  8   0.90 |  1210     -143  0.71     -60.0 |  1120   -499.7 |    794   -476.4 |      -40     -103 |     -470 | fail
30  100  12  0.75 |  1034     -146  0.65     -60.0 |   890   -422.2 |    678   -406.8 |      -34     -112 |     -466 | fail
30  100  12  0.90 |  1034     -128  0.70     -60.0 |   957   -427.1 |    678   -406.8 |      -18     -110 |     -454 | fail
60  38   2   0.75 |  1538     -290  0.65     -90.0 |  1282   -828.3 |    889   -800.1 |     -158     -132 |     -743 | fail
60  38   2   0.90 |  1538     -307  0.63     -90.0 |  1397   -836.0 |    889   -800.1 |     -173     -135 |     -746 | fail
60  38   4   0.75 |  1530     -157  0.81     -90.0 |  1272   -813.4 |    873   -785.7 |      -37     -120 |     -604 | fail
60  38   4   0.90 |  1530     -169  0.79     -90.0 |  1388   -820.8 |    873   -785.7 |      -46     -123 |     -612 | fail
60  38   8   0.75 |  1310     -240  0.66     -90.0 |  1115   -716.8 |    768   -691.2 |     -103     -137 |     -624 | fail
60  38   8   0.90 |  1310     -248  0.66     -90.0 |  1196   -722.6 |    768   -691.2 |     -105     -142 |     -619 | fail
60  38   12  0.75 |  1114     -227  0.62     -90.0 |   927   -595.9 |    640   -576.0 |      -84     -143 |     -578 | fail
60  38   12  0.90 |  1114     -193  0.68     -90.0 |  1015   -602.7 |    640   -576.0 |      -64     -129 |     -560 | fail
60  60   2   0.75 |  1496     -286  0.64     -90.0 |  1245   -803.1 |    863   -776.7 |     -159     -127 |     -764 | fail
60  60   2   0.90 |  1496     -308  0.62     -90.0 |  1360   -810.7 |    863   -776.7 |     -172     -136 |     -777 | fail
60  60   4   0.75 |  1487     -219  0.73     -90.0 |  1236   -800.3 |    861   -774.9 |      -62     -157 |     -629 | fail
60  60   4   0.90 |  1487     -211  0.74     -90.0 |  1349   -807.8 |    861   -774.9 |      -47     -165 |     -617 | fail
60  60   8   0.75 |  1270     -255  0.64     -90.0 |  1079   -700.3 |    753   -677.7 |     -101     -154 |     -608 | fail
60  60   8   0.90 |  1270     -265  0.63     -90.0 |  1162   -706.3 |    753   -677.7 |     -105     -160 |     -612 | fail
60  60   12  0.75 |  1082     -211  0.63     -90.0 |   900   -572.4 |    614   -552.6 |      -72     -139 |     -554 | fail
60  60   12  0.90 |  1082     -187  0.68     -90.0 |   989   -579.3 |    614   -552.6 |      -52     -135 |     -543 | fail
60  100  2   0.75 |  1435     -269  0.65     -90.0 |  1201   -772.7 |    829   -746.1 |     -164     -105 |     -674 | fail
60  100  2   0.90 |  1435     -278  0.64     -90.0 |  1306   -780.1 |    829   -746.1 |     -158     -121 |     -687 | fail
60  100  4   0.75 |  1410     -228  0.70     -90.0 |  1174   -766.1 |    825   -742.5 |      -50     -178 |     -598 | fail
60  100  4   0.90 |  1410     -221  0.71     -90.0 |  1284   -773.3 |    825   -742.5 |      -39     -183 |     -583 | fail
