INCREMENT-CASCADE CERT — coin=GRT early=1 bars=48569 thr=1.50% confirm=60bp RT=30/60bp legs=2 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.75 |  3486     +125  1.09     -60.0 |  2905  -1381.9 |   2223  -1333.8 |     +245     -120 |     -827 | fail
30  38   2   0.90 |  3486     +114  1.08     -60.0 |  3188  -1402.8 |   2223  -1333.8 |     +252     -138 |     -812 | fail
30  38   4   0.75 |  3148      +11  1.01     -60.0 |  2621  -1225.0 |   1969  -1181.4 |      +17       -6 |     -902 | fail
30  38   4   0.90 |  3148      +58  1.05     -60.0 |  2865  -1243.2 |   1969  -1181.4 |      +86      -28 |     -845 | fail
30  38   8   0.75 |  2412      -56  0.94     -60.0 |  1996   -938.8 |   1505   -903.0 |      +29      -85 |     -790 | fail
30  38   8   0.90 |  2412      +34  1.04     -60.0 |  2206   -954.1 |   1505   -903.0 |      +48      -14 |     -708 | fail
30  38   12  0.75 |  2028     -110  0.87     -60.0 |  1709   -812.5 |   1305   -783.0 |     -124      +15 |     -725 | fail
30  38   12  0.90 |  2028       -3  1.00     -60.0 |  1852   -822.8 |   1305   -783.0 |      -39      +36 |     -601 | fail
30  60   2   0.75 |  3387     +103  1.08     -60.0 |  2825  -1339.8 |   2151  -1290.6 |     +226     -123 |     -847 | fail
30  60   2   0.90 |  3387     +118  1.09     -60.0 |  3099  -1359.2 |   2151  -1290.6 |     +249     -130 |     -812 | fail
30  60   4   0.75 |  3046      +42  1.04     -60.0 |  2523  -1177.5 |   1890  -1134.0 |      +20      +23 |     -822 | fail
30  60   4   0.90 |  3046      +62  1.05     -60.0 |  2770  -1196.2 |   1890  -1134.0 |      +58       +4 |     -760 | fail
30  60   8   0.75 |  2348      -82  0.91     -60.0 |  1953   -913.2 |   1462   -877.2 |      +24     -106 |     -779 | fail
30  60   8   0.90 |  2348      +24  1.03     -60.0 |  2146   -927.3 |   1462   -877.2 |      +28       -3 |     -719 | fail
30  60   12  0.75 |  1975     -109  0.86     -60.0 |  1655   -785.2 |   1260   -756.0 |     -124      +15 |     -698 | fail
30  60   12  0.90 |  1975       -3  1.00     -60.0 |  1805   -795.9 |   1260   -756.0 |      -50      +47 |     -600 | fail
30  100  2   0.75 |  3221     +137  1.11     -60.0 |  2686  -1275.9 |   2050  -1230.0 |     +216      -78 |     -757 | fail
30  100  2   0.90 |  3221     +143  1.11     -60.0 |  2942  -1294.4 |   2050  -1230.0 |     +243     -100 |     -732 | fail
30  100  4   0.75 |  2904     +109  1.10     -60.0 |  2419  -1127.3 |   1808  -1084.8 |      +63      +46 |     -777 | fail
30  100  4   0.90 |  2904     +131  1.11     -60.0 |  2639  -1143.9 |   1808  -1084.8 |     +110      +21 |     -719 | fail
30  100  8   0.75 |  2233      -85  0.90     -60.0 |  1876   -864.9 |   1380   -828.0 |       -1      -84 |     -750 | fail
30  100  8   0.90 |  2233      -58  0.93     -60.0 |  2045   -876.8 |   1380   -828.0 |      -13      -45 |     -705 | fail
30  100  12  0.75 |  1876      -47  0.94     -60.0 |  1588   -745.5 |   1195   -717.0 |      -52       +5 |     -631 | fail
30  100  12  0.90 |  1876      +50  1.07     -60.0 |  1719   -754.7 |   1195   -717.0 |      +39      +10 |     -526 | fail
60  38   2   0.75 |  3486     -208  0.89     -90.0 |  2832  -1889.1 |   2037  -1833.3 |       +7     -215 |    -1186 | fail
60  38   2   0.90 |  3486     -215  0.89     -90.0 |  3146  -1912.2 |   2037  -1833.3 |      +19     -234 |    -1171 | fail
60  38   4   0.75 |  3148     -310  0.81     -90.0 |  2558  -1666.0 |   1795  -1615.5 |     -161     -149 |    -1246 | fail
60  38   4   0.90 |  3148     -262  0.84     -90.0 |  2832  -1686.5 |   1795  -1615.5 |      -94     -168 |    -1184 | fail
60  38   8   0.75 |  2412     -316  0.75     -90.0 |  1948  -1285.0 |   1382  -1243.8 |     -119     -197 |    -1076 | fail
60  38   8   0.90 |  2412     -234  0.82     -90.0 |  2184  -1302.3 |   1382  -1243.8 |     -107     -127 |     -993 | fail
60  38   12  0.75 |  2028     -371  0.67     -90.0 |  1670  -1113.4 |   1199  -1079.1 |     -257     -115 |     -996 | fail
60  38   12  0.90 |  2028     -274  0.76     -90.0 |  1835  -1125.5 |   1199  -1079.1 |     -178      -95 |     -871 | fail
60  60   2   0.75 |  3387     -200  0.89     -90.0 |  2755  -1828.8 |   1969  -1772.1 |       -2     -198 |    -1201 | fail
60  60   2   0.90 |  3387     -188  0.90     -90.0 |  3054  -1849.8 |   1969  -1772.1 |      +17     -204 |    -1166 | fail
60  60   4   0.75 |  3046     -265  0.83     -90.0 |  2459  -1595.2 |   1717  -1545.3 |     -149     -117 |    -1158 | fail
60  60   4   0.90 |  3046     -252  0.84     -90.0 |  2740  -1616.6 |   1717  -1545.3 |     -115     -138 |    -1096 | fail
