INCREMENT-CASCADE CERT — coin=ICP early=1 bars=31062 thr=0.50% confirm=60bp RT=30/60bp legs=2 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.75 |  3914     -574  0.64     -60.0 |  3412  -1591.3 |   2550  -1530.0 |     -284     -290 |    -1716 | fail
30  38   2   0.90 |  3914     -581  0.64     -60.0 |  3565  -1603.2 |   2550  -1530.0 |     -292     -290 |    -1718 | fail
30  38   4   0.75 |  2978     -489  0.60     -60.0 |  2613  -1220.3 |   1956  -1173.6 |     -276     -213 |    -1380 | fail
30  38   4   0.90 |  2978     -507  0.59     -60.0 |  2751  -1231.2 |   1956  -1173.6 |     -292     -216 |    -1383 | fail
30  38   8   0.75 |  2098     -277  0.68     -60.0 |  1854   -872.8 |   1396   -837.6 |      -74     -203 |     -858 | fail
30  38   8   0.90 |  2098     -307  0.65     -60.0 |  1980   -880.7 |   1396   -837.6 |      -86     -221 |     -870 | fail
30  38   12  0.75 |  1739     -306  0.57     -60.0 |  1530   -715.5 |   1145   -687.0 |     -186     -120 |     -793 | fail
30  38   12  0.90 |  1739     -342  0.53     -60.0 |  1634   -723.1 |   1145   -687.0 |     -200     -142 |     -805 | fail
30  60   2   0.75 |  3728     -536  0.65     -60.0 |  3254  -1520.4 |   2439  -1463.4 |     -251     -285 |    -1657 | fail
30  60   2   0.90 |  3728     -531  0.65     -60.0 |  3400  -1532.2 |   2439  -1463.4 |     -263     -268 |    -1645 | fail
30  60   4   0.75 |  2852     -444  0.62     -60.0 |  2503  -1166.3 |   1866  -1119.6 |     -235     -209 |    -1309 | fail
30  60   4   0.90 |  2852     -464  0.61     -60.0 |  2635  -1176.1 |   1866  -1119.6 |     -249     -214 |    -1317 | fail
30  60   8   0.75 |  2013     -251  0.70     -60.0 |  1768   -832.1 |   1331   -798.6 |      -50     -201 |     -801 | fail
30  60   8   0.90 |  2013     -281  0.67     -60.0 |  1895   -840.2 |   1331   -798.6 |      -61     -220 |     -815 | fail
30  60   12  0.75 |  1677     -266  0.61     -60.0 |  1466   -683.7 |   1096   -657.6 |     -160     -106 |     -748 | fail
30  60   12  0.90 |  1677     -272  0.61     -60.0 |  1572   -692.3 |   1096   -657.6 |     -160     -112 |     -756 | fail
30  100  2   0.75 |  3429     -494  0.65     -60.0 |  2979  -1400.0 |   2249  -1349.4 |     -223     -271 |    -1502 | fail
30  100  2   0.90 |  3429     -501  0.64     -60.0 |  3122  -1410.9 |   2249  -1349.4 |     -230     -271 |    -1495 | fail
30  100  4   0.75 |  2657     -453  0.59     -60.0 |  2332  -1095.0 |   1755  -1053.0 |     -210     -243 |    -1252 | fail
30  100  4   0.90 |  2657     -464  0.58     -60.0 |  2462  -1105.0 |   1755  -1053.0 |     -224     -240 |    -1253 | fail
30  100  8   0.75 |  1897     -215  0.73     -60.0 |  1664   -785.4 |   1259   -755.4 |      -30     -185 |     -850 | fail
30  100  8   0.90 |  1897     -218  0.73     -60.0 |  1780   -793.2 |   1259   -755.4 |      -36     -182 |     -853 | fail
30  100  12  0.75 |  1570     -234  0.64     -60.0 |  1378   -649.8 |   1040   -624.0 |     -138      -96 |     -723 | fail
30  100  12  0.90 |  1570     -255  0.61     -60.0 |  1476   -657.1 |   1040   -624.0 |     -144     -111 |     -731 | fail
60  38   2   0.75 |  3914     -928  0.56     -90.0 |  3318  -2093.6 |   2223  -2000.7 |     -468     -460 |    -2042 | fail
60  38   2   0.90 |  3914     -938  0.56     -90.0 |  3497  -2108.1 |   2223  -2000.7 |     -476     -462 |    -2046 | fail
60  38   4   0.75 |  2977     -777  0.52     -90.0 |  2541  -1611.0 |   1718  -1546.2 |     -425     -352 |    -1673 | fail
60  38   4   0.90 |  2977     -797  0.51     -90.0 |  2707  -1624.2 |   1718  -1546.2 |     -441     -355 |    -1673 | fail
60  38   8   0.75 |  2098     -447  0.61     -90.0 |  1803  -1151.4 |   1226  -1103.4 |     -160     -287 |    -1047 | fail
60  38   8   0.90 |  2098     -482  0.58     -90.0 |  1955  -1161.1 |   1226  -1103.4 |     -175     -307 |    -1062 | fail
60  38   12  0.75 |  1738     -436  0.53     -90.0 |  1482   -935.9 |    995   -895.5 |     -259     -176 |     -965 | fail
60  38   12  0.90 |  1738     -474  0.50     -90.0 |  1608   -945.0 |    995   -895.5 |     -273     -201 |     -978 | fail
60  60   2   0.75 |  3728     -867  0.57     -90.0 |  3152  -1998.5 |   2124  -1911.6 |     -416     -451 |    -1951 | fail
60  60   2   0.90 |  3728     -863  0.57     -90.0 |  3326  -2013.0 |   2124  -1911.6 |     -428     -435 |    -1940 | fail
60  60   4   0.75 |  2851     -724  0.53     -90.0 |  2431  -1544.6 |   1647  -1482.3 |     -367     -357 |    -1590 | fail
60  60   4   0.90 |  2851     -748  0.52     -90.0 |  2591  -1556.9 |   1647  -1482.3 |     -384     -364 |    -1598 | fail
60  60   8   0.75 |  2013     -421  0.62     -90.0 |  1725  -1099.4 |   1169  -1052.1 |     -140     -281 |     -996 | fail
60  60   8   0.90 |  2013     -452  0.59     -90.0 |  1872  -1109.0 |   1169  -1052.1 |     -153     -298 |    -1012 | fail
60  60   12  0.75 |  1677     -391  0.56     -90.0 |  1422   -892.8 |    952   -856.8 |     -220     -171 |     -919 | fail
60  60   12  0.90 |  1677     -403  0.55     -90.0 |  1547   -902.5 |    952   -856.8 |     -222     -181 |     -931 | fail
60  100  2   0.75 |  3429     -808  0.56     -90.0 |  2899  -1854.4 |   1974  -1776.6 |     -376     -432 |    -1780 | fail
60  100  2   0.90 |  3429     -817  0.56     -90.0 |  3062  -1867.4 |   1974  -1776.6 |     -383     -434 |    -1774 | fail
