INCREMENT-CASCADE CERT — coin=INJ early=1 bars=31062 thr=1.50% confirm=60bp RT=30/60bp legs=3 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.75 |  3168     -206  0.84     -60.0 |  2703  -1255.5 |   2013  -1207.8 |      +89     -295 |    -1141 | fail
30  38   2   0.90 |  3168     -175  0.86     -60.0 |  2909  -1270.8 |   2013  -1207.8 |     +140     -316 |    -1117 | fail
30  38   4   0.75 |  2969      -90  0.92     -60.0 |  2509  -1164.0 |   1866  -1119.6 |      +69     -159 |     -946 | fail
30  38   4   0.90 |  2969      -36  0.97     -60.0 |  2702  -1177.3 |   1866  -1119.6 |     +129     -165 |     -916 | fail
30  38   8   0.75 |  2302     -406  0.57     -60.0 |  2014   -950.1 |   1524   -914.4 |     -175     -231 |    -1083 | fail
30  38   8   0.90 |  2302     -413  0.57     -60.0 |  2154   -959.6 |   1524   -914.4 |     -176     -237 |    -1098 | fail
30  38   12  0.75 |  1894     -179  0.77     -60.0 |  1627   -764.7 |   1232   -739.2 |     -114      -65 |     -745 | fail
30  38   12  0.90 |  1894     -124  0.84     -60.0 |  1744   -772.7 |   1232   -739.2 |      -40      -84 |     -708 | fail
30  60   2   0.75 |  2985     -233  0.81     -60.0 |  2567  -1196.2 |   1919  -1151.4 |      +66     -299 |    -1085 | fail
30  60   2   0.90 |  2985     -231  0.81     -60.0 |  2756  -1210.2 |   1919  -1151.4 |      +83     -313 |    -1076 | fail
30  60   4   0.75 |  2815     -131  0.88     -60.0 |  2372  -1099.8 |   1764  -1058.4 |      +40     -170 |     -940 | fail
30  60   4   0.90 |  2815      -86  0.92     -60.0 |  2568  -1113.7 |   1764  -1058.4 |      +76     -162 |     -886 | fail
30  60   8   0.75 |  2193     -399  0.56     -60.0 |  1914   -909.0 |   1461   -876.6 |     -193     -207 |    -1050 | fail
30  60   8   0.90 |  2193     -420  0.54     -60.0 |  2059   -918.9 |   1461   -876.6 |     -190     -230 |    -1054 | fail
30  60   12  0.75 |  1808     -119  0.84     -60.0 |  1542   -731.6 |   1181   -708.6 |      -90      -29 |     -703 | fail
30  60   12  0.90 |  1808      -92  0.88     -60.0 |  1658   -739.2 |   1181   -708.6 |      -39      -53 |     -678 | fail
30  100  2   0.75 |  2716     -101  0.91     -60.0 |  2320  -1087.1 |   1745  -1047.0 |     +108     -209 |     -898 | fail
30  100  2   0.90 |  2716      -81  0.93     -60.0 |  2489  -1100.1 |   1745  -1047.0 |     +149     -230 |     -868 | fail
30  100  4   0.75 |  2578     -113  0.89     -60.0 |  2164  -1005.1 |   1609   -965.4 |      -28      -85 |     -820 | fail
30  100  4   0.90 |  2578     -117  0.89     -60.0 |  2341  -1017.7 |   1609   -965.4 |      -25      -92 |     -810 | fail
30  100  8   0.75 |  2041     -331  0.61     -60.0 |  1781   -847.0 |   1362   -817.2 |     -161     -170 |     -924 | fail
30  100  8   0.90 |  2041     -339  0.60     -60.0 |  1905   -855.4 |   1362   -817.2 |     -157     -182 |     -929 | fail
