INCREMENT-CASCADE CERT — coin=LDO early=1 bars=34542 thr=1.00% confirm=60bp RT=30/60bp legs=2 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.75 |  3473     -278  0.80     -60.0 |  2927  -1380.5 |   2218  -1330.8 |      -93     -185 |    -1320 | fail
30  38   2   0.90 |  3473     -261  0.81     -60.0 |  3153  -1398.5 |   2218  -1330.8 |     -109     -153 |    -1298 | fail
30  38   4   0.75 |  2824      -44  0.96     -60.0 |  2386  -1117.0 |   1788  -1072.8 |      +41      -85 |     -850 | fail
30  38   4   0.90 |  2824      -25  0.98     -60.0 |  2566  -1131.2 |   1788  -1072.8 |      +31      -56 |     -840 | fail
30  38   8   0.75 |  2114     -308  0.64     -60.0 |  1825   -866.2 |   1392   -835.2 |      -88     -220 |     -905 | fail
30  38   8   0.90 |  2114     -347  0.60     -60.0 |  1974   -876.6 |   1392   -835.2 |     -115     -232 |     -923 | fail
30  38   12  0.75 |  1712     -160  0.77     -60.0 |  1465   -691.3 |   1107   -664.2 |      -68      -92 |     -640 | fail
30  38   12  0.90 |  1712     -147  0.79     -60.0 |  1596   -701.6 |   1107   -664.2 |      -54      -92 |     -638 | fail
30  60   2   0.75 |  3360     -301  0.77     -60.0 |  2839  -1329.3 |   2131  -1278.6 |      -90     -211 |    -1275 | fail
30  60   2   0.90 |  3360     -296  0.78     -60.0 |  3049  -1345.9 |   2131  -1278.6 |     -102     -194 |    -1254 | fail
30  60   4   0.75 |  2724     -110  0.90     -60.0 |  2313  -1082.0 |   1733  -1039.8 |      +31     -141 |     -841 | fail
30  60   4   0.90 |  2724      -95  0.91     -60.0 |  2482  -1095.6 |   1733  -1039.8 |      +17     -112 |     -833 | fail
30  60   8   0.75 |  2047     -304  0.64     -60.0 |  1773   -837.7 |   1346   -807.6 |      -81     -222 |     -876 | fail
30  60   8   0.90 |  2047     -338  0.60     -60.0 |  1908   -847.5 |   1346   -807.6 |     -108     -230 |     -897 | fail
30  60   12  0.75 |  1671     -168  0.75     -60.0 |  1438   -678.3 |   1088   -652.8 |      -62     -107 |     -626 | fail
30  60   12  0.90 |  1671     -168  0.76     -60.0 |  1557   -687.4 |   1088   -652.8 |      -54     -115 |     -619 | fail
30  100  2   0.75 |  3154     -254  0.80     -60.0 |  2679  -1255.2 |   2013  -1207.8 |      -87     -167 |    -1159 | fail
30  100  2   0.90 |  3154     -270  0.79     -60.0 |  2864  -1269.4 |   2013  -1207.8 |     -100     -170 |    -1158 | fail
30  100  4   0.75 |  2577      -84  0.92     -60.0 |  2190  -1032.1 |   1656   -993.6 |      +59     -143 |     -827 | fail
30  100  4   0.90 |  2577      -90  0.91     -60.0 |  2348  -1044.4 |   1656   -993.6 |      +49     -140 |     -827 | fail
30  100  8   0.75 |  1943     -187  0.76     -60.0 |  1676   -781.4 |   1251   -750.6 |      -26     -161 |     -745 | fail
30  100  8   0.90 |  1943     -226  0.71     -60.0 |  1806   -790.8 |   1251   -750.6 |      -48     -178 |     -758 | fail
30  100  12  0.75 |  1571     -184  0.71     -60.0 |  1361   -637.4 |   1021   -612.6 |      -74     -110 |     -619 | fail
30  100  12  0.90 |  1571     -161  0.75     -60.0 |  1471   -645.9 |   1021   -612.6 |      -45     -116 |     -615 | fail
60  38   2   0.75 |  3473     -659  0.65     -90.0 |  2856  -1886.2 |   2032  -1828.8 |     -293     -367 |    -1703 | fail
60  38   2   0.90 |  3473     -628  0.67     -90.0 |  3109  -1906.3 |   2032  -1828.8 |     -305     -323 |    -1678 | fail
60  38   4   0.75 |  2824     -329  0.78     -90.0 |  2331  -1509.9 |   1619  -1457.1 |      -98     -231 |    -1142 | fail
60  38   4   0.90 |  2824     -285  0.81     -90.0 |  2531  -1525.8 |   1619  -1457.1 |     -109     -176 |    -1129 | fail
60  38   8   0.75 |  2114     -520  0.55     -90.0 |  1772  -1163.8 |   1250  -1125.0 |     -170     -350 |    -1144 | fail
60  38   8   0.90 |  2114     -540  0.54     -90.0 |  1945  -1176.3 |   1250  -1125.0 |     -189     -351 |    -1147 | fail
60  38   12  0.75 |  1712     -311  0.67     -90.0 |  1426   -939.1 |   1006   -905.4 |     -129     -182 |     -804 | fail
60  38   12  0.90 |  1712     -302  0.68     -90.0 |  1577   -951.1 |   1006   -905.4 |     -118     -184 |     -805 | fail
60  60   2   0.75 |  3360     -667  0.63     -90.0 |  2766  -1815.9 |   1954  -1758.6 |     -296     -371 |    -1633 | fail
60  60   2   0.90 |  3360     -662  0.64     -90.0 |  3010  -1835.4 |   1954  -1758.6 |     -307     -355 |    -1614 | fail
60  60   4   0.75 |  2724     -361  0.75     -90.0 |  2250  -1456.7 |   1562  -1405.8 |     -133     -228 |    -1074 | fail
60  60   4   0.90 |  2724     -350  0.76     -90.0 |  2450  -1472.6 |   1562  -1405.8 |     -147     -203 |    -1059 | fail
60  60   8   0.75 |  2047     -513  0.54     -90.0 |  1720  -1123.4 |   1208  -1087.2 |     -167     -345 |    -1093 | fail
60  60   8   0.90 |  2047     -533  0.53     -90.0 |  1882  -1135.2 |   1208  -1087.2 |     -191     -342 |    -1099 | fail
60  60   12  0.75 |  1671     -332  0.64     -90.0 |  1402   -922.1 |    989   -890.1 |     -153     -179 |     -791 | fail
60  60   12  0.90 |  1671     -338  0.64     -90.0 |  1542   -932.9 |    989   -890.1 |     -148     -190 |     -784 | fail
60  100  2   0.75 |  3154     -613  0.64     -90.0 |  2612  -1714.1 |   1844  -1659.6 |     -269     -344 |    -1532 | fail
60  100  2   0.90 |  3154     -626  0.64     -90.0 |  2826  -1730.7 |   1844  -1659.6 |     -278     -348 |    -1529 | fail
60  100  4   0.75 |  2577     -367  0.74     -90.0 |  2141  -1408.2 |   1513  -1361.7 |      -96     -271 |    -1133 | fail
60  100  4   0.90 |  2577     -375  0.74     -90.0 |  2320  -1422.0 |   1513  -1361.7 |     -107     -267 |    -1129 | fail
60  100  8   0.75 |  1943     -392  0.63     -90.0 |  1631  -1050.5 |   1126  -1013.4 |     -104     -288 |     -972 | fail
60  100  8   0.90 |  1943     -421  0.60     -90.0 |  1785  -1061.7 |   1126  -1013.4 |     -121     -300 |     -970 | fail
60  100  12  0.75 |  1571     -340  0.61     -90.0 |  1323   -863.2 |    925   -832.5 |     -149     -191 |     -774 | fail
60  100  12  0.90 |  1571     -327  0.63     -90.0 |  1455   -873.2 |    925   -832.5 |     -126     -201 |     -774 | fail
