INCREMENT-CASCADE CERT — coin=LINK early=1 bars=48569 thr=1.50% confirm=60bp RT=30/60bp legs=2 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.75 |  2748      -80  0.93     -60.0 |  2314  -1077.0 |   1726  -1035.6 |     +121     -201 |     -943 | fail
30  38   2   0.90 |  2748      -50  0.95     -60.0 |  2488  -1090.4 |   1726  -1035.6 |     +146     -196 |     -946 | fail
30  38   4   0.75 |  2632     -174  0.84     -60.0 |  2241  -1060.8 |   1708  -1024.8 |      +27     -202 |     -972 | fail
30  38   4   0.90 |  2632     -189  0.82     -60.0 |  2389  -1071.7 |   1708  -1024.8 |       +1     -189 |     -964 | fail
30  38   8   0.75 |  2156     -179  0.79     -60.0 |  1823   -856.2 |   1376   -825.6 |      -53     -125 |     -823 | fail
30  38   8   0.90 |  2156     -157  0.82     -60.0 |  1975   -867.8 |   1376   -825.6 |      -79      -78 |     -812 | fail
30  38   12  0.75 |  1797     -109  0.85     -60.0 |  1541   -727.1 |   1167   -700.2 |      +43     -152 |     -671 | fail
30  38   12  0.90 |  1797     -103  0.86     -60.0 |  1649   -735.1 |   1167   -700.2 |      +39     -143 |     -651 | fail
30  60   2   0.75 |  2663     -147  0.86     -60.0 |  2255  -1048.2 |   1681  -1008.6 |      +77     -223 |     -907 | fail
30  60   2   0.90 |  2663     -117  0.89     -60.0 |  2430  -1061.7 |   1681  -1008.6 |      +85     -201 |     -911 | fail
30  60   4   0.75 |  2556     -225  0.78     -60.0 |  2179  -1022.5 |   1646   -987.6 |       -2     -223 |     -926 | fail
30  60   4   0.90 |  2556     -230  0.78     -60.0 |  2328  -1033.2 |   1646   -987.6 |      -23     -207 |     -932 | fail
30  60   8   0.75 |  2101     -161  0.81     -60.0 |  1773   -834.2 |   1341   -804.6 |      -47     -113 |     -757 | fail
30  60   8   0.90 |  2101     -149  0.82     -60.0 |  1927   -845.5 |   1341   -804.6 |      -68      -81 |     -761 | fail
30  60   12  0.75 |  1748      -86  0.88     -60.0 |  1509   -713.2 |   1146   -687.6 |      +72     -158 |     -604 | fail
30  60   12  0.90 |  1748      -87  0.88     -60.0 |  1604   -720.0 |   1146   -687.6 |      +68     -154 |     -608 | fail
30  100  2   0.75 |  2532      -84  0.92     -60.0 |  2127   -993.2 |   1594   -956.4 |      +89     -174 |     -845 | fail
30  100  2   0.90 |  2532      -87  0.91     -60.0 |  2301  -1006.0 |   1594   -956.4 |      +75     -161 |     -847 | fail
30  100  4   0.75 |  2440     -194  0.80     -60.0 |  2088   -982.8 |   1581   -948.6 |       +4     -199 |     -894 | fail
30  100  4   0.90 |  2440     -182  0.82     -60.0 |  2221   -993.3 |   1581   -948.6 |      +24     -206 |     -893 | fail
30  100  8   0.75 |  2001     -122  0.85     -60.0 |  1681   -788.3 |   1266   -759.6 |      -27      -95 |     -728 | fail
30  100  8   0.90 |  2001     -123  0.85     -60.0 |  1827   -799.1 |   1266   -759.6 |      -50      -74 |     -734 | fail
30  100  12  0.75 |  1669     -116  0.83     -60.0 |  1437   -678.2 |   1090   -654.0 |      +44     -160 |     -584 | fail
30  100  12  0.90 |  1669     -125  0.82     -60.0 |  1532   -685.0 |   1090   -654.0 |      +42     -167 |     -579 | fail
60  38   2   0.75 |  2748     -317  0.78     -90.0 |  2252  -1445.5 |   1552  -1396.8 |      -34     -283 |    -1174 | fail
60  38   2   0.90 |  2748     -282  0.81     -90.0 |  2455  -1460.9 |   1552  -1396.8 |       -0     -282 |    -1176 | fail
60  38   4   0.75 |  2632     -398  0.72     -90.0 |  2179  -1415.0 |   1522  -1369.8 |     -103     -294 |    -1202 | fail
60  38   4   0.90 |  2632     -416  0.71     -90.0 |  2355  -1428.1 |   1522  -1369.8 |     -133     -283 |    -1191 | fail
60  38   8   0.75 |  2156     -390  0.66     -90.0 |  1770  -1147.2 |   1233  -1109.7 |     -172     -218 |    -1019 | fail
60  38   8   0.90 |  2156     -345  0.70     -90.0 |  1948  -1161.0 |   1233  -1109.7 |     -177     -168 |    -1007 | fail
60  38   12  0.75 |  1797     -277  0.72     -90.0 |  1502   -975.8 |   1047   -942.3 |      -47     -230 |     -810 | fail
60  38   12  0.90 |  1797     -281  0.71     -90.0 |  1631   -985.3 |   1047   -942.3 |      -57     -225 |     -798 | fail
60  60   2   0.75 |  2663     -357  0.75     -90.0 |  2184  -1402.1 |   1506  -1355.4 |      -64     -294 |    -1111 | fail
