INCREMENT-CASCADE CERT — coin=LTC early=1 bars=48569 thr=0.50% confirm=60bp RT=30/60bp legs=3 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.75 |  7302    -1369  0.55     -60.0 |  6476  -3059.2 |   4916  -2949.6 |     -425     -945 |    -3482 | fail
30  38   2   0.90 |  7302    -1348  0.56     -60.0 |  6688  -3076.3 |   4916  -2949.6 |     -407     -941 |    -3469 | fail
30  38   4   0.75 |  5795    -1148  0.53     -60.0 |  5144  -2429.0 |   3905  -2343.0 |     -433     -716 |    -2860 | fail
30  38   4   0.90 |  5795    -1157  0.53     -60.0 |  5383  -2448.0 |   3905  -2343.0 |     -442     -715 |    -2840 | fail
30  38   8   0.75 |  4148     -683  0.60     -60.0 |  3662  -1710.5 |   2739  -1643.4 |     -240     -443 |    -1911 | fail
30  38   8   0.90 |  4148     -626  0.64     -60.0 |  3882  -1726.8 |   2739  -1643.4 |     -226     -400 |    -1853 | fail
30  38   12  0.75 |  3490     -648  0.55     -60.0 |  3062  -1453.8 |   2331  -1398.6 |     -268     -380 |    -1719 | fail
30  38   12  0.90 |  3490     -651  0.56     -60.0 |  3272  -1470.0 |   2331  -1398.6 |     -286     -365 |    -1708 | fail
30  60   2   0.75 |  6603    -1186  0.57     -60.0 |  5851  -2748.6 |   4413  -2647.8 |     -385     -801 |    -3085 | fail
30  60   2   0.90 |  6603    -1175  0.57     -60.0 |  6053  -2764.7 |   4413  -2647.8 |     -384     -791 |    -3080 | fail
30  60   4   0.75 |  5279     -973  0.56     -60.0 |  4676  -2195.2 |   3526  -2115.6 |     -351     -622 |    -2608 | fail
30  60   4   0.90 |  5279     -973  0.56     -60.0 |  4894  -2211.9 |   3526  -2115.6 |     -354     -619 |    -2605 | fail
30  60   8   0.75 |  3809     -555  0.65     -60.0 |  3362  -1575.8 |   2525  -1515.0 |     -167     -388 |    -1702 | fail
30  60   8   0.90 |  3809     -513  0.68     -60.0 |  3553  -1588.9 |   2525  -1515.0 |     -175     -339 |    -1653 | fail
30  60   12  0.75 |  3231     -565  0.58     -60.0 |  2825  -1335.4 |   2139  -1283.4 |     -225     -339 |    -1539 | fail
30  60   12  0.90 |  3231     -570  0.58     -60.0 |  3017  -1349.2 |   2139  -1283.4 |     -247     -323 |    -1522 | fail
30  100  2   0.75 |  5636     -945  0.60     -60.0 |  4971  -2343.0 |   3763  -2257.8 |     -360     -585 |    -2631 | fail
30  100  2   0.90 |  5636     -939  0.60     -60.0 |  5146  -2356.7 |   3763  -2257.8 |     -362     -578 |    -2631 | fail
30  100  4   0.75 |  4604     -860  0.55     -60.0 |  4087  -1930.8 |   3104  -1862.4 |     -348     -512 |    -2267 | fail
30  100  4   0.90 |  4604     -868  0.55     -60.0 |  4272  -1945.3 |   3104  -1862.4 |     -365     -503 |    -2256 | fail
30  100  8   0.75 |  3341     -478  0.66     -60.0 |  2951  -1385.1 |   2220  -1332.0 |     -162     -316 |    -1442 | fail
30  100  8   0.90 |  3341     -428  0.69     -60.0 |  3112  -1396.6 |   2220  -1332.0 |     -159     -270 |    -1405 | fail
30  100  12  0.75 |  2852     -460  0.61     -60.0 |  2504  -1180.0 |   1890  -1134.0 |     -157     -302 |    -1328 | fail
30  100  12  0.90 |  2852     -460  0.61     -60.0 |  2660  -1191.1 |   1890  -1134.0 |     -179     -281 |    -1317 | fail
60  38   2   0.75 |  7301    -2057  0.49     -90.0 |  6314  -4042.8 |   4308  -3877.2 |     -799    -1258 |    -4223 | fail
60  38   2   0.90 |  7301    -2028  0.50     -90.0 |  6552  -4062.1 |   4308  -3877.2 |     -778    -1250 |    -4211 | fail
60  38   4   0.75 |  5793    -1704  0.47     -90.0 |  5009  -3212.7 |   3439  -3095.1 |     -728     -977 |    -3410 | fail
60  38   4   0.90 |  5793    -1706  0.47     -90.0 |  5280  -3233.8 |   3439  -3095.1 |     -730     -976 |    -3386 | fail
60  38   8   0.75 |  4146    -1072  0.53     -90.0 |  3566  -2262.0 |   2417  -2175.3 |     -442     -629 |    -2280 | fail
60  38   8   0.90 |  4146    -1019  0.55     -90.0 |  3824  -2280.7 |   2417  -2175.3 |     -431     -588 |    -2227 | fail
60  38   12  0.75 |  3489    -1025  0.47     -90.0 |  2995  -1923.8 |   2050  -1845.0 |     -466     -559 |    -2083 | fail
60  38   12  0.90 |  3489    -1035  0.47     -90.0 |  3233  -1942.2 |   2050  -1845.0 |     -486     -549 |    -2075 | fail
60  60   2   0.75 |  6602    -1796  0.51     -90.0 |  5686  -3638.2 |   3874  -3486.6 |     -717    -1079 |    -3706 | fail
60  60   2   0.90 |  6602    -1783  0.51     -90.0 |  5926  -3656.9 |   3874  -3486.6 |     -715    -1068 |    -3700 | fail
60  60   4   0.75 |  5277    -1498  0.48     -90.0 |  4552  -2903.8 |   3103  -2792.7 |     -629     -869 |    -3125 | fail
60  60   4   0.90 |  5277    -1495  0.49     -90.0 |  4810  -2923.5 |   3103  -2792.7 |     -625     -870 |    -3114 | fail
60  60   8   0.75 |  3808     -891  0.57     -90.0 |  3268  -2068.7 |   2210  -1989.0 |     -364     -528 |    -2043 | fail
