INCREMENT-CASCADE CERT — coin=MANA early=1 bars=31062 thr=0.50% confirm=60bp RT=30/60bp legs=2 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.75 |  3565     -468  0.67     -60.0 |  3091  -1416.6 |   2264  -1358.4 |     -234     -234 |    -1532 | fail
30  38   2   0.90 |  3565     -471  0.67     -60.0 |  3235  -1427.3 |   2264  -1358.4 |     -232     -239 |    -1533 | fail
30  38   4   0.75 |  2770     -433  0.61     -60.0 |  2430  -1106.6 |   1768  -1060.8 |     -230     -203 |    -1256 | fail
30  38   4   0.90 |  2770     -426  0.62     -60.0 |  2550  -1115.9 |   1768  -1060.8 |     -239     -186 |    -1252 | fail
30  38   8   0.75 |  1958     -393  0.51     -60.0 |  1736   -806.4 |   1291   -774.6 |     -189     -204 |     -943 | fail
30  38   8   0.90 |  1958     -387  0.52     -60.0 |  1821   -813.3 |   1291   -774.6 |     -193     -194 |     -941 | fail
30  38   12  0.75 |  1618     -124  0.81     -60.0 |  1402   -659.0 |   1055   -633.0 |      -77      -48 |     -605 | fail
30  38   12  0.90 |  1618     -145  0.78     -60.0 |  1495   -665.8 |   1055   -633.0 |      -90      -55 |     -614 | fail
30  60   2   0.75 |  3375     -432  0.68     -60.0 |  2919  -1340.3 |   2141  -1284.6 |     -221     -210 |    -1428 | fail
30  60   2   0.90 |  3375     -422  0.69     -60.0 |  3064  -1351.3 |   2141  -1284.6 |     -209     -214 |    -1429 | fail
30  60   4   0.75 |  2625     -400  0.62     -60.0 |  2291  -1044.5 |   1670  -1002.0 |     -216     -184 |    -1127 | fail
30  60   4   0.90 |  2625     -402  0.62     -60.0 |  2410  -1053.6 |   1670  -1002.0 |     -220     -181 |    -1124 | fail
30  60   8   0.75 |  1870     -369  0.52     -60.0 |  1652   -773.9 |   1241   -744.6 |     -182     -187 |     -907 | fail
30  60   8   0.90 |  1870     -373  0.52     -60.0 |  1740   -780.7 |   1241   -744.6 |     -186     -187 |     -912 | fail
30  60   12  0.75 |  1552     -126  0.80     -60.0 |  1342   -641.0 |   1030   -618.0 |     -108      -18 |     -589 | fail
30  60   12  0.90 |  1552     -148  0.77     -60.0 |  1437   -647.9 |   1030   -618.0 |     -124      -24 |     -595 | fail
30  100  2   0.75 |  3096     -389  0.69     -60.0 |  2691  -1235.3 |   1976  -1185.6 |     -216     -173 |    -1281 | fail
30  100  2   0.90 |  3096     -393  0.68     -60.0 |  2809  -1244.5 |   1976  -1185.6 |     -218     -175 |    -1280 | fail
30  100  4   0.75 |  2415     -345  0.64     -60.0 |  2111   -968.1 |   1549   -929.4 |     -180     -165 |     -997 | fail
30  100  4   0.90 |  2415     -350  0.64     -60.0 |  2219   -976.3 |   1549   -929.4 |     -191     -159 |     -992 | fail
30  100  8   0.75 |  1742     -277  0.61     -60.0 |  1533   -718.8 |   1153   -691.8 |     -125     -152 |     -757 | fail
30  100  8   0.90 |  1742     -284  0.61     -60.0 |  1620   -725.5 |   1153   -691.8 |     -125     -160 |     -757 | fail
30  100  12  0.75 |  1449     -153  0.74     -60.0 |  1265   -592.9 |    950   -570.0 |     -100      -53 |     -534 | fail
30  100  12  0.90 |  1449     -170  0.72     -60.0 |  1347   -598.5 |    950   -570.0 |     -108      -63 |     -546 | fail
60  38   2   0.75 |  3565     -761  0.59     -90.0 |  3008  -1876.1 |   1993  -1793.7 |     -354     -407 |    -1815 | fail
60  38   2   0.90 |  3565     -761  0.60     -90.0 |  3174  -1888.3 |   1993  -1793.7 |     -348     -413 |    -1816 | fail
60  38   4   0.75 |  2770     -660  0.55     -90.0 |  2376  -1461.6 |   1551  -1395.9 |     -333     -328 |    -1473 | fail
60  38   4   0.90 |  2770     -656  0.55     -90.0 |  2514  -1472.5 |   1551  -1395.9 |     -343     -312 |    -1468 | fail
60  38   8   0.75 |  1958     -612  0.43     -90.0 |  1706  -1068.1 |   1139  -1025.1 |     -286     -327 |    -1144 | fail
60  38   8   0.90 |  1958     -608  0.43     -90.0 |  1806  -1076.1 |   1139  -1025.1 |     -290     -318 |    -1142 | fail
60  38   12  0.75 |  1618     -284  0.67     -90.0 |  1375   -866.8 |    918   -826.2 |     -136     -148 |     -755 | fail
60  38   12  0.90 |  1618     -308  0.65     -90.0 |  1482   -874.8 |    918   -826.2 |     -151     -157 |     -766 | fail
60  60   2   0.75 |  3375     -687  0.61     -90.0 |  2838  -1781.7 |   1894  -1704.6 |     -326     -362 |    -1688 | fail
60  60   2   0.90 |  3375     -682  0.62     -90.0 |  3006  -1794.2 |   1894  -1704.6 |     -316     -366 |    -1689 | fail
60  60   4   0.75 |  2625     -595  0.57     -90.0 |  2236  -1377.2 |   1464  -1317.6 |     -293     -302 |    -1344 | fail
60  60   4   0.90 |  2625     -598  0.57     -90.0 |  2369  -1387.5 |   1464  -1317.6 |     -298     -300 |    -1340 | fail
60  60   8   0.75 |  1870     -541  0.47     -90.0 |  1616  -1020.5 |   1090   -981.0 |     -266     -275 |    -1057 | fail
60  60   8   0.90 |  1870     -547  0.47     -90.0 |  1719  -1028.2 |   1090   -981.0 |     -270     -277 |    -1060 | fail
60  60   12  0.75 |  1552     -240  0.71     -90.0 |  1304   -835.9 |    889   -800.1 |     -148      -93 |     -700 | fail
60  60   12  0.90 |  1552     -265  0.69     -90.0 |  1415   -844.1 |    889   -800.1 |     -166     -100 |     -710 | fail
