INCREMENT-CASCADE CERT — coin=NEAR early=1 bars=48569 thr=1.00% confirm=60bp RT=30/60bp legs=3 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.75 |  7374     -644  0.78     -87.8 |  6217  -2932.5 |   4710  -2826.0 |     -210     -434 |    -2858 | fail
30  38   2   0.90 |  7374     -676  0.77     -87.8 |  6735  -2973.2 |   4710  -2826.0 |     -227     -449 |    -2831 | fail
30  38   4   0.75 |  5904     -150  0.94     -87.8 |  4991  -2357.6 |   3783  -2269.8 |     +145     -295 |    -1986 | fail
30  38   4   0.90 |  5904     -134  0.94     -87.8 |  5406  -2389.6 |   3783  -2269.8 |     +162     -296 |    -1949 | fail
30  38   8   0.75 |  4298     +368  1.22     -87.8 |  3646  -1697.8 |   2714  -1628.4 |     +448      -80 |    -1004 | fail
30  38   8   0.90 |  4298     +477  1.28     -87.8 |  3927  -1719.8 |   2714  -1628.4 |     +529      -52 |     -897 | fail
30  38   12  0.75 |  3588     -195  0.86     -60.0 |  2991  -1410.4 |   2259  -1355.4 |       +7     -203 |    -1303 | fail
30  38   12  0.90 |  3588     -110  0.92     -60.0 |  3271  -1429.8 |   2259  -1355.4 |      +54     -164 |    -1216 | fail
30  60   2   0.75 |  6871     -627  0.77     -87.8 |  5800  -2722.9 |   4368  -2620.8 |     -233     -394 |    -2616 | fail
30  60   2   0.90 |  6871     -630  0.77     -87.8 |  6287  -2760.3 |   4368  -2620.8 |     -242     -388 |    -2589 | fail
30  60   4   0.75 |  5538     -177  0.92     -87.8 |  4679  -2206.5 |   3540  -2124.0 |     +117     -294 |    -1848 | fail
30  60   4   0.90 |  5538     -102  0.95     -87.8 |  5060  -2235.5 |   3540  -2124.0 |     +163     -265 |    -1799 | fail
30  60   8   0.75 |  4062     +356  1.22     -87.8 |  3424  -1593.0 |   2551  -1530.6 |     +374      -18 |     -995 | fail
30  60   8   0.90 |  4062     +450  1.28     -87.8 |  3694  -1613.6 |   2551  -1530.6 |     +427      +23 |     -928 | fail
30  60   12  0.75 |  3398     -217  0.84     -60.0 |  2851  -1340.3 |   2148  -1288.8 |      -23     -194 |    -1200 | fail
30  60   12  0.90 |  3398     -143  0.89     -60.0 |  3114  -1358.9 |   2148  -1288.8 |      +11     -154 |    -1125 | fail
30  100  2   0.75 |  6191     -402  0.84     -87.8 |  5219  -2466.7 |   3961  -2376.6 |      -91     -311 |    -2285 | fail
30  100  2   0.90 |  6191     -400  0.84     -87.8 |  5632  -2498.2 |   3961  -2376.6 |     -105     -295 |    -2305 | fail
30  100  4   0.75 |  5026     -174  0.91     -87.8 |  4260  -2007.3 |   3218  -1930.8 |      +28     -203 |    -1752 | fail
30  100  4   0.90 |  5026      -34  0.98     -87.8 |  4591  -2032.2 |   3218  -1930.8 |     +106     -139 |    -1697 | fail
30  100  8   0.75 |  3704     +150  1.10     -87.8 |  3138  -1463.7 |   2343  -1405.8 |     +229      -78 |     -941 | fail
30  100  8   0.90 |  3704     +214  1.14     -87.8 |  3392  -1482.6 |   2343  -1405.8 |     +282      -67 |     -866 | fail
30  100  12  0.75 |  3122     -250  0.80     -60.0 |  2615  -1233.6 |   1976  -1185.6 |      -80     -170 |    -1221 | fail
30  100  12  0.90 |  3122     -205  0.84     -60.0 |  2865  -1251.5 |   1976  -1185.6 |      -58     -147 |    -1173 | fail
60  38   2   0.75 |  7374    -1401  0.65     -90.0 |  6066  -4028.0 |   4340  -3906.0 |     -654     -746 |    -3606 | fail
60  38   2   0.90 |  7374    -1430  0.65     -90.0 |  6639  -4072.3 |   4340  -3906.0 |     -663     -767 |    -3568 | fail
60  38   4   0.75 |  5904     -750  0.77     -90.0 |  4868  -3228.5 |   3474  -3126.6 |     -168     -582 |    -2612 | fail
60  38   4   0.90 |  5904     -737  0.77     -90.0 |  5337  -3264.3 |   3474  -3126.6 |     -149     -588 |    -2572 | fail
60  38   8   0.75 |  4298      -91  0.96     -90.0 |  3556  -2312.9 |   2477  -2229.3 |     +189     -280 |    -1456 | fail
60  38   8   0.90 |  4298      +18  1.01     -90.0 |  3884  -2337.8 |   2477  -2229.3 |     +270     -252 |    -1354 | fail
60  38   12  0.75 |  3588     -557  0.71     -90.0 |  2909  -1923.6 |   2065  -1858.5 |     -202     -355 |    -1691 | fail
60  38   12  0.90 |  3588     -441  0.77     -90.0 |  3232  -1946.1 |   2065  -1858.5 |     -135     -305 |    -1592 | fail
60  60   2   0.75 |  6871    -1373  0.63     -90.0 |  5672  -3746.8 |   4034  -3630.6 |     -647     -726 |    -3344 | fail
60  60   2   0.90 |  6871    -1367  0.64     -90.0 |  6208  -3787.6 |   4034  -3630.6 |     -649     -719 |    -3305 | fail
60  60   4   0.75 |  5538     -768  0.75     -90.0 |  4579  -3033.9 |   3264  -2937.6 |     -214     -554 |    -2426 | fail
60  60   4   0.90 |  5538     -689  0.78     -90.0 |  5000  -3065.6 |   3264  -2937.6 |     -157     -532 |    -2382 | fail
60  60   8   0.75 |  4062      -79  0.96     -90.0 |  3333  -2163.7 |   2321  -2088.9 |     +129     -208 |    -1422 | fail
60  60   8   0.90 |  4062       +7  1.00     -90.0 |  3653  -2188.2 |   2321  -2088.9 |     +175     -168 |    -1359 | fail
60  60   12  0.75 |  3398     -580  0.68     -90.0 |  2780  -1829.5 |   1963  -1766.7 |     -229     -351 |    -1571 | fail
60  60   12  0.90 |  3398     -491  0.73     -90.0 |  3077  -1850.7 |   1963  -1766.7 |     -188     -302 |    -1493 | fail
60  100  2   0.75 |  6191    -1018  0.70     -90.0 |  5089  -3389.7 |   3653  -3287.7 |     -433     -585 |    -2921 | fail
60  100  2   0.90 |  6191    -1018  0.70     -90.0 |  5555  -3425.2 |   3653  -3287.7 |     -442     -577 |    -2934 | fail
60  100  4   0.75 |  5026     -628  0.77     -90.0 |  4160  -2739.1 |   2944  -2649.6 |     -197     -431 |    -2231 | fail
60  100  4   0.90 |  5026     -481  0.83     -90.0 |  4531  -2767.1 |   2944  -2649.6 |     -118     -363 |    -2163 | fail
60  100  8   0.75 |  3704     -244  0.88     -90.0 |  3056  -1997.7 |   2144  -1929.6 |      -30     -214 |    -1384 | fail
60  100  8   0.90 |  3704     -175  0.91     -90.0 |  3350  -2019.5 |   2144  -1929.6 |      +22     -198 |    -1304 | fail
60  100  12  0.75 |  3122     -495  0.71     -90.0 |  2549  -1688.8 |   1814  -1632.6 |     -161     -334 |    -1467 | fail
60  100  12  0.90 |  3122     -438  0.74     -90.0 |  2832  -1709.1 |   1814  -1632.6 |     -132     -306 |    -1413 | fail
