INCREMENT-CASCADE CERT — coin=OP early=1 bars=36190 thr=1.00% confirm=60bp RT=30/60bp legs=3 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.75 |  5035     -158  0.92     -60.1 |  4349  -2086.6 |   3362  -2017.2 |     +215     -373 |    -1700 | fail
30  38   2   0.90 |  5035     -132  0.94     -60.1 |  4587  -2104.1 |   3362  -2017.2 |     +255     -387 |    -1683 | fail
30  38   4   0.75 |  4209     -104  0.94     -60.0 |  3651  -1748.2 |   2812  -1687.2 |     +208     -312 |    -1406 | fail
30  38   4   0.90 |  4209     -149  0.92     -60.0 |  3864  -1763.8 |   2812  -1687.2 |     +196     -345 |    -1423 | fail
30  38   8   0.75 |  3122     -115  0.91     -76.7 |  2698  -1272.9 |   2038  -1222.8 |     +188     -303 |    -1092 | fail
30  38   8   0.90 |  3122      -80  0.94     -76.7 |  2888  -1286.6 |   2038  -1222.8 |     +239     -319 |    -1092 | fail
30  38   12  0.75 |  2562     -217  0.80     -76.7 |  2233  -1063.5 |   1705  -1023.0 |      +46     -263 |     -949 | fail
30  38   12  0.90 |  2562     -183  0.83     -76.7 |  2372  -1073.5 |   1705  -1023.0 |     +104     -287 |     -924 | fail
30  60   2   0.75 |  4704      -94  0.95     -60.0 |  4033  -1938.7 |   3126  -1875.6 |     +220     -314 |    -1524 | fail
30  60   2   0.90 |  4704      -95  0.95     -60.0 |  4266  -1956.1 |   3126  -1875.6 |     +231     -326 |    -1493 | fail
30  60   4   0.75 |  3947      -11  0.99     -60.1 |  3389  -1626.3 |   2617  -1570.2 |     +239     -250 |    -1220 | fail
30  60   4   0.90 |  3947      -30  0.98     -60.1 |  3600  -1641.6 |   2617  -1570.2 |     +234     -265 |    -1235 | fail
30  60   8   0.75 |  2944     -146  0.88     -95.3 |  2542  -1208.4 |   1939  -1163.4 |     +169     -314 |    -1039 | fail
30  60   8   0.90 |  2944     -107  0.91     -95.3 |  2729  -1221.2 |   1939  -1163.4 |     +212     -319 |    -1047 | fail
30  60   12  0.75 |  2427     -127  0.87     -95.3 |  2106  -1002.8 |   1609   -965.4 |     +124     -250 |     -857 | fail
30  60   12  0.90 |  2427      -74  0.93     -95.3 |  2240  -1012.1 |   1609   -965.4 |     +194     -268 |     -854 | fail
