INCREMENT-CASCADE CERT — coin=RUNE early=1 bars=31062 thr=0.50% confirm=60bp RT=30/60bp legs=3 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.75 |  4924      -90  0.95     -60.0 |  4089  -1865.3 |   2977  -1786.2 |     +115     -205 |    -1597 | fail
30  38   2   0.90 |  4924      -89  0.95     -60.0 |  4311  -1884.9 |   2977  -1786.2 |     +110     -199 |    -1597 | fail
30  38   4   0.75 |  3817     +259  1.18     -60.0 |  3151  -1444.3 |   2302  -1381.2 |     +253       +6 |     -924 | fail
30  38   4   0.90 |  3817     +232  1.16     -60.0 |  3369  -1461.2 |   2302  -1381.2 |     +229       +3 |     -938 | fail
30  38   8   0.75 |  2823     +166  1.15     -60.0 |  2350  -1082.9 |   1725  -1035.0 |     +239      -73 |     -745 | fail
30  38   8   0.90 |  2823     +202  1.18     -60.0 |  2539  -1095.4 |   1725  -1035.0 |     +248      -46 |     -717 | fail
30  38   12  0.75 |  2252     +320  1.37     -60.0 |  1864   -857.5 |   1370   -822.0 |     +288      +32 |     -427 | fail
30  38   12  0.90 |  2252     +329  1.38     -60.0 |  2028   -869.6 |   1370   -822.0 |     +282      +47 |     -424 | fail
30  60   2   0.75 |  4527      -65  0.96     -60.0 |  3771  -1718.5 |   2741  -1644.6 |     +104     -169 |    -1382 | fail
30  60   2   0.90 |  4527      -63  0.96     -60.0 |  3969  -1735.4 |   2741  -1644.6 |     +101     -164 |    -1376 | fail
30  60   4   0.75 |  3509     +205  1.15     -60.0 |  2901  -1332.8 |   2126  -1275.6 |     +221      -15 |     -790 | fail
30  60   4   0.90 |  3509     +189  1.14     -60.0 |  3102  -1348.8 |   2126  -1275.6 |     +208      -18 |     -794 | fail
30  60   8   0.75 |  2614      +85  1.09     -60.0 |  2189  -1001.3 |   1596   -957.6 |     +187     -101 |     -717 | fail
30  60   8   0.90 |  2614     +115  1.11     -60.0 |  2365  -1013.6 |   1596   -957.6 |     +187      -73 |     -701 | fail
30  60   12  0.75 |  2100     +188  1.24     -60.0 |  1744   -796.0 |   1270   -762.0 |     +153      +36 |     -418 | fail
30  60   12  0.90 |  2100     +176  1.22     -60.0 |  1909   -808.1 |   1270   -762.0 |     +152      +24 |     -394 | fail
30  100  2   0.75 |  3970      -58  0.96     -60.0 |  3321  -1527.1 |   2437  -1462.2 |      +93     -152 |    -1229 | fail
30  100  2   0.90 |  3970      -43  0.97     -60.0 |  3481  -1540.8 |   2437  -1462.2 |      +99     -142 |    -1217 | fail
30  100  4   0.75 |  3101     +248  1.21     -60.0 |  2561  -1179.0 |   1882  -1129.2 |     +233      +15 |     -615 | fail
