INCREMENT-CASCADE CERT — coin=SAND early=1 bars=31062 thr=2.00% confirm=60bp RT=30/60bp legs=2 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.75 |   886      +74  1.20     -60.0 |   752   -364.3 |    588   -352.8 |      +25      +49 |     -197 | fail
30  38   2   0.90 |   886     +138  1.37     -60.0 |   814   -368.8 |    588   -352.8 |      +79      +59 |     -130 | fail
30  38   4   0.75 |  1040      -55  0.87     -60.0 |   907   -425.8 |    684   -410.4 |      -19      -36 |     -340 | fail
30  38   4   0.90 |  1040      -42  0.90     -60.0 |   969   -430.3 |    684   -410.4 |      -33       -9 |     -317 | fail
30  38   8   0.75 |   968       +0  1.00     -60.0 |   849   -402.4 |    647   -388.2 |       +5       -5 |     -239 | fail
30  38   8   0.90 |   968       -6  0.99     -60.0 |   906   -406.2 |    647   -388.2 |       +7      -13 |     -241 | fail
30  38   12  0.75 |   888     -155  0.56     -60.0 |   768   -355.0 |    567   -340.2 |     -109      -46 |     -404 | fail
30  38   12  0.90 |   888     -146  0.59     -60.0 |   833   -359.6 |    567   -340.2 |     -110      -36 |     -399 | fail
30  60   2   0.75 |   870      +48  1.13     -60.0 |   739   -360.0 |    582   -349.2 |      +43       +4 |     -199 | fail
30  60   2   0.90 |   870     +136  1.37     -60.0 |   803   -364.4 |    582   -349.2 |     +108      +29 |     -116 | fail
30  60   4   0.75 |  1018      -41  0.90     -60.0 |   880   -415.9 |    668   -400.8 |      -15      -26 |     -340 | fail
30  60   4   0.90 |  1018      -32  0.92     -60.0 |   950   -421.0 |    668   -400.8 |      -28       -4 |     -320 | fail
30  60   8   0.75 |   940      +35  1.09     -60.0 |   817   -381.3 |    612   -367.2 |      +75      -40 |     -213 | fail
30  60   8   0.90 |   940      +55  1.14     -60.0 |   875   -385.7 |    612   -367.2 |      +78      -24 |     -216 | fail
30  60   12  0.75 |   870     -130  0.63     -60.0 |   756   -349.0 |    559   -335.4 |     -112      -18 |     -376 | fail
