INCREMENT-CASCADE CERT — coin=SOL early=1 bars=48569 thr=1.00% confirm=60bp RT=30/60bp legs=2 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.75 |  4557     -128  0.93    -140.7 |  3861  -1817.1 |   2912  -1747.2 |     +358     -485 |    -1454 | fail
30  38   2   0.90 |  4557     -132  0.93    -140.7 |  4120  -1836.7 |   2912  -1747.2 |     +345     -477 |    -1465 | fail
30  38   4   0.75 |  3792       -6  1.00     -91.5 |  3211  -1498.5 |   2402  -1441.2 |     +345     -350 |    -1146 | fail
30  38   4   0.90 |  3792      +10  1.01     -91.5 |  3453  -1516.5 |   2402  -1441.2 |     +349     -340 |    -1145 | fail
30  38   8   0.75 |  2796     -156  0.86     -91.5 |  2386  -1145.4 |   1841  -1104.6 |     +140     -297 |     -998 | fail
30  38   8   0.90 |  2796     -179  0.85     -91.5 |  2550  -1157.2 |   1841  -1104.6 |     +121     -301 |    -1015 | fail
30  38   12  0.75 |  2266      +21  1.02     -91.5 |  1876   -886.9 |   1422   -853.2 |     +142     -122 |     -713 | fail
30  38   12  0.90 |  2266      +73  1.08     -91.5 |  2034   -898.8 |   1422   -853.2 |     +166      -93 |     -661 | fail
30  60   2   0.75 |  4398     -104  0.94    -140.7 |  3726  -1758.4 |   2819  -1691.4 |     +381     -485 |    -1414 | fail
30  60   2   0.90 |  4398     -118  0.93    -140.7 |  3980  -1777.5 |   2819  -1691.4 |     +365     -482 |    -1430 | fail
30  60   4   0.75 |  3673      -69  0.95     -91.5 |  3125  -1475.9 |   2368  -1420.8 |     +297     -366 |    -1154 | fail
30  60   4   0.90 |  3673      -69  0.95     -91.5 |  3350  -1491.8 |   2368  -1420.8 |     +286     -355 |    -1159 | fail
30  60   8   0.75 |  2703     -193  0.82     -91.5 |  2305  -1100.5 |   1766  -1059.6 |     +112     -305 |     -938 | fail
30  60   8   0.90 |  2703     -214  0.81     -91.5 |  2467  -1112.2 |   1766  -1059.6 |      +93     -307 |     -957 | fail
30  60   12  0.75 |  2195      -28  0.97     -91.5 |  1824   -865.0 |   1390   -834.0 |     +119     -147 |     -696 | fail
30  60   12  0.90 |  2195       -0  1.00     -91.5 |  1978   -876.3 |   1390   -834.0 |     +121     -121 |     -686 | fail
