INCREMENT-CASCADE CERT — coin=SUI early=1 bars=28123 thr=1.00% confirm=60bp RT=30/60bp legs=2 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.75 |  2695     -149  0.86     -60.0 |  2327  -1099.7 |   1765  -1059.0 |     -113      -36 |     -849 | fail
30  38   2   0.90 |  2695     -157  0.86     -60.0 |  2477  -1111.6 |   1765  -1059.0 |     -125      -33 |     -848 | fail
30  38   4   0.75 |  2239     -190  0.80     -60.0 |  1937   -937.2 |   1514   -908.4 |     -106      -84 |     -877 | fail
30  38   4   0.90 |  2239     -211  0.78     -60.0 |  2069   -946.9 |   1514   -908.4 |     -118      -92 |     -885 | fail
30  38   8   0.75 |  1631      -60  0.91     -60.0 |  1407   -663.8 |   1063   -637.8 |      -15      -46 |     -569 | fail
30  38   8   0.90 |  1631      -59  0.91     -60.0 |  1520   -672.4 |   1063   -637.8 |       -1      -58 |     -579 | fail
30  38   12  0.75 |  1351      -55  0.90     -60.0 |  1169   -562.8 |    904   -542.4 |      -11      -44 |     -462 | fail
30  38   12  0.90 |  1351       -1  1.00     -60.0 |  1250   -569.2 |    904   -542.4 |      +29      -30 |     -432 | fail
30  60   2   0.75 |  2580      -74  0.93     -60.0 |  2219  -1058.6 |   1704  -1022.4 |     -115      +41 |     -840 | fail
30  60   2   0.90 |  2580      -94  0.91     -60.0 |  2367  -1070.7 |   1704  -1022.4 |     -130      +35 |     -840 | fail
30  60   4   0.75 |  2145     -149  0.83     -60.0 |  1858   -893.4 |   1440   -864.0 |     -123      -27 |     -791 | fail
30  60   4   0.90 |  2145     -178  0.80     -60.0 |  1983   -902.9 |   1440   -864.0 |     -136      -43 |     -804 | fail
30  60   8   0.75 |  1580      -16  0.98     -60.0 |  1357   -639.0 |   1023   -613.8 |      +19      -35 |     -528 | fail
30  60   8   0.90 |  1580      -20  0.97     -60.0 |  1466   -647.1 |   1023   -613.8 |      +24      -44 |     -538 | fail
30  60   12  0.75 |  1294      +14  1.03     -60.0 |  1119   -536.2 |    861   -516.6 |      +22       -8 |     -433 | fail
30  60   12  0.90 |  1294      +43  1.08     -60.0 |  1193   -541.8 |    861   -516.6 |      +36       +7 |     -409 | fail
30  100  2   0.75 |  2413     -154  0.84     -60.0 |  2080   -980.2 |   1571   -942.6 |     -132      -22 |     -802 | fail
30  100  2   0.90 |  2413     -157  0.84     -60.0 |  2225   -991.8 |   1571   -942.6 |     -135      -22 |     -801 | fail
30  100  4   0.75 |  2022     -208  0.75     -60.0 |  1755   -842.4 |   1358   -814.8 |     -112      -96 |     -824 | fail
30  100  4   0.90 |  2022     -214  0.75     -60.0 |  1874   -851.4 |   1358   -814.8 |     -109     -104 |     -825 | fail
30  100  8   0.75 |  1507      -71  0.88     -60.0 |  1289   -614.7 |    987   -592.2 |      +12      -84 |     -523 | fail
30  100  8   0.90 |  1507      -77  0.88     -60.0 |  1401   -623.1 |    987   -592.2 |       +7      -83 |     -528 | fail
30  100  12  0.75 |  1221      -25  0.95     -60.0 |  1046   -507.6 |    818   -490.8 |      +30      -55 |     -394 | fail
30  100  12  0.90 |  1221      +19  1.04     -60.0 |  1124   -513.7 |    818   -490.8 |      +67      -48 |     -351 | fail
60  38   2   0.75 |  2695     -394  0.74     -90.0 |  2273  -1498.6 |   1610  -1449.0 |     -247     -146 |    -1057 | fail
60  38   2   0.90 |  2695     -394  0.74     -90.0 |  2442  -1512.1 |   1610  -1449.0 |     -260     -134 |    -1042 | fail
60  38   4   0.75 |  2239     -431  0.66     -90.0 |  1897  -1282.4 |   1385  -1246.5 |     -240     -191 |    -1064 | fail
60  38   4   0.90 |  2239     -453  0.65     -90.0 |  2042  -1292.6 |   1385  -1246.5 |     -255     -198 |    -1073 | fail
60  38   8   0.75 |  1631     -212  0.76     -90.0 |  1374   -893.7 |    957   -861.3 |     -108     -104 |     -730 | fail
60  38   8   0.90 |  1631     -213  0.76     -90.0 |  1501   -903.2 |    957   -861.3 |      -94     -120 |     -741 | fail
60  38   12  0.75 |  1351     -162  0.79     -90.0 |  1136   -755.4 |    810   -729.0 |      -78      -84 |     -583 | fail
60  38   12  0.90 |  1351     -107  0.86     -90.0 |  1228   -762.5 |    810   -729.0 |      -34      -74 |     -549 | fail
60  60   2   0.75 |  2580     -338  0.77     -90.0 |  2161  -1443.3 |   1555  -1399.5 |     -255      -82 |    -1073 | fail
60  60   2   0.90 |  2580     -351  0.76     -90.0 |  2331  -1457.3 |   1555  -1399.5 |     -271      -79 |    -1064 | fail
60  60   4   0.75 |  2145     -377  0.69     -90.0 |  1819  -1218.6 |   1314  -1182.6 |     -236     -141 |     -991 | fail
60  60   4   0.90 |  2145     -406  0.67     -90.0 |  1959  -1229.0 |   1314  -1182.6 |     -250     -156 |    -1004 | fail
60  60   8   0.75 |  1580     -171  0.80     -90.0 |  1326   -857.2 |    918   -826.2 |      -85      -86 |     -690 | fail
60  60   8   0.90 |  1580     -176  0.80     -90.0 |  1447   -865.9 |    918   -826.2 |      -79      -97 |     -700 | fail
60  60   12  0.75 |  1294      -77  0.89     -90.0 |  1080   -715.3 |    767   -690.3 |      -41      -36 |     -538 | fail
60  60   12  0.90 |  1294      -46  0.94     -90.0 |  1170   -721.8 |    767   -690.3 |      -23      -22 |     -509 | fail
60  100  2   0.75 |  2413     -385  0.71     -90.0 |  2023  -1327.0 |   1425  -1282.5 |     -245     -140 |    -1020 | fail
60  100  2   0.90 |  2413     -374  0.72     -90.0 |  2186  -1340.1 |   1425  -1282.5 |     -247     -127 |    -1007 | fail
60  100  4   0.75 |  2022     -378  0.67     -90.0 |  1710  -1140.9 |   1230  -1107.0 |     -193     -185 |     -981 | fail
60  100  4   0.90 |  2022     -387  0.66     -90.0 |  1841  -1150.6 |   1230  -1107.0 |     -194     -193 |     -984 | fail
60  100  8   0.75 |  1507     -226  0.73     -90.0 |  1259   -825.4 |    886   -797.4 |      -85     -141 |     -686 | fail
60  100  8   0.90 |  1507     -229  0.73     -90.0 |  1383   -834.7 |    886   -797.4 |      -86     -143 |     -691 | fail
60  100  12  0.75 |  1221     -122  0.82     -90.0 |  1014   -675.7 |    726   -653.4 |      -33      -89 |     -469 | fail
60  100  12  0.90 |  1221      -77  0.89     -90.0 |  1104   -682.7 |    726   -653.4 |       +6      -83 |     -424 | fail
