INCREMENT-CASCADE CERT — coin=SUSHI early=1 bars=31062 thr=1.00% confirm=60bp RT=30/60bp legs=2 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.75 |  2709     -119  0.89     -60.0 |  2312  -1075.2 |   1724  -1034.4 |      -87      -31 |     -915 | fail
30  38   2   0.90 |  2709      -95  0.91     -60.0 |  2458  -1086.7 |   1724  -1034.4 |      -79      -16 |     -906 | fail
30  38   4   0.75 |  2318      -74  0.92     -60.0 |  1994   -930.0 |   1491   -894.6 |     -114      +40 |     -756 | fail
30  38   4   0.90 |  2318      -59  0.94     -60.0 |  2117   -939.5 |   1491   -894.6 |     -112      +53 |     -743 | fail
30  38   8   0.75 |  1757      -37  0.95     -60.0 |  1510   -710.5 |   1137   -682.2 |     -114      +77 |     -532 | fail
30  38   8   0.90 |  1757      -66  0.91     -60.0 |  1616   -718.9 |   1137   -682.2 |     -132      +66 |     -554 | fail
30  38   12  0.75 |  1415      +67  1.12     -60.0 |  1230   -560.1 |    893   -535.8 |      -64     +131 |     -426 | fail
30  38   12  0.90 |  1415      +94  1.17     -60.0 |  1313   -565.9 |    893   -535.8 |      -78     +172 |     -401 | fail
30  60   2   0.75 |  2611     -107  0.90     -60.0 |  2235  -1040.1 |   1669  -1001.4 |      -57      -49 |     -931 | fail
30  60   2   0.90 |  2611      -96  0.91     -60.0 |  2369  -1050.4 |   1669  -1001.4 |      -55      -41 |     -928 | fail
30  60   4   0.75 |  2232      -40  0.95     -60.0 |  1927   -889.5 |   1422   -853.2 |      -78      +38 |     -754 | fail
30  60   4   0.90 |  2232      -33  0.96     -60.0 |  2038   -897.3 |   1422   -853.2 |      -75      +42 |     -742 | fail
30  60   8   0.75 |  1698      +14  1.02     -60.0 |  1451   -688.4 |   1104   -662.4 |      -68      +82 |     -490 | fail
30  60   8   0.90 |  1698      -33  0.95     -60.0 |  1553   -696.1 |   1104   -662.4 |      -89      +56 |     -512 | fail
30  60   12  0.75 |  1369      +57  1.11     -60.0 |  1188   -545.1 |    871   -522.6 |      -62     +119 |     -394 | fail
30  60   12  0.90 |  1369      +88  1.16     -60.0 |  1270   -550.8 |    871   -522.6 |      -76     +164 |     -392 | fail
30  100  2   0.75 |  2455     -141  0.85     -60.0 |  2101   -971.7 |   1557   -934.2 |      -69      -72 |     -826 | fail
30  100  2   0.90 |  2455     -128  0.87     -60.0 |  2231   -982.1 |   1557   -934.2 |      -64      -64 |     -818 | fail
30  100  4   0.75 |  2088      -19  0.98     -60.0 |  1803   -831.2 |   1331   -798.6 |      -96      +77 |     -626 | fail
30  100  4   0.90 |  2088       -2  1.00     -60.0 |  1899   -839.0 |   1331   -798.6 |      -86      +84 |     -609 | fail
