INCREMENT-CASCADE CERT — coin=THETA early=1 bars=31062 thr=2.00% confirm=60bp RT=30/60bp legs=2 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.75 |  1057      -45  0.89     -60.0 |   913   -407.0 |    648   -388.8 |      -24      -21 |     -387 | fail
30  38   2   0.90 |  1057      -59  0.86     -60.0 |   977   -411.8 |    648   -388.8 |      -30      -29 |     -394 | fail
30  38   4   0.75 |  1222      +34  1.07     -60.0 |  1041   -477.7 |    762   -457.2 |      +93      -59 |     -356 | fail
30  38   4   0.90 |  1222      +65  1.13     -60.0 |  1130   -484.2 |    762   -457.2 |     +130      -66 |     -323 | fail
30  38   8   0.75 |  1130      -83  0.82     -60.0 |   974   -459.4 |    735   -441.0 |      -31      -53 |     -458 | fail
30  38   8   0.90 |  1130      -54  0.88     -60.0 |  1052   -465.2 |    735   -441.0 |       +0      -54 |     -436 | fail
30  38   12  0.75 |   991     -141  0.64     -64.1 |   862   -388.2 |    614   -368.4 |      -40     -101 |     -430 | fail
30  38   12  0.90 |   991     -120  0.69     -64.1 |   912   -392.0 |    614   -368.4 |      -22      -98 |     -399 | fail
30  60   2   0.75 |  1027      -64  0.84     -60.0 |   885   -395.7 |    630   -378.0 |       -4      -60 |     -388 | fail
30  60   2   0.90 |  1027      -80  0.80     -60.0 |   952   -400.7 |    630   -378.0 |      -24      -57 |     -387 | fail
30  60   4   0.75 |  1186       +4  1.01     -60.0 |  1009   -462.0 |    735   -441.0 |      +77      -72 |     -368 | fail
30  60   4   0.90 |  1186      +25  1.05     -60.0 |  1099   -468.0 |    735   -441.0 |     +104      -79 |     -347 | fail
30  60   8   0.75 |  1094      -68  0.85     -60.0 |   948   -445.5 |    712   -427.2 |      -15      -54 |     -404 | fail
30  60   8   0.90 |  1094      -49  0.89     -60.0 |  1019   -450.5 |    712   -427.2 |       +5      -53 |     -377 | fail
30  60   12  0.75 |   964     -103  0.73     -60.0 |   833   -379.3 |    603   -361.8 |      -13      -90 |     -397 | fail
30  60   12  0.90 |   964      -87  0.77     -60.0 |   884   -383.0 |    603   -361.8 |       +3      -90 |     -387 | fail
30  100  2   0.75 |   987      -74  0.81     -60.0 |   846   -394.1 |    632   -379.2 |      -30      -44 |     -357 | fail
30  100  2   0.90 |   987      -85  0.79     -60.0 |   915   -399.2 |    632   -379.2 |      -45      -40 |     -360 | fail
30  100  4   0.75 |  1143      -29  0.94     -60.0 |   975   -453.8 |    724   -434.4 |      +55      -84 |     -403 | fail
30  100  4   0.90 |  1143      -29  0.94     -60.0 |  1061   -459.8 |    724   -434.4 |      +61      -90 |     -395 | fail
30  100  8   0.75 |  1047      -28  0.93     -60.0 |   895   -429.0 |    688   -412.8 |       +8      -36 |     -397 | fail
30  100  8   0.90 |  1047      -22  0.95     -60.0 |   965   -434.3 |    688   -412.8 |      +15      -36 |     -397 | fail
30  100  12  0.75 |   931     -105  0.72     -60.0 |   808   -370.4 |    589   -353.4 |       +1     -106 |     -418 | fail
30  100  12  0.90 |   931     -102  0.73     -60.0 |   857   -374.1 |    589   -353.4 |       +7     -109 |     -413 | fail
60  38   2   0.75 |  1057     -156  0.72     -90.0 |   899   -554.2 |    592   -532.8 |      -64      -92 |     -487 | fail
60  38   2   0.90 |  1057     -168  0.70     -90.0 |   968   -559.6 |    592   -532.8 |      -71      -97 |     -495 | fail
60  38   4   0.75 |  1222      -69  0.89     -90.0 |  1022   -645.7 |    691   -621.9 |      +71     -140 |     -441 | fail
60  38   4   0.90 |  1222      -42  0.94     -90.0 |  1119   -652.8 |    691   -621.9 |     +106     -147 |     -410 | fail
60  38   8   0.75 |  1130     -186  0.69     -90.0 |   950   -601.0 |    641   -576.9 |      -72     -114 |     -558 | fail
60  38   8   0.90 |  1130     -157  0.74     -90.0 |  1035   -607.2 |    641   -576.9 |      -40     -117 |     -534 | fail
