INCREMENT-CASCADE CERT — coin=TIA early=1 bars=23775 thr=1.50% confirm=60bp RT=30/60bp legs=3 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.75 |  2748     -203  0.81     -60.0 |  2312  -1091.1 |   1751  -1050.6 |      -32     -171 |    -1040 | fail
30  38   2   0.90 |  2748     -200  0.82     -60.0 |  2522  -1107.3 |   1751  -1050.6 |      -40     -160 |    -1049 | fail
30  38   4   0.75 |  2501     -141  0.86     -60.0 |  2143  -1005.0 |   1613   -967.8 |      +43     -184 |     -880 | fail
30  38   4   0.90 |  2501     -132  0.87     -60.0 |  2312  -1018.0 |   1613   -967.8 |      +24     -157 |     -876 | fail
30  38   8   0.75 |  1848     -186  0.75     -60.0 |  1611   -753.1 |   1209   -725.4 |       -1     -185 |     -750 | fail
30  38   8   0.90 |  1848     -192  0.75     -60.0 |  1732   -761.6 |   1209   -725.4 |       +6     -198 |     -747 | fail
30  38   12  0.75 |  1580      -69  0.89     -60.0 |  1357   -642.6 |   1031   -618.6 |      -24      -45 |     -537 | fail
30  38   12  0.90 |  1580      -19  0.97     -60.0 |  1461   -649.2 |   1031   -618.6 |      +39      -58 |     -478 | fail
30  60   2   0.75 |  2581     -134  0.87     -60.0 |  2164  -1017.6 |   1635   -981.0 |      +11     -145 |     -904 | fail
30  60   2   0.90 |  2581     -169  0.84     -60.0 |  2368  -1032.7 |   1635   -981.0 |      -19     -150 |     -916 | fail
30  60   4   0.75 |  2359     -177  0.81     -60.0 |  2014   -942.3 |   1511   -906.6 |      +15     -192 |     -802 | fail
30  60   4   0.90 |  2359     -154  0.84     -60.0 |  2183   -954.7 |   1511   -906.6 |       +9     -163 |     -806 | fail
30  60   8   0.75 |  1764     -231  0.68     -60.0 |  1527   -718.2 |   1154   -692.4 |      -26     -205 |     -780 | fail
30  60   8   0.90 |  1764     -192  0.74     -60.0 |  1652   -726.9 |   1154   -692.4 |      +31     -223 |     -766 | fail
30  60   12  0.75 |  1503      -88  0.86     -60.0 |  1279   -614.5 |    989   -593.4 |      -11      -76 |     -541 | fail
30  60   12  0.90 |  1503      -11  0.98     -60.0 |  1387   -621.8 |    989   -593.4 |      +87      -98 |     -468 | fail
30  100  2   0.75 |  2361     -109  0.88     -60.0 |  1991   -937.9 |   1506   -903.6 |      +33     -142 |     -741 | fail
30  100  2   0.90 |  2361     -123  0.87     -60.0 |  2171   -951.7 |   1506   -903.6 |      +11     -134 |     -751 | fail
30  100  4   0.75 |  2148     -102  0.88     -60.0 |  1829   -871.5 |   1401   -840.6 |      +78     -180 |     -707 | fail
30  100  4   0.90 |  2148     -115  0.87     -60.0 |  1983   -883.2 |   1401   -840.6 |      +49     -165 |     -728 | fail
30  100  8   0.75 |  1642     -205  0.70     -60.0 |  1419   -680.0 |   1094   -656.4 |      -18     -187 |     -706 | fail
30  100  8   0.90 |  1642     -176  0.74     -60.0 |  1539   -687.3 |   1094   -656.4 |      +31     -207 |     -660 | fail
30  100  12  0.75 |  1377      -47  0.92     -60.0 |  1168   -560.1 |    901   -540.6 |      +61     -108 |     -492 | fail
30  100  12  0.90 |  1377      -25  0.96     -60.0 |  1269   -567.1 |    901   -540.6 |      +97     -121 |     -469 | fail
60  38   2   0.75 |  2748     -491  0.67     -90.0 |  2259  -1502.4 |   1618  -1456.2 |     -189     -302 |    -1334 | fail
60  38   2   0.90 |  2748     -469  0.69     -90.0 |  2496  -1521.0 |   1618  -1456.2 |     -197     -271 |    -1346 | fail
60  38   4   0.75 |  2501     -407  0.71     -90.0 |  2096  -1394.7 |   1503  -1352.7 |      -80     -327 |    -1147 | fail
60  38   4   0.90 |  2501     -380  0.73     -90.0 |  2290  -1409.4 |   1503  -1352.7 |     -103     -278 |    -1145 | fail
60  38   8   0.75 |  1848     -369  0.64     -90.0 |  1574  -1034.7 |   1114  -1002.6 |      -65     -304 |     -907 | fail
60  38   8   0.90 |  1848     -375  0.64     -90.0 |  1713  -1044.6 |   1114  -1002.6 |      -58     -317 |     -904 | fail
60  38   12  0.75 |  1580     -254  0.72     -90.0 |  1334   -894.8 |    964   -867.6 |      -89     -164 |     -726 | fail
60  38   12  0.90 |  1580     -201  0.78     -90.0 |  1450   -902.4 |    964   -867.6 |      -21     -180 |     -660 | fail
60  60   2   0.75 |  2581     -407  0.71     -90.0 |  2117  -1410.8 |   1521  -1368.9 |     -142     -265 |    -1151 | fail
60  60   2   0.90 |  2581     -427  0.70     -90.0 |  2348  -1428.1 |   1521  -1368.9 |     -174     -253 |    -1165 | fail
60  60   4   0.75 |  2359     -456  0.65     -90.0 |  1974  -1301.7 |   1401  -1260.9 |     -148     -308 |    -1086 | fail
60  60   4   0.90 |  2359     -415  0.68     -90.0 |  2166  -1315.6 |   1401  -1260.9 |     -156     -259 |    -1084 | fail
60  60   8   0.75 |  1764     -390  0.60     -90.0 |  1494   -987.3 |   1062   -955.8 |      -64     -326 |     -913 | fail
60  60   8   0.90 |  1764     -357  0.64     -90.0 |  1634   -997.0 |   1062   -955.8 |       -8     -349 |     -902 | fail
60  60   12  0.75 |  1503     -271  0.68     -90.0 |  1255   -848.1 |    915   -823.5 |      -89     -182 |     -733 | fail
60  60   12  0.90 |  1503     -194  0.77     -90.0 |  1374   -856.3 |    915   -823.5 |      +12     -206 |     -658 | fail
60  100  2   0.75 |  2361     -390  0.70     -90.0 |  1946  -1303.4 |   1405  -1264.5 |     -119     -271 |    -1031 | fail
60  100  2   0.90 |  2361     -411  0.69     -90.0 |  2155  -1319.6 |   1405  -1264.5 |     -143     -268 |    -1041 | fail
60  100  4   0.75 |  2148     -340  0.72     -90.0 |  1792  -1211.1 |   1307  -1176.3 |      -27     -313 |     -954 | fail
60  100  4   0.90 |  2148     -362  0.70     -90.0 |  1970  -1224.2 |   1307  -1176.3 |      -58     -304 |     -976 | fail
